Event,Driver,Trip,Starttime,Endtime
1,1,65,134410,134800
2,1,65,171650,173190
3,1,65,212910,214310
4,1,65,216700,217160
5,2,39,106180,106480
6,2,91,146010,147670
7,2,91,167220,167620
8,2,131,109270,109360
9,2,137,38240,38400
10,2,236,149160,149400
11,2,236,149540,149640
12,2,237,168320,168550
13,2,249,111930,112010
14,2,249,154340,154480
15,2,254,125900,126080
16,4,6,32220,32700
17,4,6,35670,35920
18,4,19,423080,423320
19,4,38,64750,65140
20,4,38,67620,67920
21,4,38,247010,247110
22,4,44,25250,26150
23,4,49,162660,163180
24,4,49,206320,206610
25,4,49,359740,360240
26,4,49,375430,376190
27,4,85,52480,52800
28,4,85,117110,117750
29,4,85,132620,133920
30,4,97,108020,108370
31,4,97,178670,179080
32,4,97,179310,179930
33,4,97,182720,183400
34,4,99,50120,50380
35,4,99,109430,109960
36,4,99,112930,113420
37,4,99,179690,179980
38,4,124,122540,123250
39,4,126,282460,283030
40,4,129,39890,40280
41,4,129,213970,214390
42,4,151,66470,67560
43,4,151,77130,77720
44,4,194,114710,115000
45,4,194,201870,202050
46,4,194,317180,317450
47,4,194,320830,321380
48,4,205,42400,42870
49,4,205,183070,184180
50,4,205,189370,190380
51,4,207,59700,59870
52,4,207,60930,61880
53,4,207,144260,144610
54,4,207,145850,146110
55,4,251,185520,186380
56,4,251,186660,187030
57,4,252,51300,51910
58,4,252,116430,117120
59,4,252,144720,146480
60,4,252,319400,319730
61,5,22,234870,235170
62,5,25,357170,357620
63,5,122,144970,145340
64,5,122,223100,223410
65,6,12,151180,151960
66,6,12,187880,188370
67,6,48,31790,31910
68,6,48,140820,141180
69,6,49,218370,220070
70,6,84,172870,173180
71,6,161,111150,112780
72,6,164,279290,280820
73,8,84,270410,270620
74,8,97,316650,317200
75,8,97,425650,426270
76,8,129,109100,110640
77,8,129,315600,316060
78,9,10,55610,55860
79,9,20,75730,76590
80,9,20,163270,163720
81,9,20,468300,468520
82,9,97,106820,107250
83,10,65,72010,72190
84,10,66,75570,76070
85,10,98,78010,78590
86,10,100,34430,34820
87,13,63,461790,462070
88,14,1,270710,270940
89,14,1,344150,344820
90,15,35,145310,145480
91,17,1,53770,54170
92,17,1,222990,223070
93,17,57,35180,35280
94,17,63,20060,20720
95,17,64,50670,50780
96,17,162,7350,11190
97,17,162,380740,381230
98,17,164,337120,337650
99,17,164,374650,374910
100,17,177,27040,27400
101,17,222,251140,251250
102,17,222,316280,316580
103,19,8,30860,31090
104,19,24,533230,533380
105,19,62,230960,232040
106,19,76,87630,89730
107,19,155,1109400,1111540
108,19,155,1119190,1119830
109,19,157,219870,222460
110,19,161,586790,587380
111,19,161,632080,634100
112,20,167,57860,58670
113,21,69,726790,728470
114,21,69,730680,731340
115,21,69,816240,816680
116,21,106,350480,350600
117,21,109,156950,157290
118,21,109,158690,160750
119,21,109,164980,167350
120,21,109,229260,230110
121,21,109,253130,253730
122,21,109,253880,254410
123,21,109,260760,261430
124,21,109,287610,288970
125,21,109,292880,293050
126,21,109,293300,293660
127,21,109,367880,368460
128,21,138,56670,60590
129,21,142,109910,111310
130,21,144,94630,95140
131,21,195,270250,270500
132,21,195,270790,271720
133,21,214,74770,75150
134,21,214,75780,76460
135,22,16,50850,51250
136,22,49,172490,172800
137,22,53,48050,48320
138,22,56,175910,176210
139,23,86,296220,297510
140,23,86,541710,542380
141,23,113,201770,202030
142,23,171,193800,194420
143,23,171,370040,370320
144,24,104,81820,82430
145,24,112,79560,80180
146,25,9,65440,65700
147,25,13,75400,75660
148,25,15,40710,40820
149,25,37,118420,119140
150,25,37,172450,173600
151,25,189,65140,66010
152,25,220,54130,54470
153,25,220,56710,57100
154,25,220,65170,65280
155,25,246,36150,36260
156,25,270,60380,60520
157,25,308,57380,57480
158,25,315,41850,42000
159,25,335,34060,34320
160,25,344,35600,35680
161,25,360,39320,39630
162,25,404,62420,62580
163,25,404,77160,77970
164,25,430,58480,58760
165,25,430,84560,84830
166,27,5,202970,203470
167,27,15,42480,42570
168,27,15,119590,119710
169,27,18,53630,54490
170,27,20,32370,33960
171,27,20,200300,200650
172,27,20,200980,201470
173,27,20,233180,233270
174,27,35,159320,159440
175,27,47,49890,51170
176,27,61,37790,38000
177,27,61,42350,43310
178,27,61,44420,46180
179,27,61,109450,110260
180,27,77,241340,241640
181,27,79,178970,179370
182,27,82,96090,96230
183,28,35,105980,106930
184,28,61,112180,112360
185,28,71,91120,91780
186,28,85,76550,76650
187,29,2,155810,156470
188,29,2,182680,183450
189,29,2,188700,189210
190,29,68,36660,37020
191,29,68,98860,99120
192,30,135,119310,119900
193,30,165,59480,60040
194,30,171,92270,92710
195,30,195,47180,47480
196,30,195,49300,49780
197,30,274,166990,168170
198,30,274,169220,170060
199,30,274,181580,182770
200,30,285,170570,171010
201,31,68,53090,53790
202,32,34,140760,141260
203,32,176,476120,476430
204,32,176,482520,482630
205,32,176,486620,488230
206,32,203,101880,102430
207,32,203,118660,119480
208,32,315,33400,34380
209,32,349,100870,101150
210,32,438,154890,155480
211,32,440,149490,149550
212,32,507,40050,40640
213,32,507,111570,111830
214,32,518,118050,118790
215,33,57,50460,54120
216,33,322,134860,134930
217,33,328,128650,128810
218,33,400,30560,31320
219,33,400,31480,31600
220,33,400,77520,78900
221,33,407,97740,98340
222,33,407,257020,257380
223,34,30,522950,523760
224,34,30,543490,544280
225,34,30,547090,548320
226,34,566,42730,43260
227,35,44,166010,166360
228,35,44,219750,219950
229,35,71,5210,6840
230,35,71,13660,16170
231,35,146,55120,55710
232,35,146,66430,67250
233,35,174,191110,191590
234,35,174,194710,194980
235,36,1,121340,121520
236,36,2,128330,128550
237,36,24,144650,144740
238,36,35,100320,100390
239,36,50,49710,50090
240,36,50,113000,113250
241,36,50,113930,114020
242,36,61,84380,84600
243,36,74,116090,116320
244,36,77,19410,19770
245,36,77,61770,61820
246,36,77,76260,76340
247,36,77,115470,115890
248,36,77,116200,116480
249,36,79,63500,63810
250,36,82,63260,64040
251,36,85,28200,28260
252,36,89,263680,263810
253,36,100,166840,166900
254,36,125,47500,47640
255,36,130,20910,20990
256,36,130,21080,21190
257,36,148,23290,23550
258,36,148,35840,36050
259,36,148,36360,36490
260,36,151,22660,22910
261,36,158,14960,15180
262,36,158,38570,38650
263,36,158,38740,38800
264,36,160,37820,38120
265,36,166,134440,134780
266,36,166,140020,140300
267,36,166,140570,141150
268,36,166,153790,154030
269,36,173,105010,105260
270,36,177,10490,10790
271,36,177,36310,36590
272,36,188,21990,24350
273,36,188,27190,27790
274,36,189,117430,117630
275,36,189,138950,139390
276,36,190,31210,31350
277,36,190,48310,48480
278,36,190,101100,101320
279,36,190,104370,104640
280,36,190,120570,120670
281,36,190,123860,124050
282,36,195,15540,15810
283,36,195,16640,16760
284,36,201,30520,31050
285,36,203,83200,83370
286,36,208,69840,70040
287,36,208,72620,72790
288,36,208,85300,85500
289,36,208,87400,87540
290,36,208,87700,88220
291,37,308,103030,105130
292,37,326,828940,830060
293,37,326,934090,934460
294,37,326,960320,961870
295,38,78,76040,76320
296,38,136,162620,163620
297,40,5,49770,49980
298,40,21,287370,288370
299,40,34,164910,166980
300,40,47,168560,170780
301,40,47,172160,172870
302,40,54,86000,87710
303,40,139,106140,106740
304,40,145,228980,229220
305,40,145,335430,335850
306,40,176,171320,172560
307,40,176,206710,208420
308,40,176,211100,212770
309,40,176,304840,306570
310,40,178,89860,90260
311,40,185,142280,142910
312,40,185,144480,144820
313,40,186,67960,69650
314,40,186,283270,283880
315,40,186,362530,364110
316,40,215,240970,241390
317,40,215,244930,246430
318,40,215,254040,255680
319,41,65,394700,395130
320,41,65,568710,569190
321,41,67,174440,174670
322,41,67,609050,610780
323,41,67,620440,620840
324,41,67,654350,654420
325,41,67,654840,654970
326,41,67,674870,674990
327,41,69,233370,234740
328,41,202,96440,96840
329,41,202,664290,664600
330,41,246,267530,267770
331,41,246,316550,316640
332,42,54,305350,306170
333,42,54,427460,427730
334,42,61,223170,223640
335,42,61,225410,226180
336,42,61,248970,249230
337,42,64,76060,77350
338,42,103,587430,587570
339,42,107,184870,185410
340,42,107,349180,350070
341,42,107,404740,405480
342,42,108,139850,140200
343,43,20,143560,144270
344,43,20,200550,201790
345,43,51,123110,123220
346,43,56,15480,15830
347,43,57,35360,35630
348,43,74,91770,92820
349,43,110,17550,18190
350,43,110,21240,21730
351,43,119,65630,68030
352,43,122,48470,49100
353,43,124,73480,74640
354,43,130,18330,18850
355,43,130,24240,24700
356,43,138,144980,156380
357,43,169,82030,82140
358,43,182,192210,192910
359,43,201,33270,33460
360,43,229,22260,22330
361,45,42,50700,51690
362,45,59,37490,37840
363,45,80,228770,229290
364,45,80,233160,234010
365,45,88,61510,61720
366,47,100,396710,397810
367,47,238,43810,44680
368,48,100,135280,135460
369,48,116,57080,57390
370,49,44,266320,267160
371,49,117,81820,82440
372,49,155,155060,155440
373,50,3,244310,244370
374,51,1,148140,148370
375,51,1,196710,197580
376,51,1,231680,231860
377,51,1,238560,239110
378,51,1,267650,267860
379,51,3,139930,140810
380,51,7,164220,164760
381,51,75,61590,61920
382,51,90,61870,62650
383,51,90,105490,106120
384,51,91,85710,86590
385,51,91,134410,134670
386,51,91,143050,143990
387,51,91,144700,144970
388,51,119,80540,80870
389,51,152,134970,135060
390,51,152,201390,201830
391,51,152,219310,220100
392,51,152,280840,281070
393,52,117,136050,137030
394,52,229,253090,253280
395,53,120,138920,139460
396,53,172,182280,183650
397,53,172,200810,201060
398,53,172,374410,374960
399,53,172,513430,513740
400,53,235,125800,126680
401,53,285,40790,40960
402,53,285,41030,41440
403,53,285,48290,48630
404,54,12,206500,206860
405,55,167,159000,159820
406,55,177,214000,214220
407,56,42,51800,52650
408,56,44,98640,99030
409,56,49,228240,229490
410,56,61,178960,180350
411,56,62,84360,84940
412,56,83,118920,120170
413,56,127,56540,57160
414,57,95,82900,83690
415,57,95,89780,90280
416,57,503,273490,275000
417,57,503,294580,295340
418,58,4,241590,242100
419,58,48,236790,237440
420,58,50,285770,286470
421,58,52,240670,241400
422,58,54,143020,143570
423,58,54,167580,170310
424,58,60,115960,116440
425,58,76,160640,162250
426,58,80,219460,220720
427,58,87,151290,152070
428,58,87,157960,160090
429,58,106,52820,53090
430,58,123,54020,55120
431,58,123,92120,93430
432,58,123,96860,98540
433,58,123,121480,124020
434,58,128,174950,175820
435,58,128,236130,238300
436,58,128,244100,245440
437,58,128,249790,250630
438,58,152,173650,175950
439,58,152,177210,177760
440,58,152,213730,214680
441,58,174,72720,73400
442,58,177,226320,226920
443,58,192,200730,200960
444,59,22,86850,91160
445,59,22,152850,153410
446,59,33,71640,72350
447,59,184,78750,80140
448,60,20,102060,102250
449,60,23,196510,196750
450,60,151,506910,507050
451,60,151,507070,507150
452,60,151,507180,507340
453,60,169,145140,145320
454,61,73,24970,25170
455,61,102,384210,384500
456,62,485,526630,529050
457,62,485,551190,551990
458,62,485,556080,557540
459,62,537,178570,179230
460,62,537,183470,184090
461,62,582,210990,211880
462,62,582,408360,408940
463,62,582,444450,445070
464,63,97,133080,134110
465,64,1,30760,31360
466,64,1,82160,82260
467,64,1,522870,524140
468,64,4,130970,131740
469,64,4,131790,132640
470,64,9,386010,386260
471,64,15,200580,200930
472,64,15,223950,224250
473,64,15,225280,225590
474,64,85,111180,111420
475,64,148,34810,35110
476,64,171,182030,182500
477,64,171,185650,186110
478,64,182,205120,205420
479,64,183,205390,205700
480,64,228,8230,8750
481,64,228,13630,13950
482,64,228,29100,29770
483,64,238,517360,518000
484,65,5,32420,32710
485,65,5,32790,33050
486,65,29,37920,38230
487,65,33,27240,27500
488,65,33,29050,29340
489,65,61,36060,36190
490,65,70,87550,87890
491,65,97,29430,30170
492,65,97,31680,32000
493,65,103,38660,39050
494,65,138,36640,37490
495,65,145,24970,25190
496,65,146,41050,41490
497,65,174,26990,27370
498,65,224,29100,29200
499,65,245,36350,36450
500,65,284,101480,102010
501,65,285,116140,116210
502,66,1,173580,173990
503,66,37,57230,57500
504,66,65,40690,41390
505,67,6,48660,48960
506,67,7,53670,53820
507,67,14,16960,17210
508,67,50,47790,48160
509,67,60,472660,473050
510,67,72,196480,197310
511,67,99,175610,176590
512,67,108,51780,51990
513,67,116,186660,187950
514,67,138,84950,85160
515,67,155,212830,217650
516,67,155,221320,221710
517,67,155,226910,227230
518,67,155,227950,228580
519,67,181,34570,34700
520,67,184,87240,87430
521,67,184,155700,155850
522,67,186,278680,278850
523,67,205,182360,182600
524,67,234,44550,44760
525,67,237,41110,41230
526,67,237,48800,52400
527,68,22,21720,22110
528,68,39,54840,56830
529,68,55,42730,43160
530,68,55,65010,65590
