Event,Driver,Trip,Starttime,Endtime
1,1,8,107680,108490
2,1,8,111720,111930
3,1,8,119510,120460
4,1,8,154870,155730
5,1,8,171860,175830
6,1,8,177590,178540
7,1,8,348790,351270
8,1,8,409990,410220
9,1,8,410660,411520
10,1,8,561230,561540
11,1,14,407140,407630
12,1,20,68520,69070
13,1,54,24960,25460
14,1,54,27500,28270
15,1,68,29550,29900
16,1,69,36630,37100
17,1,77,69510,70960
18,1,89,26890,28390
19,1,89,31240,31790
20,1,123,1419540,1420890
21,1,131,757300,758460
22,1,134,233650,234650
23,1,134,639060,639440
24,1,134,768010,769420
25,1,134,781940,789560
26,1,134,796380,796720
27,1,134,808660,808950
28,1,134,831890,835030
29,1,134,885130,886400
30,1,134,953280,953600
31,1,231,210140,210550
32,1,231,227650,228320
33,1,249,69180,69560
34,1,249,88380,88600
35,1,249,88760,89630
36,1,259,143850,145550
37,1,264,86860,88330
38,1,268,52680,53090
39,1,279,48260,48670
40,1,279,179950,183320
41,1,281,119900,120180
42,1,317,83210,83610
43,1,317,106100,106300
44,1,317,162070,164850
45,1,365,62750,63060
46,1,365,65010,65270
47,1,380,33340,34150
48,1,381,193840,194530
49,1,418,35120,35430
50,1,418,44720,44920
51,1,418,56650,57810
52,2,4,30990,33120
53,2,6,26940,27440
54,2,6,29720,30270
55,2,17,32820,33210
56,2,23,34740,35740
57,2,23,38410,39380
58,2,27,30440,33630
59,2,29,26040,27140
60,2,30,79050,79860
61,2,44,28000,28930
62,2,44,31320,31990
63,2,45,21700,27900
64,2,62,32920,34290
65,2,68,24550,26660
66,2,72,26710,28730
67,2,72,31150,32040
68,2,76,52690,53160
69,2,77,32360,34990
70,2,78,21820,23220
71,2,79,28830,30670
72,2,81,25220,27730
73,2,82,25210,25930
74,2,82,28040,28680
75,2,92,16810,16930
76,2,102,24920,26120
77,2,102,28590,29840
78,2,109,27150,28760
79,2,113,26970,27320
80,2,114,20540,23030
81,2,116,22870,23230
82,2,116,30710,38320
83,2,119,37390,38000
84,2,126,30550,32480
85,2,126,34960,36230
86,2,127,19700,19960
87,2,127,21700,21910
88,2,135,30010,30730
89,2,136,34800,38000
90,2,137,26460,26920
91,2,150,22490,26370
92,2,162,19420,19580
93,2,174,28150,29110
94,2,176,34300,35780
95,2,179,29520,29840
96,2,189,25180,28790
97,2,201,36890,37740
98,2,216,37980,38340
99,2,228,65230,65420
100,2,228,68280,70120
101,2,230,67440,70130
102,2,233,23990,24330
103,2,233,24810,25390
104,2,241,48520,48870
105,2,243,30990,32470
106,2,243,32580,32640
107,2,243,32660,36340
108,2,248,43400,43530
109,2,255,30420,31390
110,2,263,43260,43480
111,2,263,44940,45190
112,2,279,49610,50560
