Event,Driver,Trip,Starttime,Endtime,LaneChangeStarttime,LaneChangeEndtime,DerivedEndtime
1,1,1,37290,39160,38790,38810,38860
2,1,1,96840,98850,98340,98360,98550
3,1,1,137950,139790,139450,139470,139490
4,1,16,100640,102640,102140,102160,102340
5,1,17,81860,83860,83360,83380,83560
6,1,42,89170,91170,90670,90690,90870
7,1,42,97130,99130,98630,98650,98830
8,1,42,102290,104220,103790,103820,103920
9,1,42,103060,104960,104560,104580,104660
10,1,42,152460,154460,153960,153980,154160
11,1,42,152970,154970,154470,154490,154670
12,1,43,52380,54380,53880,53900,54080
13,1,43,59640,61640,61140,61160,61340
14,1,43,102080,104010,103580,103610,103710
15,1,43,103250,105250,104750,104770,104950
16,1,43,103940,105920,105440,105460,105620
17,1,43,107070,109070,108570,108590,108770
18,1,43,109030,110910,110530,110550,110610
19,1,43,163560,165420,165060,165080,165120
20,1,43,172000,174000,173500,173520,173700
21,1,47,74590,76700,76090,76110,76400
22,1,47,86240,88160,87740,87760,87860
23,1,47,105960,107940,107460,107480,107640
24,1,47,111310,113290,112810,112830,112990
25,1,47,116570,118570,118070,118090,118270
26,1,47,133790,135660,135290,135310,135360
27,1,47,144210,146130,145710,145730,145830
28,1,47,163960,165960,165460,165480,165660
29,1,47,171830,173830,173330,173350,173530
30,1,47,178500,180510,180000,180020,180210
31,1,48,112240,114250,113740,113760,113950
32,1,48,113900,115900,115400,115420,115600
33,1,48,114430,116430,115930,115950,116130
34,1,48,114460,118710,115960,118400,118410
35,1,48,116910,118920,118410,118430,118620
36,1,48,120290,122190,121790,121810,121890
37,1,48,120320,124650,121820,124340,124350
38,1,48,122850,124860,124350,124370,124560
39,1,48,125370,127350,126870,126890,127050
40,1,48,126700,128700,128200,128220,128400
41,1,48,150970,152980,152470,152490,152680
42,1,48,158670,160680,160170,160190,160380
43,1,48,165460,167380,166960,166980,167080
44,1,48,166400,168280,167900,167920,167980
45,1,48,173100,174950,174600,174620,174650
46,1,48,177020,178960,178520,178540,178660
47,1,48,187250,189200,188750,188770,188900
48,1,48,192570,194550,194070,194090,194250
49,1,48,203590,205600,205090,205110,205300
50,1,48,205080,207060,206580,206600,206760
51,1,48,206700,208650,208200,208220,208350
52,1,48,207940,209870,209440,209460,209570
53,1,48,218870,220730,220370,220390,220430
54,1,48,219880,221840,221380,221400,221540
55,1,48,222420,224420,223920,223940,224120
56,1,48,223680,225690,225180,225200,225390
57,1,48,231610,233630,233110,233130,233330
58,1,48,233510,235510,235010,235030,235210
59,1,48,238150,240150,239650,239670,239850
60,1,48,258950,260950,260450,260470,260650
61,1,48,263000,264920,264500,264520,264620
62,1,48,269460,271390,270960,270980,271090
63,1,48,283440,285440,284940,284960,285140
64,1,48,312230,314230,313730,313750,313930
65,1,48,313950,315880,315450,315470,315580
66,1,48,317460,319320,318960,318980,319020
67,1,48,318610,320610,320110,320130,320310
68,1,48,324110,326010,325610,325630,325710
69,1,48,325830,327810,327330,327350,327510
70,1,48,330150,332110,331650,331670,331810
71,1,48,331480,333420,332980,333010,333120
72,1,48,346250,348250,347750,347770,347950
73,1,48,347340,349300,348840,348860,349000
74,1,48,356010,358010,357510,357530,357710
75,1,48,366130,368140,367630,367650,367840
76,1,48,368220,370130,369720,369740,369830
77,1,48,374800,376760,376300,376320,376460
78,1,48,400250,402130,401750,401770,401830
79,1,48,423400,425310,424900,424920,425010
80,1,48,425400,427310,426900,426920,427010
81,1,48,434890,436830,436390,436410,436530
82,1,48,443400,445360,444900,444920,445060
83,1,48,446830,448790,448330,448350,448490
84,1,48,447880,449880,449380,449400,449580
85,1,48,450060,452070,451560,451580,451770
86,1,48,454970,456970,456470,456490,456670
87,1,48,462810,464810,464310,464330,464510
88,1,48,464990,466920,466490,466510,466620
89,1,48,481160,483080,482660,482680,482780
90,1,48,481470,483300,482970,482990,483000
91,1,48,481500,487670,483000,487360,487370
92,1,48,485870,487840,487370,487390,487540
93,1,48,491130,493100,492630,492650,492800
94,1,48,500840,502840,502340,502360,502540
95,1,48,502190,504140,503690,503710,503840
96,1,48,514290,516190,515790,515810,515890
97,1,48,518600,520600,520100,520120,520300
98,1,48,526100,528100,527600,527620,527800
99,1,48,528560,530570,530060,530080,530270
100,1,48,541740,543740,543240,543260,543440
101,1,48,542760,544680,544260,544280,544380
102,1,48,552160,554160,553660,553680,553860
103,1,48,566450,568450,567950,567970,568150
104,1,48,591090,593100,592590,592610,592800
105,1,48,600200,602200,601700,601720,601900
106,1,48,627450,629450,628950,628970,629150
107,1,48,638840,640760,640340,640360,640460
108,1,48,642860,644750,644360,644380,644450
109,1,48,649830,651770,651330,651350,651470
110,1,48,683810,685770,685310,685330,685470
111,1,48,688850,690790,690350,690380,690490
112,1,48,694460,696320,695960,695980,696020
113,1,48,695420,697320,696920,696940,697020
114,1,48,699920,701920,701420,701440,701620
115,1,48,700640,702580,702140,702160,702280
116,1,48,705960,707860,707460,707480,707560
117,1,48,707120,709040,708620,708640,708740
118,1,48,710130,712110,711630,711650,711810
119,1,48,713650,715630,715150,715170,715330
120,1,48,721790,723740,723290,723310,723440
121,1,48,722900,724830,724400,724420,724530
122,1,48,727280,729200,728780,728800,728900
123,1,48,731170,733180,732670,732690,732880
124,1,48,732800,734690,734300,734320,734390
125,1,48,744900,746900,746400,746420,746600
126,1,48,747170,749140,748670,748690,748840
127,1,48,755010,757010,756510,756530,756710
128,1,48,758080,759960,759580,759600,759660
129,1,49,16750,18800,18250,18270,18500
130,1,49,29160,31080,30660,30680,30780
131,1,49,89120,91250,90620,90640,90950
132,1,49,89150,98160,90650,97850,97860
133,1,49,96360,98330,97860,97880,98030
134,1,49,100960,102880,102460,102480,102580
135,1,49,115010,117050,116510,116530,116750
136,1,49,131710,133710,133210,133230,133410
137,1,49,158080,160080,159580,159600,159780
138,1,49,166760,168760,168260,168280,168460
139,1,49,170770,172780,172270,172290,172480
140,1,49,170800,174810,172300,174500,174510
141,1,49,173010,174900,174510,174530,174600
142,1,49,174130,175990,175630,175650,175690
143,1,49,190330,192340,191830,191850,192040
144,1,49,231930,233990,233430,233450,233690
145,1,49,238760,240930,240260,240280,240630
146,1,49,264620,266620,266120,266140,266320
147,1,49,266690,268700,268190,268210,268400
148,1,49,267940,269950,269440,269460,269650
149,1,49,269420,271570,270920,270940,271270
150,1,49,283730,285740,285230,285250,285440
151,1,49,319610,321620,321110,321130,321320
152,1,49,327930,330170,329430,329450,329870
153,1,49,330550,332550,332050,332070,332250
154,1,49,338530,340550,340030,340050,340250
155,1,49,350950,352870,352450,352470,352570
156,1,49,440290,442290,441790,441810,441990
157,1,49,447360,449500,448860,448880,449200
158,1,49,447390,455480,448890,455170,455180
159,1,49,453680,455680,455180,455200,455380
160,1,49,460910,462910,462410,462430,462610
