Event,Driver,Trip,Starttime,Endtime,LaneChangeStarttime,LaneChangeEndtime,DerivedEndtime
10000,41,67,674560,676410,676060,676080,676110
10001,41,67,676830,678660,678330,678350,678360
10002,41,67,677710,679640,679210,679230,679340
10003,41,67,677740,685830,679240,685520,685530
10004,41,72,9330,11340,10830,10850,11040
10005,41,72,9360,36220,10860,35910,35920
10006,41,72,34420,36470,35920,35940,36170
10007,41,72,35690,37520,37190,37210,37220
10008,41,72,35720,43230,37220,42920,42930
10009,41,72,41430,43430,42930,42950,43130
10010,41,72,42570,44580,44070,44090,44280
10011,41,72,150990,153060,152490,152510,152760
10012,41,72,152270,154270,153770,153790,153970
10013,41,72,217190,219190,218690,218710,218890
10014,41,72,322680,324510,324180,324200,324210
10015,41,72,323530,325610,325030,325050,325310
10016,41,72,403520,405380,405020,405040,405080
10017,41,72,404520,406380,406020,406040,406080
10018,41,72,445900,447900,447400,447420,447600
10019,41,198,264150,266010,265650,265670,265710
10020,41,198,397020,399020,398520,398540,398720
10021,41,198,397940,400010,399440,399470,399710
10022,41,198,601590,603660,603090,603110,603360
10023,41,198,775640,777640,777140,777160,777340
10024,41,198,779930,781940,781430,781450,781640
10025,41,202,81550,83560,83050,83070,83260
10026,41,202,168890,170870,170390,170410,170570
10027,41,202,694940,696860,696440,696460,696560
10028,41,202,891020,892900,892520,892540,892600
10029,41,202,916100,918100,917600,917620,917800
10030,41,246,76000,77940,77500,77520,77640
10031,41,246,202750,204750,204250,204270,204450
10032,41,246,205740,207740,207240,207260,207440
10033,41,246,294130,296130,295630,295650,295830
10034,41,246,327530,329540,329030,329050,329240
10035,41,246,337560,339560,339060,339080,339260
10036,41,246,338720,340770,340220,340240,340470
10037,41,246,339410,341500,340910,340930,341200
10038,41,246,341080,343060,342580,342600,342760
10039,42,11,28740,30750,30240,30260,30450
10040,42,14,60520,62630,62020,62040,62330
10041,42,14,65090,67090,66590,66610,66790
10042,42,17,30530,32550,32030,32050,32250
10043,42,17,37250,39190,38750,38770,38890
10044,42,23,13730,15590,15230,15250,15290
10045,42,23,37350,39380,38850,38870,39080
10046,42,23,41260,43130,42760,42780,42830
10047,42,23,59190,61040,60690,60710,60740
10048,42,23,63280,65170,64780,64800,64870
10049,42,23,99660,101660,101160,101180,101360
10050,42,23,106560,108560,108060,108080,108260
10051,42,23,107100,108930,108600,108620,108630
10052,42,23,138940,140950,140440,140460,140650
10053,42,25,33480,35480,34980,35000,35180
10054,42,25,39070,41070,40570,40590,40770
10055,42,25,40680,42560,42180,42200,42260
10056,42,25,112080,113970,113580,113600,113670
10057,42,27,56220,58350,57720,57740,58050
