Event,Driver,Trip,Starttime,Endtime,LaneChangeStarttime,LaneChangeEndtime,DerivedEndtime
1,1,8,54770,56670,56270,56290,56370
2,1,8,71110,73110,72610,72630,72810
3,1,8,72450,74450,73950,73970,74150
4,1,8,78970,80970,80470,80490,80670
5,1,8,193070,195070,194570,194590,194770
6,1,8,214090,216040,215590,215610,215740
7,1,8,225140,227140,226640,226660,226840
8,1,8,228820,230820,230320,230340,230520
9,1,8,232980,234930,234480,234500,234630
10,1,8,240180,242080,241680,241700,241780
11,1,8,244270,246270,245770,245790,245970
12,1,8,249350,251350,250850,250870,251050
13,1,8,298800,300800,300300,300320,300500
14,1,8,299600,301440,301100,301120,301140
15,1,8,346790,348760,348290,348310,348460
16,1,8,435060,436960,436560,436580,436660
17,1,8,443330,445330,444830,444850,445030
18,1,8,448940,450940,450440,450460,450640
19,1,8,536340,538320,537840,537860,538020
20,1,8,576220,578220,577720,577740,577920
21,1,8,578890,580910,580390,580410,580610
22,1,8,607900,609870,609400,609420,609570
23,1,8,613080,614920,614580,614600,614620
24,1,8,633620,635730,635120,635140,635430
25,1,8,729900,731900,731400,731420,731600
26,1,9,780490,782400,781990,782010,782100
27,1,9,780520,782790,782020,782480,782490
28,1,9,780990,782820,782490,782510,782520
29,1,9,781020,783290,782520,782980,782990
30,1,9,781490,783470,782990,783010,783170
31,1,9,839790,841730,841290,841310,841430
32,1,9,844350,846350,845850,845870,846050
33,1,9,861670,863730,863170,863190,863430
34,1,9,867330,869470,868830,868850,869170
35,1,9,890640,892650,892140,892160,892350
36,1,9,891740,893650,893240,893260,893350
37,1,9,903520,905410,905020,905040,905110
38,1,9,904290,906290,905790,905810,905990
39,1,9,904320,907140,905820,906830,906840
40,1,9,905340,907340,906840,906860,907040
41,1,9,914890,916890,916390,916410,916590
42,1,9,916540,918550,918040,918060,918250
43,1,9,916570,923310,918070,923000,923010
44,1,9,921510,923520,923010,923030,923220
45,1,9,924010,926020,925510,925530,925720
46,1,10,77730,79560,79230,79250,79260
47,1,10,110860,112750,112360,112380,112450
48,1,10,144850,146860,146350,146370,146560
49,1,10,147280,149280,148780,148800,148980
50,1,10,168570,170570,170070,170090,170270
51,1,10,170140,172140,171640,171660,171840
52,1,10,201380,203380,202880,202900,203080
53,1,10,203170,205160,204670,204690,204860
54,1,14,141350,143350,142850,142870,143050
55,1,14,143720,145770,145220,145240,145470
56,1,14,188470,190470,189970,189990,190170
57,1,14,201070,203160,202570,202590,202860
58,1,14,207220,209220,208720,208740,208920
59,1,14,209200,211320,210700,210720,211020
60,1,14,213660,215660,215160,215180,215360
61,1,14,213690,220330,215190,220020,220030
62,1,14,218530,220530,220030,220050,220230
63,1,14,225900,228010,227400,227420,227710
64,1,14,386720,388720,388220,388240,388420
65,1,14,415220,417270,416720,416740,416970
66,1,16,33780,35690,35280,35300,35390
67,1,16,38260,40260,39760,39780,39960
68,1,16,104060,106070,105560,105580,105770
69,1,16,104090,106360,105590,106050,106060
70,1,16,104560,106570,106060,106080,106270
71,1,16,191580,193460,193080,193100,193160
72,1,16,194450,196460,195950,195970,196160
73,1,16,222000,224000,223500,223520,223700
74,1,16,223000,225000,224500,224520,224700
75,1,16,237470,239470,238970,238990,239170
76,1,16,239030,241030,240530,240550,240730
77,1,16,268980,270980,270480,270500,270680
78,1,20,55150,56980,56650,56670,56680
79,1,20,65000,67000,66500,66520,66700
80,1,20,71120,73000,72620,72640,72700
81,1,29,51250,53260,52750,52770,52960
82,1,29,53480,55490,54980,55000,55190
83,1,29,115200,117030,116700,116720,116730
84,1,29,117120,119130,118620,118650,118830
85,1,30,24960,27040,26460,26480,26740
86,1,30,42340,44290,43840,43860,43990
87,1,54,30130,32050,31630,31650,31750
88,1,54,35710,37630,37210,37230,37330
89,1,54,42960,44940,44460,44480,44640
90,1,56,52990,55000,54490,54510,54700
91,1,56,67040,69050,68540,68560,68750
92,1,56,68580,70580,70080,70100,70280
93,1,56,87070,89080,88570,88590,88780
94,1,56,90340,92280,91840,91860,91980
95,1,56,107830,109670,109330,109350,109370
96,1,56,113200,115240,114700,114720,114940
97,1,56,121260,123310,122760,122780,123010
98,1,56,123670,125630,125170,125190,125330
99,1,56,126900,129090,128400,128420,128790
100,1,56,131470,133510,132970,132990,133210
101,1,56,136570,138750,138070,138090,138450
102,1,56,167830,169830,169330,169350,169530
103,1,56,191740,193770,193240,193260,193470
104,1,58,75420,77430,76920,76940,77130
105,1,58,95680,97680,97180,97200,97380
106,1,58,113380,115380,114880,114900,115080
107,1,58,146410,148410,147910,147930,148110
108,1,58,164610,166550,166110,166130,166250
109,1,58,167950,170030,169450,169470,169730
110,1,58,167980,180630,169480,180320,180330
111,1,58,178830,180840,180330,180350,180540
112,1,58,218410,220420,219910,219940,220120
113,1,58,220070,222070,221570,221590,221770
114,1,58,229300,231200,230800,230820,230900
115,1,58,233520,235520,235020,235040,235220
116,1,58,243970,245990,245470,245490,245690
117,1,58,244000,252790,245500,252480,252490
118,1,69,29020,30900,30520,30540,30600
119,1,69,30240,32240,31740,31760,31940
120,1,69,32970,34970,34470,34490,34670
121,1,69,59010,60940,60510,60540,60640
122,1,69,61590,63590,63090,63110,63290
123,1,77,34360,36350,35860,35880,36050
124,1,77,37470,39490,38970,38990,39190
125,1,77,38740,40740,40240,40260,40440
126,1,77,51120,53120,52620,52640,52820
127,1,77,59660,61660,61160,61180,61360
128,1,77,61770,63610,63270,63290,63310
129,1,79,19090,21080,20590,20610,20780
130,1,79,35740,37740,37240,37260,37440
131,1,79,40120,42080,41620,41640,41780
132,1,79,43720,45680,45220,45240,45380
133,1,79,52660,54660,54160,54180,54360
134,1,79,54070,56080,55570,55590,55780
