Event,Driver,Trip,Starttime,Endtime,Speedingtime
1,1,1,88120,88570,450
2,1,17,83780,84110,310
3,1,19,152580,155140,2270
4,1,42,65320,65690,380
5,1,42,153920,154930,1020
6,1,47,77480,77750,280
7,1,47,107550,108040,490
8,1,47,110080,114870,4110
9,1,47,144130,145890,1750
10,1,47,174090,180690,6590
11,1,48,117840,119030,1200
12,1,48,189420,190430,640
13,1,48,209280,209280,10
14,1,48,220710,221580,880
15,1,48,234600,235150,520
16,1,48,237750,239030,1270
17,1,48,266190,267150,910
18,1,48,367280,368110,840
19,1,48,375160,376590,1430
20,1,48,481570,482720,730
21,1,48,490490,495310,4720
22,1,48,503090,503750,580
23,1,48,515880,517150,1270
24,1,48,542480,544500,1760
25,1,48,563680,566860,3170
26,1,48,633360,636700,3350
27,1,48,685840,685940,110
28,1,48,687390,688230,850
29,1,48,690150,690520,380
30,1,48,696940,698570,1630
31,1,48,727690,730070,2180
32,1,48,740230,740300,60
33,1,49,15800,17270,1480
34,1,49,21150,22780,1640
35,1,49,24460,25940,1270
36,1,49,28040,30970,2930
37,1,49,43980,44170,200
38,1,49,82460,82990,540
39,1,49,91840,97970,4990
40,1,49,112820,116640,3830
41,1,49,131870,132100,160
42,1,49,192500,195250,2760
43,1,49,199590,200490,910
44,1,49,202340,204820,2480
45,1,49,208250,210010,1750
46,1,49,233310,234510,1210
47,1,49,267870,268220,360
48,1,49,269670,269860,200
49,1,49,277950,278090,140
50,1,49,380330,382150,1820
51,1,53,154830,155500,680
52,1,53,487180,487580,410
53,1,53,489680,489690,20
54,1,53,565670,567730,1390
55,1,53,571430,571570,150
56,1,53,575080,575730,650
57,1,53,577770,579140,1380
58,1,54,32130,32740,620
59,1,54,43500,44220,730
60,1,54,85690,87090,1400
61,1,54,174920,175700,790
62,1,54,186380,187390,1010
63,1,54,196520,196760,250
64,1,54,199000,199780,790
65,1,54,201610,201990,390
66,1,54,203480,207170,3690
67,1,54,209270,213380,4110
68,1,54,291610,291860,260
69,1,54,335240,335250,20
70,1,54,386140,386360,200
71,1,54,403930,405100,1180
72,1,54,531450,534530,3090
73,1,54,555380,555700,320
74,1,54,558400,560630,2240
75,1,54,628850,630000,930
76,1,54,658830,659340,520
77,1,54,725300,725460,160
78,1,54,735130,736220,1090
79,1,54,742570,744720,2160
80,1,55,52560,52930,380
81,1,102,93020,94550,1540
82,1,102,101030,101130,60
83,1,102,114440,115160,730
84,1,102,118200,119210,990
85,1,155,75890,76590,710
86,1,155,104490,105120,510
87,1,155,152000,153390,1370
88,1,155,155240,157110,950
89,1,155,163230,169040,5810
90,1,155,177090,179790,2690
91,2,1,35200,37890,2650
92,2,1,40950,49770,8830
93,2,1,51050,68620,14800
94,2,6,27520,30330,2790
95,2,6,36140,42020,5830
96,2,6,43720,46940,2750
97,2,6,48060,48110,60
98,2,6,50490,51550,250
99,2,14,28270,29780,1510
100,2,22,16330,19430,3110
101,2,23,112070,112710,640
102,2,37,28990,31270,1870
103,2,37,40950,41080,100
104,2,37,64850,64920,30
105,2,37,68350,102170,33380
106,2,37,104360,105450,1100
107,2,37,126060,134460,7840
108,2,37,136100,143840,6940
109,2,37,156620,157630,760
110,2,39,62830,63960,1140
111,2,39,65280,69200,3400
112,2,39,81500,86370,4880
113,2,39,126700,131830,5120
114,2,39,142610,142770,150
115,2,39,147600,154720,6210
116,2,39,158480,159280,800
117,2,39,189730,194960,4330
118,2,72,11340,18980,6130
119,2,72,22470,23870,1390
120,2,78,32150,35340,3140
121,2,78,44640,46040,550
122,2,78,54360,54550,70
123,2,78,63490,65540,1130
124,2,78,69010,72050,3050
125,2,78,73450,73600,160
126,2,78,74940,75490,560
127,2,78,77230,94730,15470
128,2,78,100530,103800,2910
129,2,78,105630,105920,300
130,2,78,107290,107310,30
131,2,78,125090,126710,1630
132,2,78,127960,138010,9740
133,2,78,139070,150350,9460
134,2,78,156380,157440,1070
135,2,80,41890,43350,1470
136,2,80,47530,51870,3610
137,2,80,60500,71470,9380
