Event,Driver,Trip,Starttime,Endtime
10000,51,10,203370,205550
10001,51,14,79410,82880
10002,51,31,81480,83370
10003,51,31,93060,93220
10004,51,31,113150,114880
10005,51,31,123250,124870
10006,51,31,127490,171190
10007,51,31,173930,179170
10008,51,31,181900,247360
10009,51,31,249170,268260
10010,51,31,269540,285120
10011,51,31,286450,329220
10012,51,31,332090,429240
10013,51,31,431990,449450
10014,51,31,453000,503240
10015,51,31,504430,516340
10016,51,31,517780,596500
10017,51,31,599340,600550
10018,51,49,31860,38680
10019,51,49,45610,46030
10020,51,49,47280,102080
10021,51,49,106440,173690
10022,51,49,179010,179660
10023,51,49,183480,186580
10024,51,49,189720,207410
10025,51,49,213530,215640
10026,51,49,220270,220330
10027,51,49,221630,304580
10028,51,49,307360,319630
10029,51,49,321750,347260
10030,51,49,349470,352050
10031,51,49,353620,354660
10032,51,49,357040,360890
10033,51,49,365680,367640
10034,51,49,368850,370060
10035,51,49,371680,380170
10036,51,49,386560,387390
10037,51,49,392630,393130
10038,51,49,395320,433450
10039,51,49,439480,522410
10040,51,49,552780,559990
10041,51,91,43590,47170
10042,51,91,49670,49800
10043,51,91,76280,84230
10044,51,120,31510,33170
10045,51,120,75320,76590
10046,51,152,162110,172710
10047,51,152,174100,179970
10048,51,152,261520,262120
10049,51,152,263400,264660
10050,51,152,285590,286000
10051,51,152,290080,294500
10052,51,152,305080,305360
10053,51,152,310150,310650
10054,51,152,312070,316450
10055,51,152,317910,322180
10056,51,152,323760,325910
10057,51,152,328400,328940
10058,51,152,331470,332150
10059,51,152,333360,342780
10060,51,152,349080,349540
10061,52,6,51650,51850
10062,52,48,117890,120150
10063,52,59,113020,113830
10064,52,59,115640,116030
10065,52,70,72130,72530
10066,52,70,80570,80820
10067,52,70,86680,87630
10068,52,86,74810,75160
10069,52,86,77060,78010
10070,52,86,79080,80030
10071,52,97,26160,29330
10072,52,97,32160,33450
10073,52,97,38500,38810
10074,52,98,29940,31810
10075,52,98,35200,38730
10076,52,99,18160,20820
10077,52,101,66900,67880
10078,52,104,82740,83570
10079,52,117,131270,132100
10080,52,117,168410,168550
10081,52,130,40750,41380
10082,52,130,55840,58310
10083,52,146,92150,92600
10084,52,146,100800,101960
10085,52,148,32680,37940
10086,52,151,14450,17280
10087,52,151,20350,21770
10088,52,151,26140,27870
10089,52,151,29800,30470
10090,52,152,32900,57630
10091,52,152,59530,60750
10092,52,152,62190,64650
10093,52,152,67760,70720
10094,52,152,82230,83950
10095,52,152,85270,85710
10096,52,154,20860,25510
10097,52,154,27070,31000
10098,52,154,35580,36430
10099,52,154,38360,38450
10100,52,154,45590,52400
10101,52,154,65480,65740
10102,52,154,99950,99950
10103,52,154,104110,105230
10104,52,155,12420,14860
10105,52,171,68200,68960
10106,52,172,52270,52510
10107,52,172,59090,60130
10108,52,172,61500,63530
10109,52,172,64580,66570
10110,52,172,67910,69130
10111,52,193,25010,26910
10112,52,193,51150,51310
10113,52,194,23230,24980
10114,52,194,31480,36510
10115,52,194,53270,54320
10116,52,194,57750,62300
10117,52,194,66460,67540
10118,52,201,72930,78410
10119,52,201,79740,80450
10120,52,202,30820,31900
10121,52,205,38630,39040
10122,52,221,97510,98730
10123,52,221,99900,108110
10124,52,224,54050,56870
10125,52,224,59500,70870
10126,52,229,68170,69620
10127,52,229,71920,72770
10128,52,229,88660,109130
10129,52,229,112550,120580
10130,52,229,123410,125630
10131,52,229,126660,138400
10132,52,229,162490,168280
10133,52,229,173090,186230
10134,52,229,187300,187560
10135,52,229,189830,189830
10136,52,229,194350,195070
10137,52,229,197890,198000
10138,52,229,199410,204380
10139,52,229,205830,206430
10140,52,229,207650,208540
10141,52,229,209690,209800
10142,52,229,211750,213660
10143,52,229,215020,227080
10144,52,229,229110,230540
10145,52,229,234550,253080
10146,52,229,259220,274460
10147,52,229,277410,278670
10148,52,229,280740,291620
10149,52,229,293720,304720
10150,52,229,306710,314330
10151,52,229,315350,318590
10152,52,229,325920,327150
10153,52,230,70610,71900
10154,52,230,73040,79890
10155,52,231,29020,33380
10156,52,231,84870,86290
10157,52,231,87310,89460
