Event,Driver,Trip,Starttime,Endtime,TailgatingStarttime,TailgatingEndtime
1,1,1,33220,37970,34220,36820
2,1,1,115370,118810,116740,117810
3,1,1,120250,134110,122670,128600
4,1,1,120250,134110,128610,133110
5,1,1,139990,144790,140990,143790
6,1,16,91550,95670,92720,94160
7,1,43,128300,133100,129300,131880
8,1,48,152620,159310,153770,155410
9,1,48,152620,159310,155420,158310
10,1,48,244350,259950,245350,258950
11,1,48,244350,259950,253530,256750
12,1,48,403360,410080,404360,409080
13,1,48,607420,612590,608690,611590
14,1,49,69090,79350,70090,78350
15,1,49,185090,189410,186090,188410
16,1,49,202070,228230,203070,227230
17,1,49,252090,256440,253090,255440
18,1,49,302060,305190,303170,304190
19,1,49,419820,423230,421220,422230
20,1,53,249450,282710,250450,281710
21,1,53,306990,324720,309340,323720
22,1,53,383770,416390,392100,413800
23,1,53,450750,467100,455430,465220
24,1,54,20470,24320,21470,23320
25,1,54,36690,42080,37710,41050
26,1,54,113680,119790,114680,117350
27,1,54,222260,229560,223260,224600
28,1,54,222260,229560,224610,228560
29,1,54,584130,593660,585130,589580
30,1,55,105960,113380,106960,110310
31,1,55,155590,161830,156590,157970
32,1,55,155590,161830,157980,160830
33,1,65,107980,114920,108980,113920
34,1,65,191000,208360,192000,194340
35,1,102,121130,123810,122140,122810
36,1,102,122620,128400,124010,125710
37,1,174,116260,123260,117260,122260
38,2,37,41680,62080,44330,60340
39,2,39,56300,59500,57300,58500
40,2,39,85600,92650,86710,87720
41,2,39,105220,114270,106360,108660
42,2,39,183840,188410,184840,187410
43,2,39,191640,197560,192640,196440
44,2,78,40570,58280,41660,55540
45,2,78,40570,58280,44730,57280
46,2,78,80900,88320,81940,87320
47,2,78,88810,93390,89810,91370
48,2,78,88810,93390,91380,92390
49,2,78,91400,100110,92400,95960
50,2,78,91400,100110,95970,99110
51,2,80,157530,165620,158830,164620
52,2,87,75310,80810,77750,79810
53,2,87,78960,86510,79960,84670
54,2,87,78960,86510,81530,82900
55,2,87,125680,138410,127770,137410
56,2,87,125680,138410,129310,136100
57,2,87,158670,173040,160930,171510
58,2,90,112040,116460,113450,115460
59,2,90,114530,121590,115530,120590
60,2,90,114530,121590,117070,120230
61,2,91,49960,52570,50960,51560
62,2,91,128260,139400,129260,138400
63,2,126,18660,23940,19660,20600
64,2,131,228140,236150,230360,234030
65,2,132,60670,70260,64200,69130
66,2,132,60670,70260,67910,68720
67,2,132,70290,74800,71290,73800
68,2,132,139030,150780,142100,149780
69,2,137,52010,59540,53010,56450
70,2,137,52010,59540,56460,58540
71,2,137,57750,65870,58750,61320
72,2,137,57750,65870,61330,64870
73,2,137,113460,117710,114460,116020
74,2,137,113460,117710,116030,116710
75,2,137,155160,162460,158310,161460
76,2,137,187280,192600,190010,191600
77,2,138,58290,61670,59290,60670
78,2,138,86740,94090,88950,93090
79,2,139,60410,67020,61410,66020
80,2,139,81190,86070,84000,85070
81,2,139,84080,87010,85080,86000
82,2,139,85020,93800,86020,89480
83,2,139,85020,93800,89490,91880
84,2,139,108120,113840,110200,112840
85,2,139,111850,124890,112850,123890
86,2,139,111850,124890,121510,122290
87,2,148,42240,50800,43460,49800
88,2,148,48810,55970,49810,54970
89,2,148,48810,55970,52210,53030
90,2,148,72330,81290,73330,80290
91,2,148,86000,90170,87000,89170
92,2,150,14920,20140,17730,19130
93,2,150,18210,21440,19230,20440
94,2,150,19450,28360,20450,27360
95,2,150,27100,31130,28100,30130
96,2,174,73160,76710,74160,75710
97,2,175,47990,51980,48990,50980
98,2,187,34060,37700,35960,36700
99,2,188,56220,65180,57220,64180
100,2,188,63560,71340,65090,70340
101,2,190,70390,77870,71510,76870
102,2,190,76710,81430,77710,80430
103,2,190,110070,113110,111070,111970
104,2,190,138220,141790,139810,140740
105,2,190,180810,184720,181810,183720
106,2,190,192630,219540,194210,218540
107,2,190,217780,221250,219040,220250
108,2,204,32040,35240,33210,34240
109,2,205,16280,19000,17280,18000
110,2,236,151190,156760,152550,155760
111,2,236,154880,162960,155880,161960
112,2,236,171480,176010,174210,175010
113,2,237,123140,128810,125750,127810
114,2,237,189860,195850,190860,193470
115,2,249,37590,47000,40090,45030
116,2,249,65820,69220,66820,68220
117,2,249,67280,70670,68830,69670
118,2,249,69250,75780,70250,71480
119,2,249,69250,75780,71490,74780
120,2,249,98920,102950,99920,101950
121,2,253,123570,127730,125580,126730
122,2,253,125740,128850,126740,127850
123,2,253,161130,168610,162340,166130
124,2,253,188240,192700,189240,191290
125,2,254,42180,52370,44700,51370
126,2,254,87180,92090,89350,91090
127,2,254,91430,99710,92430,98710
128,2,254,127490,134770,129710,132800
129,2,254,127490,134770,132810,133770
130,2,254,145130,172250,147230,171120
131,2,254,145130,172250,151670,154880
132,2,255,231240,243540,234710,241000
133,2,255,231240,243540,241010,242540
134,2,255,252570,255280,253580,254280
135,2,255,256070,263270,257070,262270
136,2,255,263950,278060,264950,274350
137,2,255,263950,278060,274360,277060
138,2,281,43070,48230,44070,47190
139,2,286,49530,58220,50530,57220
140,2,286,49530,58220,52300,53660
141,2,286,61090,70310,63690,66840
142,2,286,61090,70310,66850,69310
143,2,286,72710,100410,75960,99410
144,3,159,12970,31100,17000,30100
145,4,6,30330,39660,31330,33750
146,4,6,30330,39660,32560,38660
147,4,6,38010,47940,40510,46940
148,4,6,66100,72890,69630,71890
149,4,6,389640,392740,390640,391740
150,4,6,391110,394900,392130,393900
151,4,19,345700,352600,347220,348760
152,4,19,345700,352600,348770,349830
153,4,22,137710,143060,139080,141680
154,4,22,142280,156460,146570,155460
155,4,22,187830,194130,188830,190820
156,4,30,135500,140790,138670,139790
157,4,30,182600,188050,183970,187050
158,4,30,205500,218180,206500,216770
159,4,31,128910,134410,131430,132360
160,4,31,156760,163450,157760,161490
161,4,31,241560,248300,245190,247300
162,4,33,60360,70920,61360,68140
163,4,33,60360,70920,64870,66750
164,4,33,60360,70920,68150,69920
165,4,33,69000,85070,70790,82850
166,4,33,69000,85070,82860,84070
167,4,33,126500,133360,127610,131230
168,4,33,126500,133360,131240,132360
169,4,33,162920,168380,165150,167380
170,4,33,166390,170700,167760,169700
171,4,33,168780,175130,169780,174130
172,4,33,173260,176120,174260,175120
173,4,33,262760,268390,265440,267390
174,4,38,45850,50650,47380,48970
175,4,38,45850,50650,48980,49650
176,4,38,96730,123080,97740,108480
177,4,38,96730,123080,108490,122080
178,4,38,127820,139610,129780,138610
179,4,38,155800,180590,166590,176850
180,4,38,155800,180590,176860,179590
181,4,38,178840,185870,179840,184870
182,4,38,190830,197520,195560,196520
183,4,38,196940,201650,198050,200650
184,4,38,199660,205100,201360,203560
185,4,38,246480,249390,247530,248390
186,4,38,259170,274340,260170,273290
187,4,38,272350,283000,273740,282000
188,4,41,147080,150620,148160,149620
189,4,41,179490,190070,183960,189070
190,4,41,188410,198780,189410,197780
191,4,41,196990,207060,197990,202260
192,4,41,196990,207060,202270,206060
193,4,41,268490,275570,271480,273230
194,4,41,268490,275570,273240,274570
195,4,46,31840,39080,35220,38080
196,4,46,51420,55940,52440,54940
197,4,46,54210,60480,57350,59480
198,4,46,58700,70460,59700,62270
199,4,46,58700,70460,62280,69460
200,4,46,88710,92350,90170,91350
201,4,46,212840,216520,214700,215520
202,4,46,252990,260900,254410,259190
203,4,46,252990,260900,255260,258470
204,4,46,300040,311260,301680,310260
205,4,49,94670,101110,95670,100110
206,4,49,204720,223580,205880,222580
207,4,49,275650,283720,276650,282720
208,4,49,300320,303140,301320,301960
209,4,49,301150,304240,302210,303240
210,4,49,354010,360780,355080,359720
211,4,49,358790,369190,360150,368120
212,4,74,55770,62910,56770,60140
213,4,74,55770,62910,60150,61910
214,4,74,60950,66610,61950,65610
215,4,77,106480,111850,110120,110830
216,4,80,187280,194280,188280,193280
217,4,80,192290,195500,193780,194420
218,4,80,252980,269280,253980,268280
219,4,80,295950,306500,297630,305500
220,4,80,304720,309060,305720,307030
221,4,80,304720,309060,307040,308060
222,4,80,320630,325830,321630,324830
223,4,80,320630,325830,321850,323190
224,4,80,348490,352610,349490,351610
225,4,81,212900,219260,213900,218260
226,4,83,125130,132330,127890,131330
227,4,83,153270,170560,154270,169560
228,4,83,153270,170560,154590,162130
229,4,83,193210,196650,194210,195530
230,4,83,207980,211380,209230,210380
231,4,83,287870,294660,290210,293660
232,4,83,287870,294660,291270,293110
233,4,83,357830,362770,358830,361470
234,4,85,70710,77630,71710,76630
235,4,85,75740,86640,76740,85640
236,4,85,75740,86640,80500,84450
237,4,85,84900,95600,85900,94600
238,4,85,93910,96690,94910,95690
239,4,85,94750,100110,95750,99110
240,4,85,98290,107580,99290,101440
241,4,85,98290,107580,101450,106580
242,4,85,124830,134200,127260,128130
243,4,85,141290,154330,142990,145970
244,4,85,141290,154330,143580,153330
245,4,85,152420,166810,153420,164980
246,4,85,207890,212860,208890,211860
247,4,85,241100,245400,242590,244400
248,4,85,258100,263360,260720,262360
249,4,85,269150,273300,271380,272000
250,4,85,271310,277640,272310,275120
251,4,85,277100,280160,278100,279160
252,4,85,278260,280910,279260,279910
253,4,97,10880,17320,12630,16220
254,4,97,10880,17320,13120,14790
255,4,97,37420,44750,38970,43750
256,4,97,96370,102170,97740,101170
257,4,97,100180,111930,101180,110930
258,4,97,111180,114860,112180,113860
259,4,97,146870,150690,147870,148480
260,4,97,146870,150690,148490,149690
261,4,97,172230,190280,174540,187300
262,4,97,199040,204440,201680,203440
263,4,97,224320,232750,226740,231750
264,4,99,81550,120640,82550,118640
265,4,99,81550,120640,93140,95530
266,4,99,209670,215780,211950,214780
267,4,99,231820,236890,232820,235890
268,4,99,303960,312100,305470,310930
269,4,121,35550,38970,36550,37930
270,4,121,87250,94380,88910,93380
271,4,121,92390,98690,93390,96200
272,4,121,92390,98690,96210,97690
273,4,122,80380,87130,81640,86130
274,4,122,94260,101150,96090,99380
275,4,124,80310,90390,83460,87280
276,4,124,80310,90390,87290,89390
277,4,124,94720,99090,95720,96760
278,4,124,94720,99090,96770,98090
279,4,124,99470,102470,100470,101470
280,4,125,139660,143820,140910,142820
281,4,125,211200,221900,212320,220890
282,4,126,75670,82470,76890,80810
283,4,126,93880,104760,97000,103760
284,4,126,102950,117390,103950,116390
285,4,126,115400,132000,116400,129930
286,4,126,115400,132000,129940,131000
287,4,126,220450,238270,222370,237270
288,4,126,236280,241300,237490,240300
289,4,126,239430,242390,240430,241390
290,4,126,240590,244250,241590,243250
291,4,129,70230,74870,71250,73870
292,4,129,72980,76080,73980,75070
293,4,129,170280,173020,171280,172020
294,4,129,191060,195920,193130,194920
295,4,129,246890,252090,249990,250840
296,4,140,37090,40840,38090,39840
297,4,140,146250,164090,148100,163090
298,4,140,146250,164090,156580,159600
299,4,140,339410,348860,340440,347150
300,4,148,23590,27280,25600,26280
301,4,148,45050,51050,47790,50050
302,4,148,79290,86900,80290,85900
303,4,148,85080,112560,88070,111560
304,4,148,85080,112560,101860,108680
305,4,148,139460,144730,142140,143730
306,4,148,173120,202200,183160,201180
307,4,148,173120,202200,183380,200750
308,4,148,200210,206560,202720,205560
309,4,148,231860,243480,232860,242480
310,4,148,231860,243480,235350,239850
311,4,148,242830,253650,244990,245590
312,4,148,242830,253650,248450,252650
313,4,148,259880,264230,260880,263230
314,4,151,47600,66910,48600,64220
315,4,151,76800,81740,79720,80600
316,4,151,93960,104560,95500,103430
317,4,151,120890,126210,121890,125210
318,4,151,319270,327890,320270,326240
319,4,151,319270,327890,321440,323380
320,4,158,85060,92480,88360,91480
321,4,160,25450,30770,26450,28160
322,4,160,25450,30770,28170,29770
323,4,160,33170,38440,35920,37440
324,4,163,36460,50340,37460,46920
325,4,163,36460,50340,37510,49340
326,4,163,48350,53920,49350,52920
327,4,163,73270,82960,74270,81770
328,4,163,87290,99900,89880,98900
329,4,163,119780,124180,121590,123180
330,4,163,202530,213030,203530,212030
331,4,163,221890,228030,224550,227030
332,4,163,227190,234240,228190,233240
333,4,163,227190,234240,228890,231920
334,4,167,65700,75170,66700,74170
335,4,167,87090,89980,88090,88980
336,4,169,50220,63040,51220,62040
337,4,169,159180,167950,162100,166930
338,4,177,133340,137030,134340,136030
339,4,177,135640,139890,136640,138890
340,4,177,137900,143030,138900,141070
341,4,177,137900,143030,141080,142030
342,4,177,141040,153430,142040,152410
343,4,177,152490,157730,153490,155040
344,4,177,155880,159720,157360,158370
345,4,177,190880,196360,193570,195360
346,4,186,50820,56080,52990,55080
347,4,186,116600,127950,117690,126500
348,4,186,201090,213560,202090,210070
349,4,187,204500,223770,205690,206980
350,4,187,204500,223770,206990,222770
351,4,189,36480,46130,37700,45130
352,4,189,64940,69570,67770,68570
353,4,189,67620,72290,68620,71290
354,4,189,205650,227150,206650,226150
355,4,189,205650,227150,211550,225400
356,4,189,242180,263520,243270,261300
357,4,189,242180,263520,249480,262520
358,4,194,144330,148690,145640,147160
359,4,194,146700,150130,147700,149130
360,4,194,148140,161080,149140,156840
361,4,194,148140,161080,156850,159780
362,4,194,290910,301680,292350,300680
363,4,194,300990,305930,301990,304930
364,4,194,304270,308420,305690,307420
365,4,194,310920,318980,312530,314840
366,4,194,310920,318980,314850,317980
367,4,194,765810,776050,769170,775050
368,4,194,817570,821550,819610,820550
369,4,199,104120,110180,105500,108390
370,4,199,104120,110180,108400,109180
371,4,199,130060,141510,131060,140510
372,4,199,139650,142890,140650,141890
373,4,199,211360,219370,212380,218370
374,4,199,211360,219370,214310,217800
375,4,199,217420,223930,218420,222930
376,4,199,222080,225930,223080,224930
377,4,199,223940,233050,224940,226090
378,4,199,223940,233050,226100,232050
379,4,201,27400,32360,28410,30460
380,4,201,97660,101890,98660,100890
381,4,201,142430,145630,143430,144630
382,4,205,54390,58010,56200,57010
383,4,205,66930,80110,67930,79110
384,4,205,95260,112430,98350,109470
