Event,Driver,Trip,starttime,endtime
1,1,8,56300,70470
2,1,8,76070,80470
3,1,8,94740,102730
4,1,8,145280,148430
5,1,8,167620,176350
6,1,8,215670,220400
7,1,8,230570,236830
8,1,8,236840,241610
9,1,8,241730,245750
10,1,8,270510,274790
11,1,8,324240,333690
12,1,8,335100,339240
13,1,8,436690,439770
14,1,8,497660,504200
15,1,8,541890,542550
16,1,8,542560,548300
17,1,8,548310,551160
18,1,8,551170,552740
19,1,8,552750,553640
20,1,8,555830,569320
21,1,8,569330,570260
22,1,8,571740,577710
23,1,8,608460,609450
24,1,8,614630,617710
25,1,8,617930,618520
26,1,8,618530,621730
27,1,8,666460,668710
28,1,9,829440,833050
29,1,9,863300,865910
30,1,9,905080,905820
31,1,9,916480,920160
32,1,14,134590,142960
33,1,14,153930,157550
34,1,14,213390,215170
35,1,14,310560,319170
36,1,14,339080,356170
37,1,14,369780,382700
38,1,14,382830,388190
39,1,14,400270,416540
40,1,16,39930,44330
41,1,16,47230,55970
42,1,16,73910,86380
43,1,16,87430,98570
44,1,16,119570,123800
45,1,16,123880,127700
46,1,16,143830,149320
47,1,16,198000,223500
48,1,16,248820,257050
49,1,16,264580,270460
50,1,20,47790,48840
51,1,20,49330,56700
52,1,20,84750,89400
53,1,29,52770,54200
54,1,29,66420,73890
55,1,29,95980,99480
56,1,29,99750,116200
57,1,29,116740,117760
58,1,29,121050,126470
59,1,30,43840,45530
60,1,30,59700,66100
61,1,30,70280,71340
62,1,54,37250,39310
63,1,54,47950,60820
64,1,56,104830,109310
65,1,56,121830,122840
66,1,56,125110,128500
67,1,56,128510,130200
68,1,56,133510,134150
69,1,56,169380,178860
70,1,56,194550,197720
71,1,56,201040,218580
72,1,58,131480,136140
73,1,58,147140,147940
74,1,58,149580,153750
75,1,58,154730,158000
76,1,58,158010,159350
77,1,58,181100,181770
78,1,68,22240,30430
79,1,68,34110,37140
80,1,69,23390,30530
81,1,69,35540,37120
82,1,69,40950,48840
83,1,69,53950,56560
84,1,69,56570,60510
85,1,69,67050,70470
86,1,77,27060,28280
87,1,77,37990,38950
88,1,77,39020,40250
89,1,77,40330,41070
90,1,79,27150,36650
91,1,86,20430,21580
92,1,86,21680,23760
93,1,89,41680,44850
94,1,97,33430,35570
95,1,109,88040,97150
96,1,109,107120,111230
97,1,109,111240,129660
98,1,109,136860,137840
99,1,109,137850,140840
100,1,109,141090,148120
101,1,115,83600,92880
102,1,115,92960,102760
103,1,115,191450,192260
104,1,115,203460,205510
105,1,119,94890,106230
106,1,119,106240,112360
107,1,119,125580,137860
108,1,119,225280,227470
109,1,119,227480,233310
110,1,119,240690,247050
111,1,120,66940,70290
112,1,120,77700,84760
113,1,120,101250,102540
114,1,120,102550,107440
115,1,120,256280,258060
116,1,123,90530,92630
117,1,123,92640,95170
118,1,123,135010,151200
119,1,123,152680,162530
120,1,123,163510,179970
121,1,123,262220,264400
122,1,123,290650,292290
123,1,123,292770,298460
124,1,123,302430,319090
125,1,123,325810,341900
126,1,123,341910,352600
127,1,123,358760,362590
128,1,123,404070,407140
129,1,123,427710,440850
130,1,123,463930,482580
131,1,123,486020,494350
132,1,123,502110,504560
133,1,123,519300,520020
134,1,123,540820,546250
135,1,123,546650,553780
136,1,123,558070,583380
137,1,123,604790,616450
138,1,123,634680,635830
139,1,123,636850,659750
140,1,123,659800,695490
141,1,123,695500,701010
142,1,123,703060,707630
143,1,123,711070,717160
144,1,123,729430,731120
145,1,123,759150,776490
146,1,123,782130,784150
147,1,123,802690,806590
148,1,123,809350,813140
149,1,123,853850,887470
150,1,123,895140,910730
151,1,123,929170,935430
152,1,123,944370,954860
153,1,123,959810,964480
154,1,123,977110,981250
155,1,123,1029930,1034150
156,1,123,1039260,1045540
157,1,123,1142690,1149440
158,1,123,1162760,1164030
159,1,123,1169740,1180960
160,1,123,1269370,1277480
161,1,123,1293660,1297480
162,1,123,1297490,1300020
163,1,123,1300120,1301020
164,1,123,1326270,1331690
165,1,123,1377130,1390890
166,1,123,1406580,1413020
167,1,123,1413030,1420010
168,1,126,22910,34140
169,1,132,3080,5230
170,1,132,85280,112110
171,1,132,119850,123800
172,1,132,126340,127920
173,1,132,148380,149620
174,1,132,244860,250950
175,1,132,278040,287250
176,1,132,301710,303320
177,1,133,58740,65480
178,1,133,147710,152130
179,1,133,175890,177750
180,1,133,177880,187170
181,1,133,206790,214900
182,1,134,209020,210090
183,1,134,276190,281640
184,1,134,327630,337080
185,1,134,341520,349070
186,1,134,349080,351210
187,1,134,435020,437590
188,1,134,437760,442400
189,1,134,442450,451160
190,1,134,452480,454360
191,1,134,456280,464830
192,1,134,468180,468790
193,1,134,478910,481590
194,1,134,491250,495120
195,1,134,496410,503940
196,1,134,526520,530620
197,1,134,535360,545140
198,1,134,545190,552940
199,1,134,556550,560200
200,1,134,574030,577390
201,1,134,577400,593320
202,1,134,593410,604620
203,1,134,638600,640160
204,1,134,790610,796810
205,1,134,796820,809580
206,1,134,815710,832340
207,1,134,842480,865540
208,1,134,894430,904840
209,1,134,910270,911460
210,1,134,911470,918680
211,1,134,921790,928510
212,1,134,928660,933370
213,1,134,933380,943860
214,1,134,943870,949520
215,1,134,949530,954980
216,1,134,954990,959370
217,1,134,964150,965340
218,1,134,965350,976320
219,1,144,22950,25090
220,1,144,29240,33700
221,1,146,5170,11470
222,1,146,11570,14370
223,1,147,65960,67490
224,1,147,67580,71060
225,1,157,18300,23160
226,1,158,52020,64990
227,1,159,90510,96810
228,1,159,96940,99110
229,1,159,111500,115670
230,1,159,116240,117640
231,1,159,120460,128070
232,1,171,24720,29380
233,1,231,193650,195440
234,1,231,195450,207860
235,1,231,217610,224540
236,1,249,56900,62320
237,1,249,62330,66000
238,1,249,74200,78920
239,1,249,80110,89780
240,1,259,120990,137160
241,1,259,137700,140930
242,1,260,42330,52100
243,1,264,77710,78670
244,1,264,79010,81020
245,1,264,81030,84390
246,1,269,20710,22400
247,1,279,27640,30150
248,1,279,47590,62110
249,1,279,71420,73130
250,1,279,81880,112960
251,1,279,113230,120240
252,1,279,131850,133110
253,1,279,133450,134000
254,1,279,134340,137450
255,1,279,139700,152130
256,1,279,152140,155410
257,1,279,155670,159100
258,1,279,168430,170080
259,1,279,172670,174550
260,1,281,162930,163990
261,1,281,164290,169660
262,1,281,181210,190060
263,1,283,71030,78700
264,1,283,146370,149950
265,1,285,30930,39090
266,1,285,41350,48540
267,1,285,52500,59270
268,1,285,59280,64680
269,1,285,64690,67420
270,1,285,68110,71240
271,1,317,24280,26400
272,1,317,33530,48650
273,1,317,48810,50890
274,1,317,50900,54140
275,1,317,54150,63070
276,1,317,66880,69370
277,1,317,69620,74000
278,1,317,74850,83070
279,1,317,83830,85430
280,1,317,85440,91420
281,1,317,110260,111930
282,1,317,112200,113270
283,1,317,113380,114920
284,1,317,115100,118290
285,1,317,118900,120000
286,1,317,122210,122720
287,1,317,122730,125340
288,1,317,125380,126480
289,1,317,126490,137150
290,1,317,137630,139280
291,1,319,93940,103290
292,1,319,107410,108740
293,1,319,127610,132830
294,1,319,151060,154830
295,1,326,111860,118410
296,1,332,24920,31000
297,1,352,8080,15790
298,1,352,19670,22710
299,1,352,22720,24270
300,1,352,24320,26630
301,1,352,26690,29540
302,1,352,38580,39790
303,1,360,105340,110340
304,1,361,46050,47110
305,1,361,47240,49420
306,1,361,60720,65780
307,1,361,68030,69910
308,1,361,72000,74900
309,1,361,74960,75800
310,1,361,75810,83230
311,1,365,33130,35600
312,1,365,35610,37070
313,1,365,37180,42280
314,1,365,42400,48450
315,1,365,58850,63870
316,1,365,64070,68750
317,1,380,61050,66390
318,1,380,127930,131640
319,1,381,190500,192580
320,1,418,23210,27400
321,1,418,37410,40100
322,1,418,40110,43150
323,1,418,43360,49120
324,1,418,51260,54170
325,2,1,21840,22750
326,2,1,22790,34820
327,2,1,60060,64070
328,2,1,64170,65850
329,2,1,66270,67120
330,2,4,21520,23620
331,2,4,24160,29200
332,2,5,15960,17140
333,2,5,17880,18840
334,2,5,19250,20430
335,2,5,20440,21610
336,2,5,21930,22690
337,2,6,15180,18180
338,2,6,23430,27150
339,2,16,16920,22070
340,2,16,22080,24400
341,2,17,27450,29130
342,2,17,29900,33810
343,2,18,26280,29450
344,2,18,30590,32130
345,2,18,32380,33770
346,2,18,33970,43470
347,2,18,43810,44620
348,2,18,45420,48080
349,2,26,14650,17990
350,2,26,18040,19650
351,2,26,19780,25520
352,2,27,19230,21230
353,2,27,21310,21980
354,2,27,26600,28840
355,2,28,10690,15080
356,2,29,90610,94720
357,2,29,119230,125320
358,2,29,125420,126160
359,2,29,138650,140550
360,2,29,141330,142590
361,2,30,31560,44680
362,2,30,46170,48360
363,2,30,52870,55560
364,2,30,59810,64020
365,2,30,64110,70030
366,2,30,75190,76160
367,2,30,76930,79080
368,2,33,12550,13510
369,2,38,21700,47450
370,2,38,47920,57360
371,2,38,57670,60890
372,2,38,61000,61830
373,2,38,63410,75610
374,2,38,75620,76410
375,2,38,76420,78680
376,2,44,17700,20910
377,2,44,20920,23980
378,2,44,23990,25770
379,2,50,40450,44310
380,2,50,44430,48750
381,2,50,54250,54810
382,2,50,55550,60270
383,2,61,47350,48170
384,2,62,21220,22670
385,2,63,22950,26390
386,2,63,26550,27130
387,2,68,16000,17750
388,2,69,11720,13080
389,2,69,13180,15410
390,2,72,19940,24080
391,2,72,24090,25100
392,2,77,18580,26530
393,2,77,26540,31370
394,2,78,12710,14370
395,2,78,14720,18280
396,2,82,16330,18330
397,2,82,22050,23070
398,2,83,14780,19620
399,2,91,16330,19750
400,2,91,19850,21810
401,2,92,15110,18040
402,2,92,18430,19580
403,2,92,19910,23140
404,2,93,14580,16510
405,2,93,21020,23750
406,2,94,16240,21200
407,2,96,17720,19830
408,2,96,20460,21050
409,2,96,21120,22850
410,2,97,46090,49950
411,2,102,15670,18080
412,2,102,28800,29410
