Driver,Trip,Hardbraking,Distance,Frequency
1,8,10,122.416290111,0.08168847455622597
1,14,1,57.33805696395,0.017440423567696536
1,20,1,8.08130147803,0.12374244454542645
1,54,2,6.440903319129999,0.31051545115726853
1,68,1,5.49477366726,0.18199111747921287
1,69,1,8.934082714799999,0.11193090907289482
1,77,1,8.929782834400001,0.11198480618674427
1,89,2,6.4570968427,0.30973672049863676
1,123,1,268.77828173665,0.003720538704015542
1,131,1,6.7917294425,0.14723790287380842
1,134,9,145.683301796575,0.061777841997068116
1,231,2,7.769913708559999,0.25740311604704563
1,249,3,6.67871715238,0.449188059855317
1,259,1,6.27499690776,0.15936262833266834
1,264,1,3.00616755479,0.3326494554192793
1,268,1,4.73910759053,0.2110101914542448
1,279,2,26.0675216153,0.07672382628144156
1,281,1,23.384460930316997,0.042763440345273934
1,317,3,23.583683896210005,0.12720658965761122
1,365,2,6.67910675137,0.2994412388437669
1,380,1,10.5043020845189,0.0951990900446196
1,381,1,2.88988561573,0.34603445705839636
1,418,3,6.660984495320001,0.4503838737513645
2,4,1,2.8317135777,0.35314306075130275
2,6,2,2.92986828975,0.6826245422010613
2,17,1,2.993033035730001,0.3341092423846568
2,23,2,2.9316739909700003,0.6822040943707598
2,27,1,2.9321132995599997,0.34105094102266187
2,29,1,14.31162064005,0.0698732886477982
2,30,1,11.471592510379999,0.08717185509293118
2,44,2,2.9301447994000003,0.6825601248134686
2,45,1,2.7881076952099995,0.35866620278621636
2,62,1,2.8664108785,0.3488683382765078
2,68,1,2.8651842941199996,0.34901768868837657
2,72,2,2.8685359639000003,0.6972197752336501
2,76,1,3.0340347565499997,0.32959411484695705
2,77,1,2.8664593453599996,0.34886243951749113
2,78,1,2.82362458304,0.35415472935264275
2,79,1,2.86364516063,0.3492052764596018
2,81,1,3.02821376239,0.3302276782504138
2,82,2,2.86070110957,0.6991293124994193
2,92,1,2.4384864082699997,0.410090454721647
2,102,2,2.864830113219999,0.6981216759663451
2,109,1,2.8655993692800004,0.34896713431761267
2,113,1,2.0798745187999996,0.4807982361248207
2,114,1,3.0295497078899998,0.3300820572099057
2,116,2,2.82478716631,0.7080179433881336
2,119,1,2.86525947989,0.34900853029841156
2,126,2,2.8648673954199997,0.6981125908994448
2,127,2,2.82620699676,0.707662249188692
2,135,1,2.8669993158900002,0.34879673478037465
2,136,1,2.82755412692,0.35366254901344035
2,137,1,2.8713631974000005,0.34826663548014164
2,150,1,2.8230628645599998,0.354225197233027
2,162,1,2.8301589099599997,0.3533370499023087
2,174,1,2.87015836097,0.34841283101258547
2,176,1,2.86598648279,0.34891999875258073
2,179,1,2.86902249661,0.34855076988123557
2,189,1,2.82803755278,0.35360209379715846
2,201,1,2.96961111495,0.3367444292505745
2,216,1,2.2081016747400004,0.4528776964574097
2,228,2,2.86905045826,0.6970947458389927
2,230,1,2.87035471389,0.3483889970674624
2,233,2,2.8679910224099996,0.6973522526299198
2,241,1,2.87211816195,0.34817509016448633
2,243,3,2.8691722467800003,1.0455977341084435
2,248,1,2.21335908631,0.45180197202757066
2,255,1,2.9688325383400005,0.3368327405085442
2,263,2,2.83290101577,0.7059900747913663
2,279,2,2.9721059155,0.6729235285895047
3,26,1,135.0706952131,0.007403530413627527
3,57,1,255.61697852279997,0.003912103201356025
3,90,3,5.623954626150001,0.5334324686850673
3,162,1,6.24328404707,0.1601721133398222
3,164,1,2.7927853685699997,0.3580654679926348
3,177,1,3.23398727296,0.3092158118126177
3,197,1,2.83082688271,0.35325367513914613
3,225,1,2.8315340017699993,0.35316545708965436
3,261,2,2.834876351,0.7054981425537314
3,277,3,5.626935338039999,0.5331498977283387
3,280,1,2.197436604334,0.45507569958000244
3,291,1,5.2505311399900005,0.19045692204044418
3,303,1,2.83420713551,0.35283236269887364
4,178,1,1.8375893070300002,0.5441912380390632
4,229,1,5.12864071531,0.1949834382070874
4,325,1,1.8384610891400002,0.5439331873310316
4,349,1,1.8379540512199999,0.5440832426339595
4,362,1,1.7845280372499999,0.5603722548069482
4,372,1,1.7241360865443003,0.5800006204871612
4,427,1,5.685968594889999,0.17587153064804184
5,240,1,1.83896377747,0.5437845009518212
6,4,1,2.83661245878,0.3525331762908813
6,24,1,3.23081020815,0.3095198837361022
6,26,1,2.83829015778,0.35232479570804737
6,28,1,2.8332514684500003,0.352951374466974
6,32,1,3.2285248092899996,0.30973898578153247
6,38,1,2.8317154418099997,0.35314282827825794
6,43,1,13.184371575099998,0.07584737689649158
6,47,2,2.8336609512799997,0.7058007412977814
6,49,1,2.83278606232,0.3530093618086423
6,52,1,3.2304019680599994,0.30955899912373586
6,53,2,2.8327879264300004,0.7060182590231825
6,55,1,2.83378771076,0.3528845848977896
6,65,1,17.452506181799997,0.057298361025239476
6,73,1,2.8349695565,0.3527374739200308
6,74,1,2.79531931543,0.3577408829395834
6,96,1,2.83859462908,0.3522870048986544
6,103,1,2.7964663644499996,0.35759414549463997
6,108,1,3.2319740341599994,0.3094084263767618
6,117,2,3.2331589867499995,0.6185900564111814
6,118,1,6.9561874404,0.14375690830184087
6,130,1,5.41354445264,0.1847218599105313
6,131,1,10.527628954329998,0.09498815016544647
6,141,1,2.83265060366,0.3530262428793456
6,142,1,3.2353462091500003,0.3090859324952191
6,149,1,2.83790677249,0.3523723928121123
6,150,1,2.79605998847,0.35764611779563377
6,155,1,4.97402646095,0.20104436674207155
6,163,1,2.8003095378999996,0.3571033796320664
6,166,1,2.1836060266,0.4579580692754624
6,175,1,2.83969942494,0.3521499462997317
6,176,1,2.8024470507,0.35683100587046535
6,190,1,2.80084205199,0.3570354848426741
6,193,1,5.189568529289999,0.19269424699876025
6,209,1,12.145124657770001,0.08233756574579389
6,212,1,5.5142374611400005,0.18134873716397087
6,221,3,4.67564334421,0.641622933818294
6,226,1,3.61721287087,0.27645594431369014
6,228,1,3.61858485583,0.2763511261560919
6,232,1,2.83233619044,0.3530654317715904
6,249,1,2.8421283602699994,0.3518489924589476
6,254,1,2.80326042403,0.35672747042259756
6,274,1,2.84651896069,0.35130628455662866
6,277,1,2.1873093918,0.45718269383787136
6,286,1,2.84347114084,0.3516828377954229
7,116,1,9.242175359159999,0.10819963494945932
7,190,1,24.881730175799998,0.040190131190016735
8,2,1,3.40635282548,0.29356911959320797
8,24,1,1.17622420561,0.8501780487346724
8,46,1,3.3994152294299997,0.29416824145006726
8,51,1,16.830552093999998,0.059415757392563176
8,56,1,3.4017136770600005,0.2939694797782834
8,158,1,11.211509397699999,0.08919405626196474
8,177,1,58.488626045,0.01709734127162809
8,183,1,7.5028501253,0.13328268368682297
8,200,1,4.74084680516,0.2109327808086072
8,241,1,7.05171872831,0.1418093997404315
8,260,1,4.74201063117,0.21088101182794464
9,23,3,6.591915491599999,0.4551029217262971
9,26,1,14.0264708402,0.07129377099861715
9,42,1,24.165277517030002,0.04138168904930927
9,52,2,8.51227003989,0.23495495216054554
9,59,1,8.518734152,0.11738833283877315
9,68,1,8.526690794849998,0.11727879244829495
9,80,1,4.95177582262,0.20194775285099575
9,83,1,8.516740797039999,0.11741580774039183
9,109,1,7.2912425718,0.13715083405229905
9,116,1,8.517956818130001,0.11739904549311111
9,122,1,6.762985487670001,0.14786369153433188
9,150,1,8.531121162949999,0.11721788741471904
9,169,1,8.52647704357,0.11728173252446876
9,174,1,8.527125753850001,0.1172728101902918
9,183,1,8.51764116217,0.11740339619393343
9,191,1,8.51525137315,0.11743634523264525
9,214,2,8.532724297549999,0.23439172886135087
9,220,1,7.310001732099999,0.13679887319434636
9,221,1,8.52601536566,0.11728808325019831
9,226,2,9.15640144436,0.2184264213570414
9,227,2,8.52723697908,0.23454256107888527
9,269,1,16.295768015116,0.061365625668725596
9,272,1,7.961282619790001,0.12560790110807266
9,274,3,7.96254089404,0.3767641560554514
9,301,3,8.45143605278,0.3549692598115542
9,302,1,9.15742856897,0.10920096099777463
9,304,1,8.52846542757,0.11725438866965404
9,319,1,8.52789563128,0.11726222308960228
9,338,1,8.53070919464,0.11722354814630397
10,8,1,17.8759636231,0.055941040219379394
10,111,2,8.414505548200001,0.23768479188035385
10,350,2,9.11563584414,0.21940323573650686
10,351,1,16.74301038155,0.05972641581241282
11,8,3,17.975322923032,0.1668954718001791
11,12,1,17.97367529834,0.055636923634219494
11,17,2,17.984504907522,0.111206842239149
11,20,1,18.448982710742,0.054203530659592714
11,21,1,12.1640696077,0.08220932897054356
11,30,1,39.58102355885,0.025264632141540667
11,32,1,17.977910742671,0.055623816043678324
11,36,2,16.295788644599998,0.12273109596710118
11,41,1,7.300507198499999,0.13697678432608973
11,42,2,18.462073671765,0.10833019278103645
11,51,5,7.2880176615000005,0.6860576129519029
11,63,3,18.012405601125,0.16655187910118063
11,70,1,16.8049081541,0.05950642460107844
11,76,2,13.6502934422,0.1465169967567864
11,88,1,18.000663634372,0.05555350737683442
11,101,4,18.022526786369998,0.22194446136293738
11,102,1,16.812495081799998,0.05947957130304403
11,108,1,17.998750933238,0.05555941096741976
11,113,1,17.982640859659003,0.05560918486913287
11,135,2,20.721220581319997,0.09651941072443304
11,158,5,18.059236518189,0.2768666324827228
11,162,1,18.57174019512,0.05384525033700206
11,168,1,18.038483133011,0.05543703384737313
11,172,2,18.026618756368,0.11094704043116735
11,174,3,11.67047937724,0.25705884934346906
11,195,5,18.041412022642998,0.27714017027739934
11,197,1,17.143020425899998,0.05833277772271572
11,207,6,18.031683108278997,0.3327476400273019
11,208,1,16.547250869899997,0.060432999285641664
11,228,1,4.196805431742,0.23827647391909765
11,229,1,16.8379153285,0.05938977483200616
11,233,1,5.573582086497,0.17941782941040357
11,236,2,6.779758252353999,0.29499576910512704
11,237,2,16.8700898671,0.11855301398840763
11,243,2,5.5769421447720005,0.35861946351278945
11,256,1,9.22894577049,0.10835473789406676
11,261,5,15.397887805882998,0.32471986177803386
11,264,1,18.009487771878998,0.055526287736037384
11,268,1,18.030145155392,0.05546267050994569
11,296,1,2.8544843027199995,0.3503259762357472
11,308,2,18.064256380008,0.1107158776938879
11,309,1,20.69622038074,0.04831800114240205
11,322,3,18.056633723533004,0.1661439250490048
11,325,5,18.773084518193,0.26633875723270195
11,330,1,16.874439457100003,0.059261227760620226
11,340,1,15.571718611,0.06421898731804665
11,343,1,7.235596402820001,0.13820560798696016
11,347,3,18.069769485333,0.1660231472479525
11,349,2,18.052328375077,0.11078903277436472
11,352,1,28.27986165481,0.035360851909610184
11,368,1,18.029196136991,0.05546558994653524
11,371,1,11.34707306923,0.08812845338166655
11,374,2,18.051263533307996,0.11079556820549552
11,375,3,15.151215647348598,0.19800391399781758
11,376,1,10.580493995464,0.09451354543830501
11,378,1,20.33279287377,0.04918163511565764
11,385,3,18.049337037759997,0.1662110909516438
11,396,1,10.423801817687,0.09593428745961097
11,400,1,18.006207621786,0.055536402834213905
11,421,2,13.9638367442,0.14322711133318836
11,427,1,7.5031918788,0.13327661296060736
11,429,3,18.073964478477,0.1659846130367517
11,443,2,18.078449651411002,0.11062895538965103
13,7,1,6.80741841363,0.14689856554105335
13,127,1,3.3314497788299997,0.30016961574945267
13,175,1,8.476487827069999,0.11797338949823775
13,184,1,8.47726578231,0.11796256312816777
13,236,1,8.59784387355,0.11630822968027515
13,265,2,6.946390299609999,0.28791932410021487
13,330,1,7.195294344620001,0.1389797209265957
13,364,1,12.68282470179,0.07884678874879224
14,678,1,17.10719906677,0.05845492275485688
14,704,2,0.243754254724,8.204984984834729
15,235,1,1.7406399471470997,0.5745013502872867
15,275,1,1.8600114434800001,0.5376311008759407
15,277,1,1.85916700165,0.5378752952868171
15,280,1,1.8023837255699997,0.5548208108036219
16,285,1,14.860847718939999,0.06729091226239471
17,15,1,7.654414695700001,0.13064356188615797
17,26,1,2.8296382019,0.35340207074124746
17,42,2,2.82666246097,0.707548222547123
17,79,3,24.93683202466,0.12030397433937495
17,162,1,5.62535270865,0.17776663114160265
17,758,1,2.8017181836900003,0.3569238354597645
17,771,1,10.523092331960001,0.09502910061549777
18,1,1,10.0284954821,0.09971585486426292
18,186,1,8.96092527743,0.11159561864874748
18,610,2,16.72279845819,0.11959720766834327
20,1,1,7.1290277196,0.14027158251197103
20,10,1,4.27446574563,0.233947365474235
20,11,1,18.706480551400002,0.05345740997363395
20,296,1,29.0330347951,0.03444352294059087
20,496,1,3.7731139825,0.2650330747064835
20,497,1,4.25296261541,0.23513021167330353
21,2,1,3.58655261096,0.2788192753520862
21,15,1,5.963375192484999,0.16769027064743344
21,21,3,16.4274569476,0.18262108429620877
21,22,3,14.9984302216,0.20002093256929968
21,123,1,5.9625585880309995,0.1677132367315199
21,141,3,16.4260029418,0.1826372496479812
21,186,2,16.8634971314,0.11859936194823908
21,203,1,9.870704784299999,0.10130988838715603
21,225,1,9.6193109097,0.10395755053427079
21,240,1,8.992966842849999,0.11119800811842934
21,273,3,16.429954855000002,0.1825933197307011
21,277,1,11.81130853815,0.08466462431068028
21,320,1,14.8219487142,0.06746751181522855
21,337,1,4.14524688317,0.24124015485303707
21,362,1,9.8570532854,0.10145019723908492
21,368,3,16.4126310594,0.18278604991134625
21,372,1,9.975780315409999,0.10024278486318096
21,391,1,86.34431009068,0.01158153906088063
21,397,1,73.76381446459999,0.013556782648217173
21,401,2,6.517972461599999,0.3068438861598151
21,412,3,14.144928816999998,0.2120901447304894
21,413,1,2.01834335455,0.4954558389412168
21,446,2,9.0966268931,0.21986171616173966
21,459,1,16.838921947899998,0.059386224551311685
21,565,1,3.5997498883899994,0.27779707785399876
22,5,1,6.881200508799999,0.14532347934363393
22,30,1,6.5602691175,0.15243277098685273
22,71,3,0.39205135097899996,7.652058824714249
23,122,1,2.6411866228199994,0.37861769833299336
23,137,1,1.8506902721099998,0.5403389292471317
23,265,1,1.84600079272,0.5417115766925238
23,292,1,1.84443804717,0.5421705551641286
23,299,1,11.59228058411,0.08626430258863298
23,306,1,21.74772817091,0.045981814382690826
24,165,1,18.3997412509,0.054348590361350126
24,201,1,21.6092042927,0.046276576705687356
24,236,1,11.220351492799999,0.08912376770386304
24,265,1,21.586586424700002,0.046325064108133876
24,266,1,21.592315456099996,0.0463127728025802
24,301,2,21.820842914700002,0.09165548772878357
24,302,1,21.5996165536,0.046297118169596876
24,318,1,5.39746712526,0.1852720872203236
24,417,1,11.215119557400001,0.08916534459413554
24,522,1,11.2292557249,0.08905309706168485
25,26,1,21.74290074738,0.04599202340196026
25,38,1,1.84776548352,0.5411942202183561
25,70,1,2.27639645144,0.4392907919740523
25,92,1,1.8417027764300002,0.5429757791528248
25,140,1,1.7271978810056001,0.5789724564841321
25,144,1,1.84265968623,0.5426938069318462
25,169,1,1.8449985229099999,0.5420058539790932
25,177,1,1.8429411668400002,0.5426109188904008
25,183,2,1.84369488865,1.084778187710034
25,202,1,1.8423980894599998,0.5427708624541053
25,214,1,1.8408577132300001,0.5432250373362008
26,1,1,3.4385863942299997,0.2908171804780055
26,38,1,15.3947959309,0.06495701563622731
26,78,2,14.059154902200001,0.1422560611866533
26,122,1,13.7957126633,0.07248628790741973
26,140,1,2.69513396622,0.3710390698695129
26,144,2,13.804921366699999,0.14487587048661985
26,145,1,14.0744157494,0.07105090668098464
26,147,1,14.058937422699998,0.07112913088192348
26,150,1,14.0727318367,0.07105940847903601
26,157,1,13.7980738693,0.07247388363566803
26,160,3,14.0835188199,0.21301494593531572
26,163,1,14.0679348603,0.07108363878070124
26,166,1,14.948820040800001,0.06689491192419786
26,170,3,11.684186799439999,0.2567572781482563
27,2,1,7.3525158675,0.13600786696976142
27,24,1,9.8982811849,0.10102764119547517
27,27,1,7.3570767233,0.1359235519228692
27,30,1,9.8914585423,0.1010973251036319
27,38,1,9.898610511,0.10102428001270815
27,45,1,7.3550262023,0.1359614462946833
27,55,1,7.364669864699999,0.1357834116629117
27,56,1,7.5117916396,0.13312403325037508
27,63,1,7.5045216105999994,0.13325299757782272
27,84,2,7.3627498313999995,0.27163764161462856
27,88,1,7.8197053294000005,0.127882056660149
27,89,2,7.3549764927,0.2719247304168886
27,101,1,5.6825088067300005,0.17597860980270966
27,117,1,7.4964065184,0.1333972480741927
27,151,2,7.350285149199999,0.2720982872640905
27,163,1,7.3462338168,0.13612417259482185
27,178,1,7.3587419949,0.1358927926394285
27,179,1,8.3272714139,0.12008735518465097
27,185,1,7.8071039458,0.1280884700578339
27,190,4,7.3188438272,0.5465344109590458
27,201,1,7.5002590124,0.133328728827461
27,204,1,7.5069263125,0.13321031249965395
27,214,4,31.73439551009,0.12604620115509035
27,231,1,7.503359648700001,0.13327363298829153
27,238,1,9.898399245199998,0.10102643621744466
27,262,2,7.3519628482,0.2720361951352441
27,263,1,30.962308239822004,0.032297333656599134
27,268,1,7.5056276492,0.13323336125081914
27,325,1,5.91394614104,0.1690918341410773
27,372,1,8.328781343,0.12006558448559335
27,393,1,7.3422197666,0.1361985927674125
29,63,1,7.808110565199999,0.12807195692859477
29,85,1,14.6964941112,0.06804343896126311
29,132,1,11.2556763773,0.0888440611189533
29,212,1,11.410894603300001,0.0876355478483521
29,605,1,34.4310561824,0.029043547043763544
31,143,2,10.00190395295,0.19996192818969355
31,499,1,4.28893310334,0.23315821811752008
31,505,1,5.22981280008,0.19121143303345448
31,543,3,12.573984911219998,0.23858784794015817
31,546,1,14.497474271160002,0.06897753231328797
31,555,1,12.000127346899998,0.083332448989246
33,39,1,16.86421419238,0.05929715957069878
33,41,1,7.45010637559,0.13422627135586457
33,199,2,8.60803185607,0.2323411475980644
33,200,2,5.03119498643,0.39751987458135585
33,352,1,3.62239758215,0.2760602549338249
33,360,2,2.63006782804,0.760436662004438
33,379,2,2.63390354505,0.7593292486957922
33,384,1,0.9769806723700001,1.0235617021718133
33,444,1,0.97564721235,1.0249606490355694
34,9,1,24.53795349508,0.040753194849786706
34,15,2,11.46095962694,0.17450545723054667
34,27,1,2.84854462689,0.3510564625037262
34,35,1,2.80047606506,0.3570821448811687
34,42,2,16.72286121656,0.11959675883810349
34,47,2,2.84205565998,0.7037159856376896
34,51,2,2.8494903520300006,0.7018798988300429
34,55,1,2.84588392055,0.3513846762262666
34,58,1,2.8439284691599993,0.35162628415030645
34,60,1,2.84315362077,0.35172211332329417
34,61,1,2.7989151836199997,0.3572812802089422
34,62,2,2.84692347256,0.7025127367408888
34,63,1,2.80484678164,0.35652571347062956
34,76,1,2.8452706283599998,0.3514604164653382
34,93,1,2.19019814093,0.4565796953765018
34,101,2,12.240390931375002,0.16339347421278266
34,142,1,2.4160369315400003,0.4139009577815486
34,158,2,2.84999179762,0.7017564056395461
34,165,1,2.8469495700999996,0.3512531484584305
35,1,1,3.593941943,0.27824600838300184
35,11,2,6.970460309299999,0.286925096945405
35,363,7,130.55128976306,0.05361877322471829
35,373,1,6.9814337035,0.14323705451770893
35,390,1,6.9755058337,0.1433587791108724
35,391,1,5.01131860287,0.1995482784565516
35,399,1,8.55990177861,0.11682377039639176
35,410,1,4.0380164409,0.24764634187004902
35,458,2,14.0188963399,0.14266458296775356
35,479,1,10.05042176529,0.09949831194682658
35,487,2,7.145898536469999,0.2798808281131822
35,498,1,7.14632355355,0.13993209130633905
35,555,1,8.63127357955,0.11585775734988765
35,562,1,13.626109721799999,0.073388518103603
35,590,1,3.00443268975,0.33284153890737034
37,39,1,8.3101091745,0.12033536250866013
37,63,1,8.186014750430001,0.12215956487831534
37,72,1,8.18678711334,0.1221480400254387
37,77,2,12.1695811596,0.16434419342544881
37,348,2,8.847373016779999,0.22605580167206513
38,91,1,9.5951644715,0.10421916195081868
38,99,1,16.810133875800002,0.05948792599680647
38,100,1,8.97196391548,0.11145831720016454
38,103,1,9.058736371870001,0.11039067248996112
38,198,1,3.58497184568,0.2789422185295626
38,209,1,9.32286584599,0.10726315454063144
38,232,5,16.918159050299998,0.29554042996843316
38,249,1,3.2593174210100004,0.30681270672008343
38,256,2,8.92637586269,0.2240550959051025
38,269,1,8.94370711473,0.11181045926168937
38,282,1,8.9489955948,0.11174438398216117
38,310,3,10.404604529399998,0.2883338805932493
38,333,2,10.3962284618,0.19237745758943436
38,365,1,10.41397354626,0.09602482621622684
38,370,1,8.957209484829999,0.11164191277357172
38,384,1,8.945637089949999,0.1117863367298292
38,398,2,8.95012586683,0.22346054455079636
38,410,1,8.95667137841,0.1116486200901033
38,421,1,8.58177338124,0.11652603204205186
38,445,1,9.21739823041,0.1084904845166399
38,460,1,12.322839584619999,0.08115012721971071
39,95,1,5.81729390165,0.17190123395972187
39,96,1,6.3763560249,0.15682938595256418
39,309,1,28.249339960409998,0.035399057160324765
39,335,1,7.4197915974,0.13477467485076186
40,10,5,68.31742563649999,0.07318776949535181
40,17,1,9.75363121986,0.10252591854855402
40,40,5,31.291441342299997,0.15978810133111265
40,122,6,30.8334209714625,0.1945940414965056
40,123,2,30.3248071018,0.06595260419253533
40,132,3,31.076534314099998,0.09653586109950635
40,159,2,20.479302909904998,0.09765957409774344
40,203,1,19.787620855500002,0.050536646487344045
40,221,1,12.384163832659999,0.08074828575529347
40,235,1,41.272362003172006,0.024229289322553058
40,297,1,30.8462056592125,0.032418898163617114
41,1,1,20.28936780995,0.0492868979145617
41,209,1,4.253748027089999,0.23508679725068313
41,362,3,27.2153100656,0.11023207131459374
