Driver,Trip,Tailgating,Total,Ratio
1,8,127920,700270,0.18267239778942407
1,9,10640,157940,0.06736735469165506
1,14,74020,294090,0.2516916590159475
1,16,89900,253100,0.35519557487159226
1,20,13070,48080,0.2718386023294509
1,29,35290,86760,0.40675426463808206
1,30,9150,61230,0.14943655071043607
1,54,14930,36360,0.4106160616061606
1,56,41400,195820,0.21141864978041058
1,58,14910,179320,0.08314744590675886
1,68,11220,33420,0.3357271095152603
1,69,26580,49980,0.531812725090036
1,77,4150,46360,0.08951682484900776
1,79,9500,63160,0.15041165294490183
1,86,3230,58280,0.05542210020590254
1,89,3170,37420,0.08471405665419562
1,97,2140,21730,0.09848136217211229
1,109,42640,55290,0.7712063664315427
1,115,21940,120830,0.18157742282545725
1,119,44120,142490,0.3096357639132571
1,120,18370,118340,0.15523069122866318
1,123,456920,1297920,0.3520401873767258
1,126,11230,43590,0.2576278963064923
1,132,52660,327960,0.16056836199536528
1,133,30420,331080,0.09188111634650235
1,134,251030,848160,0.29597009998113566
1,144,6600,27810,0.2373247033441208
1,146,9100,27280,0.33357771260997066
1,147,5010,5470,0.9159049360146252
1,157,4860,49300,0.09858012170385395
1,158,12970,16380,0.7918192918192918
1,159,21650,42690,0.5071445303349731
1,171,4660,6390,0.729264475743349
1,231,21130,48180,0.4385637193856372
1,249,23480,52690,0.44562535585500096
1,259,19400,44280,0.43812104787714545
1,260,9770,29570,0.33040243490023674
1,264,6330,20570,0.3077297034516286
1,269,1690,23510,0.07188430455125479
1,279,84410,148960,0.5666621911922664
1,281,15280,119710,0.12764180101912956
1,283,11250,20450,0.5501222493887531
1,285,33380,38810,0.8600876062870394
1,317,79250,129620,0.6114025613331276
1,319,19670,125150,0.15717139432680782
1,326,6550,15140,0.43262879788639363
1,332,6080,6720,0.9047619047619048
1,352,18670,33180,0.5626883664858349
1,360,5000,29210,0.17117425539198905
1,361,21340,43940,0.48566226672735546
1,365,24780,41610,0.5955299206921413
1,380,9050,54750,0.16529680365296803
1,381,2080,17690,0.11758055398530243
1,418,18590,38310,0.48525189245627776
2,1,19480,59000,0.33016949152542374
2,4,7140,18550,0.3849056603773585
2,5,5250,12430,0.4223652453740949
2,6,6720,17680,0.38009049773755654
2,16,7470,10740,0.6955307262569832
2,17,5590,15780,0.35424588086185044
2,18,19070,25030,0.7618857371154615
2,26,10690,13380,0.7989536621823617
2,27,4910,20010,0.24537731134432783
2,28,4390,11150,0.3937219730941704
2,29,14100,76280,0.18484530676455166
2,30,31250,58220,0.5367571281346616
2,33,960,10870,0.08831646734130635
2,38,54490,65710,0.8292497336782834
2,44,8050,17890,0.44997205142537733
2,50,13460,28910,0.46558284330681426
2,61,820,48730,0.016827416375949106
2,62,1450,17050,0.08504398826979472
2,63,4020,21720,0.1850828729281768
2,68,1750,17320,0.10103926096997691
2,69,3590,11330,0.31685789938217124
2,72,5150,17140,0.30046674445740956
2,77,12780,21200,0.6028301886792453
