Driver,Trip,TripTime,Distance
1,8,584380,159368.3
1,8,115890,37642
1,9,157940,52883.5
1,10,135910,42700.96
1,11,56710,142.8553
1,14,69960,21927.89
1,14,33510,9557.055
1,14,190620,60791.89
1,16,253100,82105.05
1,17,16700,5116.018
1,17,18810,5654.765
1,20,21710,6635.679
1,20,26370,6369.94
1,24,18980,5744.664
1,29,30280,8377.154
1,29,56480,15671.24
1,30,31170,9344.218
1,30,30060,8730.693
1,50,12540,3540.114
1,54,21080,5502.083
1,54,15280,4863.566
1,56,4880,1451.81
1,56,70350,23059.27
1,56,34190,9150.525
1,56,86400,20458.5
1,58,71910,21343.73
1,58,29850,9470.805
1,58,68570,22648.09
1,58,8990,2682.484
1,68,19930,5125.433
1,68,13490,3717.565
1,69,16870,4893.069
1,69,33110,9484.971
1,77,46360,14371.12
1,79,63160,20163.2
1,86,29310,9330.735
1,86,28970,9685.791
1,89,22230,5517.365
1,89,15190,4874.345
1,97,6190,1455.73
1,97,15540,4518.865
1,109,10540,2497.461
1,109,28160,7714.268
1,109,16590,4519.125
1,115,54800,16805.92
1,115,30870,8257.182
1,115,35160,10625.59
1,119,20180,5837.941
1,119,29940,9477.086
1,119,69480,22648.19
1,119,22890,6994.609
1,120,38970,12250.19
1,120,32350,9693.874
1,120,31930,10130.02
1,120,15090,4867.988
1,123,127650,41346.66
1,123,279880,92886.86
1,123,1420,488.125
1,123,0,0
1,123,306250,100468.6
1,123,582720,197367.3
1,126,43590,7795.364
1,127,36680,11723.71
1,131,36880,10930.25
1,132,327960,99690.09
1,133,331080,111298.5
1,134,317700,88949.45
1,134,320450,103495.8
1,134,5350,496.6875
1,134,204660,41513.06
1,144,16070,5117.424
1,144,11740,3709.796
1,146,16060,4891.121
1,146,11220,2766.787
1,147,5470,1659.537
1,155,6950,2016.383
1,155,14710,4865.924
1,157,18380,5664.777
1,157,30920,9684.605
1,158,16380,4493.385
1,159,23010,6638.904
1,159,19680,5818.146
1,171,6390,1982.982
1,202,520,67.94141
1,223,540,108.9648
1,231,24070,6664.746
1,231,24110,5839.742
1,249,30300,4911.437
1,249,22390,5836.937
1,259,17800,4518.944
1,259,26480,5579.704
1,260,13750,4266.427
1,260,15820,4883.286
1,264,20570,4837.967
1,265,30860,9398.979
1,265,15290,4884.533
1,268,18030,5687.445
1,268,7200,1939.424
1,269,8180,2015.945
1,269,15330,4884.274
1,279,20420,5450.914
1,279,79340,23134.59
1,279,31680,9173.463
1,279,17520,4192.723
1,281,16700,4744.887
1,281,29290,9498.383
1,281,71450,22722.28
1,281,2270,668.1641
1,283,16470,4503.316
1,283,3980,1158.896
1,285,18860,5134.307
1,285,19950,5673.046
1,317,5510,1460.384
1,317,73960,23117.13
1,317,31920,9175.174
1,317,18230,4201.645
1,319,24510,5857.901
1,319,28520,9494.989
1,319,69960,22721.41
1,319,2160,664.1719
1,326,15140,4218.916
1,332,6720,1979.212
1,345,6540,1980.652
1,352,33180,10445.93
1,360,3190,728.1628
1,360,26020,8260.867
1,361,40430,12347.24
1,361,3510,654.8652
1,365,18920,4914.234
1,365,22690,5834.767
1,380,3380,729.4987
