Driver,Trip,Week,Treatment
1,8,1,0
1,9,1,0
1,10,1,0
1,11,1,0
1,14,1,0
1,16,1,0
1,17,1,0
1,20,1,0
1,24,1,0
1,29,1,0
1,30,1,0
1,50,2,0
1,54,2,0
1,56,2,0
1,58,2,0
1,68,2,0
1,69,2,0
1,77,2,0
1,79,2,0
1,86,3,0
1,89,3,0
1,97,3,0
1,109,4,1
1,115,4,1
1,119,4,1
1,120,4,1
1,123,4,1
1,126,4,1
1,127,4,1
1,131,5,1
1,132,5,1
1,133,5,1
1,134,5,1
1,144,5,1
1,146,5,1
1,147,5,1
1,155,5,1
1,157,5,1
1,158,5,1
1,159,5,1
1,171,6,1
1,202,7,1
1,223,7,1
2,1,1,0
2,4,1,0
2,5,1,0
2,6,1,0
2,16,1,0
2,17,1,0
2,18,1,0
2,20,1,0
2,23,1,0
2,26,1,0
2,27,1,0
2,28,1,0
2,29,1,0
2,30,1,0
2,33,1,0
2,34,2,0
2,38,2,0
2,44,2,0
2,45,2,0
2,50,2,0
2,61,2,0
2,62,2,0
2,63,2,0
2,64,2,0
2,66,2,0
2,68,2,0
2,69,3,0
2,72,3,0
2,74,3,0
2,76,3,0
2,77,3,0
2,78,3,0
2,79,3,0
2,81,3,0
2,82,3,0
2,83,3,0
2,84,3,0
2,85,3,0
2,91,3,0
2,92,3,0
2,93,3,0
2,94,4,1
2,96,4,1
2,97,4,1
2,102,4,1
2,103,4,1
2,104,4,1
2,108,4,1
2,109,4,1
2,110,4,1
2,113,4,1
2,114,4,1
2,115,5,1
2,116,5,1
2,119,5,1
2,121,5,1
2,122,5,1
2,123,5,1
2,126,5,1
2,127,5,1
2,129,5,1
2,135,6,1
2,136,6,1
2,137,6,1
2,138,6,1
2,139,6,1
2,141,6,1
2,142,6,1
2,143,6,1
2,144,6,1
2,145,7,1
2,147,7,1
2,148,7,1
2,150,7,1
2,152,7,1
2,154,7,1
2,155,7,1
2,156,7,1
2,158,7,1
2,159,7,1
2,161,7,1
2,162,7,1
2,163,7,1
3,2,1,0
3,26,1,0
3,27,1,0
3,28,1,0
3,42,1,0
3,43,1,0
3,57,2,0
3,69,2,0
3,70,2,0
3,73,2,0
3,90,3,0
3,92,3,0
3,102,3,0
3,108,3,0
3,114,3,0
3,115,3,0
3,122,3,0
3,125,3,0
3,148,5,1
3,150,5,1
3,153,5,1
3,162,6,1
3,163,6,1
3,164,6,1
3,175,7,1
3,177,7,1
3,186,7,1
4,17,1,0
4,19,1,0
4,42,1,0
4,43,1,0
4,50,1,0
4,53,1,0
4,56,1,0
4,58,2,0
4,60,2,0
4,61,2,0
4,62,2,0
4,64,2,0
4,65,2,0
4,80,2,0
4,82,2,0
4,84,2,0
4,85,2,0
4,89,2,0
4,90,2,0
4,93,2,0
4,102,2,0
4,104,2,0
4,105,2,0
4,106,2,0
4,107,2,0
4,108,2,0
4,109,2,0
4,112,2,0
4,115,2,0
4,117,2,0
4,118,3,0
4,120,3,0
4,124,3,0
4,125,3,0
4,126,3,0
4,128,3,0
4,136,3,0
4,138,3,0
4,140,3,0
4,141,3,0
4,143,3,0
4,152,3,0
4,174,4,1
4,176,4,1
4,177,4,1
4,178,4,1
4,179,4,1
4,183,4,1
4,185,4,1
4,190,4,1
4,191,4,1
4,192,4,1
4,194,4,1
4,196,4,1
4,197,4,1
4,200,5,1
4,201,5,1
4,229,5,1
4,230,5,1
4,231,5,1
4,232,5,1
4,233,5,1
4,234,5,1
4,235,5,1
4,236,5,1
4,237,5,1
4,249,6,1
4,251,6,1
4,252,6,1
4,253,6,1
4,254,6,1
4,255,6,1
4,256,6,1
4,257,6,1
4,262,7,1
4,263,7,1
4,266,7,1
4,267,7,1
4,271,7,1
4,282,7,1
4,285,7,1
4,286,7,1
4,291,7,1
4,292,7,1
4,293,7,1
4,294,7,1
4,298,7,1
5,1,1,0
5,29,2,0
5,30,2,0
5,32,2,0
5,33,2,0
5,36,2,0
5,111,6,1
6,1,1,0
6,4,1,0
6,5,1,0
6,6,1,0
6,12,1,0
6,16,1,0
6,17,1,0
6,18,1,0
6,19,1,0
6,22,1,0
6,24,1,0
6,26,1,0
6,27,1,0
6,28,1,0
6,29,1,0
6,30,1,0
6,32,1,0
6,34,1,0
6,35,1,0
6,36,1,0
6,37,1,0
6,38,1,0
6,39,2,0
6,40,2,0
6,42,2,0
6,43,2,0
6,44,2,0
6,45,2,0
6,47,2,0
6,48,2,0
6,49,2,0
6,52,2,0
6,53,2,0
6,54,2,0
6,55,2,0
6,58,2,0
6,60,2,0
6,64,2,0
6,65,2,0
6,66,2,0
6,70,2,0
6,71,2,0
6,72,2,0
6,73,2,0
6,74,3,0
6,76,3,0
6,78,3,0
6,79,3,0
6,80,3,0
6,81,3,0
6,84,3,0
6,85,3,0
6,86,3,0
6,88,3,0
6,90,3,0
6,91,3,0
6,92,3,0
6,93,3,0
6,96,3,0
6,97,3,0
6,98,3,0
6,100,3,0
6,101,3,0
6,103,3,0
6,104,4,0
6,105,4,1
6,107,4,1
6,108,4,1
6,109,4,1
6,110,4,1
6,111,4,1
6,113,4,1
6,115,4,1
6,116,4,1
6,117,5,1
6,118,5,1
6,120,5,1
6,121,5,1
6,123,5,1
6,130,5,1
6,131,5,1
6,132,5,1
6,133,5,1
6,137,5,1
6,138,5,1
6,139,5,1
6,140,5,1
6,141,5,1
6,142,5,1
6,146,5,1
6,147,5,1
6,149,5,1
6,150,5,1
6,151,5,1
6,152,6,1
6,153,6,1
6,154,6,1
6,155,6,1
6,156,6,1
6,157,6,1
6,159,6,1
6,160,6,1
6,162,6,1
6,163,6,1
6,166,6,1
6,167,6,1
6,169,6,1
6,170,6,1
6,171,6,1
6,173,6,1
6,174,6,1
6,175,6,1
6,176,6,1
6,179,7,1
6,181,7,1
6,182,7,1
6,183,7,1
6,186,7,1
6,190,7,1
6,191,7,1
6,192,7,1
6,193,7,1
6,194,7,1
6,195,7,1
6,196,7,1
6,198,7,1
6,202,7,1
6,203,7,1
6,205,7,1
6,206,7,1
6,207,7,1
7,7,1,0
7,8,1,0
7,18,1,0
7,32,2,0
7,33,2,0
7,91,5,0
7,92,5,0
7,110,6,0
7,111,6,0
7,116,6,0
7,120,6,0
7,136,7,0
7,142,7,0
8,1,1,0
8,2,1,0
8,8,1,0
8,11,1,0
8,12,1,0
8,22,1,0
8,24,1,0
8,45,3,0
8,46,3,0
8,47,3,0
8,48,3,0
8,50,3,0
8,51,3,0
8,55,3,0
8,56,3,0
8,73,4,0
8,74,4,0
8,93,5,0
8,94,5,0
8,138,7,0
8,139,7,0
9,7,1,0
9,9,1,0
9,11,1,0
9,23,1,0
9,26,1,0
9,27,1,0
9,28,1,0
9,29,1,0
9,30,1,0
9,36,1,0
9,39,1,0
9,40,1,0
9,42,2,0
9,43,2,0
9,44,2,0
9,47,2,0
9,52,2,0
9,53,2,0
9,54,2,0
9,55,2,0
9,58,2,0
9,59,3,0
9,60,3,0
9,63,3,0
9,64,3,0
9,65,3,0
9,67,3,0
9,68,3,0
9,69,3,0
9,70,3,0
9,71,4,0
9,73,4,0
9,75,4,0
9,77,4,0
9,78,4,0
9,80,4,0
9,81,4,0
9,82,4,0
9,83,4,0
9,84,4,0
9,85,4,0
9,87,4,0
9,88,4,0
9,89,4,0
9,91,4,0
9,92,4,0
9,93,4,0
9,94,4,0
9,96,5,0
9,98,5,0
9,100,5,0
9,101,5,0
9,102,5,0
9,103,5,0
9,105,5,0
9,107,5,0
9,109,5,0
9,111,5,0
9,112,5,0
