Driver,Trip,Distance,SecInMotion
1,1,1535.803,55.9
1,1,22837.04,765.1
1,1,32.68861,1.6
1,1,8531.055,298.6
1,16,10256.13,327.9
1,16,4263.921,147.4
1,16,5095.708,175.4
1,17,1301.044,54.2
1,17,7.565001,0.3
1,17,3948.679,152.6
1,17,9305.341,343.9
1,17,3264.757,118.5
1,17,32.92472,1.3
1,18,125.8708,8.2
1,18,439.0817,19
1,19,5145.879,172.7
1,42,3318.293,108.8
1,42,1504.868,50.1
1,42,4376.757,141.8
1,42,13.58945,0.5
1,42,18424.07,623.8
1,42,8312.303,277.5
1,42,1154.565,40.1
1,42,436.2073,18.9
1,43,29614.98,985.5
1,43,8538.521,300.3
1,47,3366.953,117.5
1,47,6223.743,216.4
1,47,3.881112,0.2
1,47,3.883611,0.2
1,47,18389.3,594
1,47,8303.912,276.7
1,47,1756.95,63
1,48,790.212,25.3
1,48,2156.949,67.8
1,48,58491.09,1873.3
1,48,33283.82,1055.9
1,48,23293.65,772.3
1,48,33492.51,1069.3
1,48,25331.67,825.8
1,48,34322.73,1081
1,49,23206.79,734.4
1,49,35103.48,1121.9
1,49,50448.39,1589.7
1,49,5204.627,184.9
1,49,33839.66,1354.5
1,53,866.0934,36.7
1,53,195.662,8
1,53,3667.629,129.2
1,53,47860.7,2011.9
1,53,4148.249,136.8
1,53,5626.129,192.2
1,53,39533.81,1286.6
1,53,43196.36,1371.3
1,53,30.00723,1.7
1,54,16163.54,527.4
1,54,11541.29,372
1,54,50589.66,1600.8
1,54,115795,3768.4
1,54,4832.815,154
1,54,28490.58,908.6
1,54,675.2889,23.6
1,55,29698.44,961.9
1,55,8518.563,288.8
1,65,3307.23,115
1,65,1336.39,46.7
1,65,1378.512,49.9
1,65,2226.702,84.9
1,65,12181.67,896.4
1,66,111.0122,6.2
1,66,309.3106,11
1,102,3321.653,110.3
1,102,1337.342,43.9
1,102,23610.53,765.7
1,102,4152.321,148.4
1,103,2442.251,95.4
1,103,29567.26,1089
1,124,3361.493,111.2
1,124,1522.152,49.9
1,124,23581.73,773.1
1,124,4225.442,152.3
1,126,2440.79,97.1
1,126,5.103334,0.2
1,126,10931.59,377.4
1,127,15667.29,575.7
1,155,3296.294,108
1,155,1345.848,41
1,155,4111.616,134
1,155,10328.03,316.5
1,155,6820.451,212.5
1,155,10106.95,305.2
1,155,824.0109,28.5
1,155,33.9425,1.3
1,155,1259.73,56
1,155,435.1734,16.7
1,157,1289.29,59.4
1,157,9.203056,0.4
1,157,4.501945,0.2
1,157,2413.293,98.5
1,157,6710.413,261.5
1,157,8830.535,331.9
1,174,1513.75,52.5
1,174,5123.359,200.6
1,174,665.4945,27.8
1,175,7166.18,268.5
1,181,10444.13,406.3
1,181,1491.007,58.6
1,181,5519.874,217.6
1,181,3552.351,142.7
1,181,12494.48,514.2
1,181,867.7601,37.3
1,182,691.6659,35.6
1,182,1.173889,0.2
1,182,2396.225,243.8
1,182,10290.58,464.5
1,183,7159.527,269.3
1,183,10715.51,372.2
2,1,5549.625,164
2,1,6371.572,184.6
2,6,8650.905,260.2
2,6,115.3883,4.4
2,14,1735.182,53.8
2,22,1693.242,50.8
2,23,1327.255,45.9
2,23,4830.996,166.2
2,37,15129.96,478.8
2,37,11687.45,336.7
2,37,1848.104,57.9
2,37,3278.164,95.1
2,37,5530.894,166.2
2,37,750.7487,23.1
2,39,869.0032,29.6
2,39,8101.287,249
2,39,1268.866,42.5
2,39,12135.33,402.5
2,39,15609.25,522.2
2,72,5571.537,167.7
2,78,7993.351,251.5
2,78,5472.746,169
2,78,13962.39,427
2,78,3299.518,94.1
2,78,1521.037,43.8
2,78,4025.628,117.9
2,78,735.0043,22.7
2,80,884.9698,27.7
2,80,8101.747,243.4
2,80,25737.72,813.3
2,80,3406.249,107.1
2,87,17893.49,496.4
2,87,6544.135,186.3
2,87,7375.581,205.4
2,87,12842.47,385.1
2,87,86.28779,4
2,87,20.90806,1.3
2,87,3449.841,111.3
2,90,7766.537,254.1
2,90,13976.69,416.7
2,90,3309.148,96.8
2,90,5659.9,165.6
2,90,734.047,25.1
2,91,916.2923,30.4
2,91,8101.127,245.3
2,91,24914.73,940.3
2,91,4010.315,115.3
2,94,97.01695,5.5
2,94,298.0531,11.1
2,126,1627.373,49.6
2,126,76.74417,3.6
2,126,3289.915,104.6
2,131,3750.225,111.9
2,131,22653.82,700.5
2,131,4594.142,130.3
2,131,3247.251,100.6
2,132,2834.099,83.5
2,132,20098.34,616.5
2,132,9122.138,266.6
2,132,167.4172,9.2
2,132,1054.509,33.1
2,137,8815.114,247.2
2,137,1022.788,35.2
2,137,14075.4,432.1
2,137,8577.875,245.8
2,137,28772.11,807.2
2,138,8571.661,242
2,138,3184.667,87.5
2,138,16643.88,492.6
2,138,374.9597,11.7
2,139,87.49779,9.2
2,139,521.4781,36.1
