Driver,Trip,Week,Treatment,AgeGroup,Gender
1,1,1,0,3,1
1,16,1,0,3,1
1,17,1,0,3,1
1,18,1,0,3,1
1,19,1,0,3,1
1,42,2,0,3,1
1,43,2,0,3,1
1,47,2,0,3,1
1,48,2,0,3,1
1,49,2,0,3,1
1,53,2,0,3,1
1,54,2,0,3,1
1,55,2,0,3,1
1,65,3,1,3,1
1,66,3,1,3,1
1,102,3,1,3,1
1,103,3,1,3,1
1,126,4,1,3,1
1,127,4,1,3,1
1,155,4,1,3,1
1,157,4,1,3,1
1,174,5,1,3,1
1,175,5,1,3,1
1,181,5,1,3,1
1,182,5,1,3,1
1,183,5,1,3,1
2,1,1,0,1,1
2,6,1,0,1,1
2,14,1,0,1,1
2,22,1,0,1,1
2,23,1,0,1,1
2,37,1,0,1,1
2,39,1,0,1,1
2,72,2,0,1,1
2,78,3,1,1,1
2,80,3,1,1,1
2,87,3,1,1,1
2,90,3,1,1,1
2,91,3,1,1,1
2,94,3,1,1,1
2,126,4,1,1,1
2,131,4,1,1,1
2,132,4,1,1,1
2,137,4,1,1,1
2,138,4,1,1,1
2,139,4,1,1,1
2,140,4,1,1,1
2,148,4,1,1,1
2,149,4,1,1,1
2,150,4,1,1,1
2,174,5,1,1,1
2,175,5,1,1,1
2,187,5,1,1,1
2,188,5,1,1,1
2,190,5,1,1,1
2,204,5,1,1,1
2,205,5,1,1,1
2,236,6,1,1,1
2,237,6,1,1,1
2,238,6,1,1,1
2,249,6,1,1,1
2,253,6,1,1,1
2,254,6,1,1,1
2,255,6,1,1,1
2,281,7,1,1,1
2,286,7,1,1,1
3,1,1,0,3,2
3,159,6,1,3,2
3,180,6,1,3,2
4,2,1,0,1,1
4,6,1,0,1,1
4,19,1,0,1,1
4,22,1,0,1,1
4,30,1,0,1,1
4,31,1,0,1,1
4,33,1,0,1,1
4,38,1,0,1,1
4,41,1,0,1,1
4,44,1,0,1,1
4,46,2,0,1,1
4,49,2,0,1,1
4,74,2,0,1,1
4,77,2,0,1,1
4,80,2,0,1,1
4,81,2,0,1,1
4,83,2,0,1,1
4,85,2,0,1,1
4,97,3,1,1,1
4,99,3,1,1,1
4,121,3,1,1,1
4,122,3,1,1,1
4,124,3,1,1,1
4,125,3,1,1,1
4,126,4,1,1,1
4,129,4,1,1,1
4,140,4,1,1,1
4,143,4,1,1,1
4,148,4,1,1,1
4,151,4,1,1,1
4,158,4,1,1,1
4,160,4,1,1,1
4,163,4,1,1,1
4,166,4,1,1,1
4,167,4,1,1,1
4,169,4,1,1,1
4,177,4,1,1,1
4,178,4,1,1,1
4,186,4,1,1,1
4,187,4,1,1,1
4,189,5,1,1,1
4,194,5,1,1,1
4,199,5,1,1,1
4,201,5,1,1,1
4,205,5,1,1,1
4,207,5,1,1,1
4,208,5,1,1,1
4,235,5,1,1,1
4,239,6,1,1,1
4,242,6,1,1,1
4,251,6,1,1,1
4,252,6,1,1,1
4,279,6,1,1,1
4,280,6,1,1,1
4,291,6,1,1,1
4,292,6,1,1,1
4,294,7,1,1,1
4,296,7,1,1,1
5,1,1,0,3,1
5,6,1,0,3,1
5,7,1,0,3,1
5,9,1,0,3,1
5,14,1,0,3,1
5,15,1,0,3,1
5,18,1,0,3,1
5,19,1,0,3,1
5,20,1,0,3,1
5,21,1,0,3,1
5,22,1,0,3,1
5,25,1,0,3,1
5,26,2,0,3,1
5,28,2,0,3,1
5,33,2,0,3,1
5,34,2,0,3,1
5,49,2,0,3,1
5,54,2,0,3,1
5,55,2,0,3,1
5,57,2,0,3,1
5,62,2,0,3,1
5,63,2,0,3,1
5,65,3,1,3,1
5,73,3,1,3,1
5,75,3,1,3,1
5,82,3,1,3,1
5,83,3,1,3,1
5,84,3,1,3,1
5,90,3,1,3,1
5,91,3,1,3,1
5,93,3,1,3,1
5,96,3,1,3,1
