Driver,Trip,Hardbraking,Distance,Frequency
1,65,4,12.69490227048,0.31508710463265016
2,39,1,23.601954162593998,0.04236937302356382
2,91,2,23.576309042090998,0.08483092058342898
2,131,1,21.27908781006,0.046994495672283254
2,137,1,38.06716864319,0.02626935586865335
2,236,2,17.004397066353,0.11761663716718583
2,237,1,15.8676449053244,0.06302132458638832
2,249,2,23.679865447824998,0.0844599393694486
2,254,1,31.659061232659997,0.03158653355673048
4,6,2,25.919599515839998,0.07716168603522439
4,19,1,37.2164799444594,0.026869816852436494
4,38,3,42.5620812350413,0.07048527499003278
4,44,1,42.68231975379,0.023428904655801996
4,49,4,47.375316097989995,0.08443215432539793
4,85,3,42.515085847552,0.0705631881059165
4,97,4,47.608158735119396,0.0840192123844793
4,99,4,42.4100831907156,0.09431719296593312
4,124,1,48.224281377316,0.02073644171440957
4,126,1,47.9104646911571,0.020872266767735428
4,129,2,42.42812356262699,0.04713854472135339
4,151,2,42.467178406962994,0.04709519386557776
4,194,4,61.158161058508,0.06540419023020218
4,205,3,48.4818657437465,0.061878806724490774
4,207,4,47.838092826270596,0.0836153735168007
4,251,2,42.4723968089244,0.047089407480289766
4,252,4,49.622205925062005,0.08060907260029275
5,22,1,40.76591383973051,0.024530297638646305
5,25,1,34.138147378855905,0.029292743654254903
5,122,2,39.58960405718,0.050518312764920886
6,12,2,36.697378362029994,0.05449980596078106
6,48,2,36.854685509696,0.0542671840049707
6,49,1,33.2519408540266,0.03007343253706366
6,84,1,36.587822628946,0.027331497972466458
6,161,1,36.350183773488,0.027510177286348407
6,164,1,34.8673507675054,0.028680125618604474
8,84,1,47.47651252058016,0.021063046692120006
8,97,2,65.81565039466099,0.030387909076444244
8,129,2,57.207609653,0.034960383979181324
10,65,1,3.9562286146499996,0.25276597927050487
10,66,1,4.806734394479999,0.20804145141624403
10,98,1,4.71182199109,0.21223212631779984
10,100,1,4.57086855618,0.21877680088786614
13,63,1,53.770037210336,0.0185977182066702
14,1,2,34.059536511782994,0.05872070511905217
15,35,1,8.093128572472999,0.12356161045078173
17,1,2,60.69847780834499,0.03294975545045768
17,57,1,8.103229190371,0.12340759177690441
17,63,1,2.6979257816300004,0.37065511839092624
17,64,1,9.704636506045,0.10304352969604805
17,162,2,81.95677675299999,0.024403107091773117
17,164,2,80.98477455920701,0.02469600009243495
17,177,1,6.29948385672,0.15874316416149648
17,222,2,62.628279976799995,0.03193445518128359
19,8,1,24.41740460823,0.040954393640303004
19,24,1,113.28793544433,0.008827065265845565
19,62,1,33.9449610970773,0.029459453411661184
19,76,1,88.09534521493086,0.01135133754865535
19,155,2,187.28842390105203,0.010678716593058829
19,157,1,19.388307366919996,0.051577478171518115
19,161,2,120.12893145001999,0.016648778740133107
20,167,1,6.247924313956001,0.1600531552160928
21,69,3,204.6994087065728,0.014655635885594384
21,106,1,20.3604494311,0.04911482938448936
21,109,11,102.01118530410137,0.10783131248998186
21,138,1,9.665559478799999,0.10346012584096707
