Driver,Trip,Speeding,Total,Ratio
1,1,450,112120,0.004013556903317873
1,17,310,67080,0.004621347644603459
1,19,2270,17270,0.13144180660104227
1,42,1400,126150,0.01109789932619897
1,47,13220,126800,0.10425867507886435
1,48,28490,677070,0.042078367081690216
1,49,28670,498539,0.05750792313555583
1,53,4680,517439,0.00904452690166976
1,54,25950,735480,0.035283080437265454
1,55,380,125070,0.003038298552810426
1,102,3320,106830,0.031077412711785074
1,155,12040,121970,0.09871279822907272
2,1,26280,34860,0.7538726333907056
2,6,11680,26459,0.44142101284958435
2,14,1510,5380,0.28066914498141265
2,22,3110,5080,0.6122047244094488
2,23,640,21210,0.030174446016030174
2,37,52020,115780,0.4493003973052341
2,39,26030,124580,0.20894204527211427
2,72,7520,16770,0.44841979725700654
2,78,49270,112600,0.4375666074600355
2,80,47420,119150,0.3979857322702476
2,87,102060,138980,0.7343502662253562
2,90,53100,95830,0.5541062297819055
2,91,60120,133130,0.451588672725907
2,126,7620,15780,0.48288973384030415
2,131,61090,104330,0.5855458640851146
2,132,53660,100890,0.5318663891366835
2,137,124940,176750,0.7068741159830269
2,138,54700,83380,0.6560326217318302
2,139,25120,91570,0.2743256525062793
2,140,28390,122009,0.2326858454225064
2,148,40220,64429,0.6242433648921311
2,149,24450,39880,0.6130892678034102
2,150,5360,17620,0.30419977298524403
2,174,12380,22810,0.5427444103463394
2,175,7460,46140,0.16168183788469875
2,187,10360,14380,0.7204450625869262
2,188,27760,99450,0.2791352438411262
2,190,84820,164110,0.5168484553043691
2,204,24090,42920,0.5612767940354146
2,205,17510,42520,0.41180620884289737
2,236,43190,81580,0.5294189752390291
2,237,36980,77180,0.4791396734905416
2,238,21030,22640,0.928886925795053
2,249,70690,111600,0.6334229390681003
2,253,49190,94150,0.5224641529474243
2,254,93530,146300,0.6393028024606972
2,255,40480,79520,0.5090543259557344
2,281,7600,15519,0.4896907216494846
2,286,43860,94600,0.46363636363636357
4,2,26870,41370,0.6495044718394971
4,6,37480,139869,0.2679631086008437
4,19,124510,171740,0.7249912658670082
4,22,50670,181320,0.27945069490403707
4,30,110360,206200,0.5352085354025218
4,31,106520,204680,0.520422122337307
4,33,137020,232660,0.5889280495143127
4,38,109960,240010,0.45814757718428395
4,41,130640,206410,0.6329150719441887
4,44,98900,215279,0.4594017094017095
4,46,122540,247209,0.49569192184782185
4,49,43470,349020,0.12454873646209386
4,74,61510,102930,0.5975905955503741
4,77,6980,98770,0.0706692315480409
4,80,85800,213170,0.4024956607402542
4,81,125420,191980,0.6532972184602562
4,83,117310,207150,0.5663046101858557
4,85,115820,226639,0.5110307094952348
4,97,129550,230790,0.5613328133801291
4,99,45280,267720,0.16913192888092035
4,121,65410,91900,0.7117519042437432
4,122,16170,69670,0.23209415817425003
4,124,138750,225630,0.6149448211673979
4,125,87740,208190,0.4214419520630194
4,126,118640,227790,0.5208305895781202
4,129,83620,214469,0.38989136009698333
4,140,103570,233060,0.4443920020595555
4,143,61990,205269,0.30199249768597464
4,148,122210,229860,0.5316714521882885
4,151,48610,261629,0.18579673584833545
4,158,13400,35440,0.3781038374717833
4,160,19610,33910,0.5782954880566205
4,163,56800,210919,0.2692964157026361
4,167,1580,78740,0.020066040132080264
4,169,23900,124480,0.1919987146529563
4,177,62650,82120,0.7629079396005846
4,178,38910,68200,0.5705278592375367
4,186,134010,201910,0.6637115546530632
4,187,47330,215150,0.21998605623983267
4,189,123610,232750,0.5310848549946294
4,194,104020,310710,0.33478162917189663
4,199,117170,200340,0.5848557452331037
4,201,67790,210010,0.32279415265939715
4,205,107080,253289,0.42275652414228765
4,207,58240,272430,0.2137796865249789
4,208,116360,187349,0.6210835334934616
4,235,113720,178560,0.6368727598566308
4,239,106320,210110,0.5060206558469373
4,242,85450,218899,0.39036089538602115
4,251,45720,228379,0.20019266135388392
4,252,51140,279860,0.1827342242549846
4,279,61840,90950,0.679934029686641
4,280,34270,68610,0.4994898702813001
4,291,131020,210100,0.6236078058067587
4,292,6280,216750,0.02897347174163783
4,294,137730,228200,0.6035495179666959
4,296,106380,212300,0.5010833725859632
5,6,440,25989,0.01692958830319354
5,7,3940,26280,0.14992389649923896
5,9,37610,92280,0.4075639358474209
5,14,27840,96660,0.2880198634388578
5,15,8230,31590,0.26052548274770493
5,18,13070,129619,0.10083320475235304
5,19,14470,142580,0.1014868845560387
5,20,4510,129100,0.03493415956622773
5,21,26100,111750,0.23355704697986576
5,22,22820,218530,0.10442502173614605
5,25,46460,175799,0.2642775881683732
5,26,37160,169080,0.21977762006150933
5,28,19530,118750,0.16446315789473684
5,34,4820,75330,0.0639851320854905
5,49,54440,92359,0.5894326548289304
5,55,3630,154250,0.02353322528363047
5,57,33180,116720,0.28427004797806715
5,62,470,4160,0.11298076923076923
5,73,5110,27639,0.184876989869754
5,84,11860,33660,0.3523469994058229
5,93,500,50870,0.00982897582071948
5,96,25500,43820,0.581926061159288
5,99,280,49160,0.005695687550854353
5,102,9890,19870,0.49773527931555106
5,103,5000,16269,0.3073140749846343
5,104,1410,2890,0.48788927335640137
5,105,49470,130059,0.3803629094264186
5,109,14360,74460,0.19285522428149343
5,111,6680,23910,0.2793810121288164
5,112,11190,72720,0.15387788778877887
5,122,62180,208990,0.2975261974257141
5,125,17550,242329,0.07242190401518592
5,126,4200,114139,0.036796916067986685
5,128,12160,182860,0.0664989609537351
5,129,4570,24800,0.1842741935483871
5,135,9800,111480,0.087908144958737
5,137,42680,105440,0.4047799696509863
5,143,61510,144820,0.4247341527413341
5,145,4960,109520,0.045288531775018265
5,146,18690,90359,0.2068393094289509
5,147,21340,136860,0.1559257635539968
5,153,34350,176790,0.19429832004072625
5,162,1900,25380,0.07486209613869188
5,163,42060,118190,0.35586767069972075
5,170,12730,45990,0.27679930419656446
5,172,49840,129220,0.3856988082340195
5,175,31170,81900,0.38058608058608057
5,182,22970,114230,0.2010855291954828
5,183,35820,106070,0.33770151786556046
5,184,29110,135000,0.21562962962962964
5,186,15690,141100,0.11119773210489015
5,192,8850,26810,0.33010070869078695
5,193,16240,57360,0.28312412831241285
5,208,53970,127580,0.4230286878821132
5,211,34830,131620,0.26462543686369855
5,212,12460,144200,0.08640776699029126
6,12,29830,204390,0.14594647487646167
6,15,40930,152960,0.2675862970711297
6,48,76110,221640,0.3433946940985382
6,49,62340,181990,0.342546293752404
6,61,21140,60609,0.3487873288236265
6,62,21370,63150,0.3384006334125099
6,84,89060,182020,0.4892868915503791
6,85,15740,181900,0.08653106102253985
6,106,2940,23700,0.1240506329113924
6,126,100680,192050,0.5242384795626139
6,130,68930,198130,0.3479028920405794
6,137,19540,69130,0.282655865760162
6,138,550,21300,0.025821596244131457
6,140,8870,22780,0.38937664618086043
6,142,20890,64260,0.3250855897914721
6,161,80450,185700,0.4332256327409801
6,164,94650,207290,0.45660668628491485
6,172,7290,347430,0.020982643985838875
7,9,2510,65340,0.038414447505356594
7,10,3050,103809,0.029380599171563437
7,12,14520,217890,0.06663912983615586
7,36,40740,568720,0.07163454775636517
7,37,10880,295499,0.036818950930626065
7,38,14660,242150,0.06054098699153417
7,43,80,57690,0.0013867221355520888
7,67,2680,65499,0.04091603053435115
7,69,5910,103850,0.05690900337024555
7,73,274630,520539,0.5275867368501941
7,80,54730,289620,0.1889717560941924
7,81,6950,246879,0.028151328580686977
7,93,400,51910,0.0077056443845116545
8,22,440,16630,0.026458208057727
8,45,770,22090,0.03485740153915799
8,76,180,515170,0.000349399227439486
8,77,310,585119,0.0005298058517910857
8,80,1080,265090,0.0040740880455694285
8,81,1290,217169,0.005940046967813235
10,9,1450,25210,0.057516858389527956
10,10,2200,23440,0.09385665529010238
10,13,2370,21180,0.11189801699716714
10,14,1780,24260,0.07337180544105522
10,16,2970,20510,0.1448074110190151
10,17,890,26529,0.033546928006030916
10,18,320,21230,0.015073009891662742
10,19,1960,25300,0.0774703557312253
10,26,8280,19650,0.4213740458015267
10,27,1620,25600,0.06328125
10,30,8360,23139,0.3612791702679344
10,32,5160,19980,0.25825825825825827
10,41,2490,26149,0.09521988527724667
10,42,8850,20760,0.4263005780346821
10,43,520,26450,0.019659735349716444
10,61,4260,20610,0.2066957787481805
10,65,3800,21080,0.18026565464895636
10,71,740,25879,0.028593508500772802
10,73,2200,21820,0.1008249312557287
10,76,450,25880,0.01738794435857805
10,87,600,12260,0.048939641109298535
10,92,570,21389,0.026647966339410946
10,93,4300,25860,0.1662799690641918
10,94,190,22270,0.008531656937584195
10,95,730,27989,0.02608074312254377
10,97,1480,20810,0.07111965401249398
10,98,1590,25620,0.06206088992974239
10,100,7140,26279,0.271689497716895
11,1,53440,160980,0.3319667039383774
11,59,150,39580,0.0037897928246589186
11,74,1140,20910,0.054519368723098996
11,77,1780,99010,0.017977982022017974
11,110,2150,40950,0.052503052503052504
11,111,630,34950,0.018025751072961373
11,117,1360,49220,0.02763104429093864
11,119,1750,42210,0.04145936981757877
11,124,24910,220250,0.11309875141884222
12,1,12290,193310,0.06357663855982619
12,37,3900,126190,0.030905777002932084
12,38,2940,119209,0.02466236054022314
12,121,5370,64120,0.0837492202121023
12,155,30110,193329,0.15574406455283715
13,9,300,27560,0.010885341074020317
13,33,4130,494189,0.008357109613711326
13,38,40030,215909,0.18540132462600162
13,54,32660,680980,0.0479602925196041
13,63,840,311789,0.0026941210430097185
13,127,13900,121130,0.11475274498472714
13,134,80,109480,0.0007307270734380708
13,136,2740,125849,0.02177195073500199
13,143,5460,177390,0.030779638085574157
14,1,30720,172660,0.1779219274875478
14,6,14010,29909,0.4684052156469409
14,8,48890,51940,0.9412783981517135
14,28,55430,55429,1.0000000000000002
14,53,64470,67430,0.9561026249443868
14,57,31870,33350,0.9556221889055472
14,58,58530,68500,0.8544525547445255
14,68,28070,31139,0.901412973667309
14,75,70120,75220,0.9321988832757245
14,93,31490,33400,0.942814371257485
14,103,31030,31330,0.99042451324609
14,104,24040,27250,0.8822018348623853
14,121,18250,37080,0.49217907227615965
14,122,530,37890,0.013987859593560307
14,145,66110,76310,0.8663346874590486
14,161,397850,476479,0.8349773337810612
14,162,585450,644429,0.9084772589730461
14,189,275040,498680,0.5515360551856903
