Driver,Trip,Tailgating,Total,Ratio
1,1,16900,112120,0.15073135925793793
1,16,1440,65069,0.022130013831258646
1,43,2580,128580,0.02006532897806813
1,48,28970,677070,0.04278730411921957
1,49,39120,498539,0.07846912985918884
1,53,77130,517439,0.14906076066790355
1,54,17600,735480,0.023929950508511443
1,55,7580,125070,0.06060606060606061
1,65,7280,119290,0.06102774750607762
1,102,2370,106830,0.022184779556304407
1,174,5000,28089,0.177999288002848
2,37,16010,115780,0.13827949559509414
2,39,10880,124580,0.08733344035960827
2,78,41080,112600,0.36483126110124336
2,80,5790,119150,0.048594208980276964
2,87,35150,138980,0.25291408835803714
2,90,10230,95830,0.10675153918397162
2,91,9740,133130,0.07316157139637948
2,126,940,15780,0.05956907477820025
2,131,3670,104330,0.035176842710629735
2,132,15930,100890,0.15789473684210523
2,137,18610,176750,0.10528995756718529
2,138,5520,83380,0.0662029263612377
2,139,26910,91570,0.2938735393687889
2,148,21450,64429,0.3329194474623623
2,150,11550,17620,0.6555051078320091
2,174,1550,22810,0.06795265234546252
2,175,1990,46140,0.04312960554833117
2,187,740,14380,0.05146036161335187
2,188,12210,99450,0.12277526395173453
2,190,37360,164110,0.22765218451038938
2,204,1030,42920,0.02399813606710158
2,205,720,42520,0.016933207902163686
2,236,10090,81580,0.12368227506741848
2,237,4670,77180,0.06050790360196942
2,249,13730,111600,0.12302867383512545
2,253,8100,94150,0.08603292618162507
2,254,45840,146300,0.31332877648667123
2,255,25820,79520,0.32469818913480886
2,281,3120,15519,0.20103092783505158
2,286,37110,94600,0.39228329809725154
3,159,13100,29820,0.43930248155600266
4,6,20080,139869,0.14356187888753846
4,19,2600,171740,0.015139163852334925
4,22,13480,181320,0.0743437017427752
4,30,14470,206200,0.07017458777885548
4,31,6770,204680,0.03307602110611686
4,33,39770,232660,0.1709361299750709
4,38,81440,240010,0.33931919503354024
4,41,26080,206410,0.1263504675161087
4,46,35810,247209,0.1448565996521177
4,49,41490,349020,0.1188757091284167
4,74,8790,102930,0.08539784319440397
4,77,710,98770,0.007188417535688974
4,80,36800,213170,0.1726321715063095
4,81,4360,191980,0.022710699031149077
4,83,36670,207150,0.17702148201786144
4,85,74610,226639,0.32920049417578545
4,97,46240,230790,0.20035530135621127
4,99,49840,267720,0.1861646496339459
4,121,10140,91900,0.1103373231773667
4,122,7780,69670,0.11166929811970719
4,124,9280,225630,0.04112928245357443
4,125,10480,208190,0.050338632979489886
4,126,58040,227790,0.25479608411255983
4,129,7090,214469,0.033058236583205114
4,140,26470,233060,0.11357590320089248
4,148,99950,229860,0.43482989645871395
