Event,AvgAx,MinAx
1.0,-1.4366690899999999,-2.985795
2.0,-0.8517890103225808,-3.437732
3.0,-1.270995980070922,-3.136532
4.0,-1.411618304255319,-2.9775669999999996
5.0,-2.8565220483870966,-4.738171
6.0,-1.2701643898802395,-3.4155230000000003
7.0,-1.2173740390243901,-3.4031550000000004
8.0,-1.7090836299999999,-2.94628
9.0,-1.808959205882353,-2.951315
10.0,-2.952723876,-5.373591
11.0,-1.912937799090909,-3.388665
12.0,-2.24087109375,-4.529058
13.0,-1.85677352,-3.150963
14.0,-2.273437186666667,-3.1068189999999998
15.0,-2.8741182505263154,-3.951741
16.0,-2.5116881224489798,-4.881353
17.0,-1.8226075346153847,-3.58987
18.0,-2.4551066799999997,-3.562583
19.0,-3.23342426925,-4.733291
20.0,-2.6764479120967746,-5.008718
21.0,-2.3827818727272727,-3.4062629999999996
22.0,-2.761238184615385,-4.455639
23.0,-0.9561486141509435,-3.600305
24.0,-1.7569591116666667,-3.1252299999999997
25.0,-2.1324087274509806,-3.0498790000000002
26.0,-1.2438831925974025,-3.145211
27.0,-1.6869405333333332,-3.042001
28.0,-2.1220642984615385,-3.5655089999999996
29.0,-0.5926744764122138,-3.0335
30.0,-2.220296269444445,-3.334888
31.0,-1.4000928976190476,-3.339342
32.0,-1.3942866682539679,-2.96845
33.0,-1.4008277608695652,-3.324172
34.0,-2.7983544444444446,-3.795531
35.0,-1.785422814814815,-3.105759
36.0,-1.2419065164399998,-3.0829619999999998
37.0,-1.8294676400000003,-3.013512
38.0,-2.251006752777778,-3.006495
39.0,-1.70054735,-3.083545
40.0,-3.06705435,-3.842443
41.0,-3.368032651162791,-7.859267999999999
42.0,-1.4606746918181819,-3.000067
43.0,-1.4219064266666666,-3.006725
44.0,-1.9945940066666672,-3.202782
45.0,-2.387650455263158,-3.743292
46.0,-1.432761825,-4.358828
47.0,-1.9254722142857141,-3.294394
48.0,-2.4735877729166664,-3.9847059999999996
49.0,-1.9543143107142857,-3.106281
50.0,-1.0738914468960785,-2.975059
51.0,-2.0303922655555553,-3.313595
52.0,-1.7407862083333334,-4.445085
53.0,-1.650803663888889,-3.236263
54.0,-2.196064727037037,-3.694516
55.0,-1.4431872310344829,-3.623383
56.0,-1.6895960194736845,-3.189947
57.0,-1.6780774048387095,-3.011114
58.0,-1.8128143475714285,-3.108397
59.0,-0.4746510370903955,-3.4354660000000004
60.0,-2.201822035294118,-3.5284440000000004
61.0,-2.178366261290323,-3.270706
62.0,-1.4887878630434783,-3.00156
63.0,-1.9490974494736837,-3.0452779999999997
64.0,-1.9410959637500003,-2.955621
65.0,-2.0130424645569622,-3.156359
66.0,-2.322959064,-4.868075
67.0,-2.2358187000000003,-3.028181
68.0,-1.389663227027027,-3.6763739999999996
69.0,-1.4544171269005848,-2.998727
70.0,-2.143212284375,-3.879796
71.0,-1.348229011707317,-3.643474
72.0,-2.232311298701299,-3.920529
73.0,-2.3286599909090913,-3.157562
74.0,-2.370797141071429,-4.839224
75.0,-2.1436129238095236,-2.996731
76.0,-1.4830162220645158,-3.3972309999999997
77.0,-2.0820023063829782,-2.992562
83.0,-2.760208642105263,-3.833964
84.0,-3.2282298862745096,-4.654478
85.0,-2.748530076271186,-4.211278
86.0,-2.2771988174999995,-3.085185
87.0,-2.529151755172413,-3.323575
88.0,-2.5597721208333333,-3.4555260000000003
89.0,-1.5817801726470588,-2.9961740000000003
90.0,-2.091290516666666,-3.502597
91.0,-1.916826502439024,-3.4805989999999998
92.0,-1.8295490666666667,-3.150298
93.0,-1.8406297636363638,-3.357714
94.0,-1.9678007149253736,-3.45042
95.0,-2.703005591666667,-4.8996
96.0,-0.7469321840623377,-3.091918
97.0,-2.558307566,-4.6699209999999995
98.0,-1.296684058888889,-3.236768
99.0,-1.946564548148148,-2.976426
100.0,-2.0946091648648646,-2.957627
101.0,-1.7936036333333334,-3.334675
102.0,-2.342837503225806,-4.0781279999999995
103.0,-2.1521085291666666,-2.999573
104.0,-2.11075860375,-3.449755
105.0,-1.1980356953211009,-3.4872160000000005
106.0,-1.3741292800947866,-3.0771330000000003
107.0,-0.36614376939534876,-3.9111019999999996
108.0,-0.9588011738461538,-3.180657
109.0,-0.9952579891538461,-3.106981
110.0,-2.340638,-4.767264
111.0,-1.6314071651724136,-3.3277940000000004
112.0,-1.7332346512195125,-4.213662
113.0,-1.3179698573964496,-3.420511
114.0,-1.7290185377761198,-4.403080999999999
115.0,-1.893122213333333,-4.687641
116.0,-3.6357272846153843,-6.020916000000001
117.0,-2.3450022828571426,-3.049179
118.0,-0.6612648895555556,-3.429728
119.0,-0.790096243697479,-3.769746
120.0,-1.4936519558139534,-3.27615
121.0,-1.8456410629508193,-3.4408269999999996
122.0,-1.6474328333333337,-3.3943510000000003
123.0,-1.8792613161764706,-3.076278
124.0,-1.002710602189781,-3.024416
125.0,-2.181360186111111,-3.710356
126.0,-2.498492813513513,-3.3064989999999996
127.0,-1.8200034322033898,-3.630043
128.0,-0.5554510875572519,-2.9562939999999998
129.0,-1.581474360283688,-3.165075
130.0,-2.3192268884615386,-3.498764
131.0,-2.309866706923077,-3.091972
132.0,-1.6027645521276592,-3.9024919999999996
133.0,-2.919604682051282,-4.072801999999999
134.0,-1.3172261420289855,-3.4073949999999997
135.0,-1.135003243902439,-3.040236
136.0,-1.7810090878125,-3.878692
137.0,-1.693650964285714,-3.243409
138.0,-1.7078783451612902,-3.374979
139.0,-1.8082105575384617,-3.299895
140.0,-1.4840517209558823,-3.8731720000000003
141.0,-2.603634562962963,-3.664747
142.0,-2.305270652380953,-3.236335
143.0,-1.8326862251724139,-3.104502
146.0,-2.3494455925925926,-3.074868
147.0,-3.0478823555555556,-4.204983
148.0,-1.7109806749999998,-2.958858
149.0,-1.8303093780821917,-3.855694
150.0,-2.3863698293103446,-3.807397
151.0,-2.7033188420454546,-7.247489999999999
