Driver,Risk Level,TripsPerWeek,DistancePerTrip
2.0,1.0,7.5,16.812233892027358
4.0,1.0,9.5,35.739537280472156
10.0,0.0,6.25,4.336073184588496
16.0,1.0,7.5,4.693140052582366
17.0,1.0,6.25,27.834519345251877
19.0,0.0,4.25,64.16701471736917
25.0,1.0,17.5,13.55996550711383
32.0,1.0,15.25,7.871254143711817
33.0,1.0,5.75,12.001194183158635
34.0,0.0,9.25,4.923686613117726
35.0,1.0,4.5,6.672282702402567
37.0,0.0,5.75,32.61459804565442
43.0,0.0,18.25,7.9300772122824235
44.0,1.0,4.0,21.229808105282853
63.0,1.0,2.75,17.506477426987875
65.0,0.0,15.25,6.123050091927425
66.0,0.0,7.75,3.061113681092046
68.0,0.0,12.5,12.646096571640264
74.0,1.0,11.5,16.901322241131673
75.0,0.0,1.75,8.331860171876015
78.0,1.0,8.5,6.178370418198655
79.0,1.0,2.25,5.582548708977878
80.0,1.0,5.75,15.067243093553177
81.0,1.0,10.5,17.857986034235864
82.0,1.0,10.75,8.248722124449596
83.0,0.0,5.75,5.674749064710558
85.0,1.0,9.25,11.569334076271181
87.0,0.0,9.0,7.841716188227273
92.0,1.0,11.5,23.630748658430587
93.0,0.0,26.75,6.842256877696334
96.0,1.0,21.0,25.010374541054446
98.0,0.0,9.75,13.164608629181789
100.0,1.0,5.0,14.657259861655405
101.0,1.0,5.75,18.503629518734076
103.0,1.0,11.75,9.994919467434016
