Driver,Trip,Week,Cluster
1,109,4,1
1,115,4,0
1,119,4,0
1,120,4,0
1,123,4,0
1,126,4,0
1,127,4,0
1,131,5,0
1,132,5,0
1,133,5,0
1,134,5,0
1,144,5,0
1,146,5,0
1,147,5,1
1,155,5,0
1,157,5,0
1,158,5,1
1,159,5,1
1,171,6,1
1,202,7,0
1,223,7,0
2,94,4,0
2,96,4,0
2,97,4,0
2,102,4,0
2,103,4,0
2,104,4,0
2,108,4,1
2,109,4,0
2,110,4,0
2,113,4,1
2,114,4,0
2,115,5,0
2,116,5,0
2,119,5,0
2,121,5,0
2,122,5,0
2,123,5,1
2,126,5,0
2,127,5,1
2,129,5,0
2,135,6,0
2,136,6,0
2,137,6,1
2,138,6,0
2,139,6,1
2,141,6,0
2,142,6,1
2,143,6,0
2,144,6,1
2,145,7,1
2,147,7,0
2,148,7,0
2,150,7,0
2,152,7,0
2,154,7,0
2,155,7,0
2,156,7,1
2,158,7,0
2,159,7,1
2,161,7,1
2,162,7,0
2,163,7,1
3,148,5,0
3,150,5,1
3,153,5,0
3,162,6,0
3,163,6,1
3,164,6,0
3,175,7,1
3,177,7,0
3,186,7,0
4,174,4,0
4,176,4,0
4,177,4,0
4,178,4,0
4,179,4,0
4,183,4,0
4,185,4,1
4,190,4,0
4,191,4,0
4,192,4,1
4,194,4,0
4,196,4,1
4,197,4,1
4,200,5,0
4,201,5,0
4,229,5,0
4,230,5,0
4,231,5,0
4,232,5,1
4,233,5,0
4,234,5,1
4,235,5,0
4,236,5,0
4,237,5,0
4,249,6,0
4,251,6,0
4,252,6,0
4,253,6,1
4,254,6,0
4,255,6,1
4,256,6,0
4,257,6,0
4,262,7,0
4,263,7,0
4,266,7,0
4,267,7,1
4,271,7,1
4,282,7,1
4,285,7,0
4,286,7,1
4,291,7,0
4,292,7,1
4,293,7,0
4,294,7,0
4,298,7,1
5,111,6,0
6,104,4,0
6,105,4,0
6,107,4,0
6,108,4,0
6,109,4,0
6,110,4,1
6,111,4,1
6,113,4,0
6,115,4,0
6,116,4,0
6,117,5,1
6,118,5,0
6,120,5,0
6,121,5,0
6,123,5,0
6,130,5,0
6,131,5,0
6,132,5,1
6,133,5,1
6,137,5,0
6,138,5,0
6,139,5,0
6,140,5,0
6,141,5,0
6,142,5,0
6,146,5,0
6,147,5,1
6,149,5,0
6,150,5,0
6,151,5,1
6,152,6,0
6,153,6,0
6,154,6,0
6,155,6,0
6,156,6,0
6,157,6,0
6,159,6,1
6,160,6,0
6,162,6,0
6,163,6,1
6,166,6,1
6,167,6,0
6,169,6,0
6,170,6,0
6,171,6,1
6,173,6,0
6,174,6,0
6,175,6,1
6,176,6,1
6,179,7,1
6,181,7,1
6,182,7,1
6,183,7,0
6,186,7,0
6,190,7,1
6,191,7,0
6,192,7,0
6,193,7,1
6,194,7,0
6,195,7,0
6,196,7,0
6,198,7,0
6,202,7,1
6,203,7,0
6,205,7,0
6,206,7,0
6,207,7,0
7,91,5,0
7,92,5,1
7,110,6,1
7,111,6,0
7,116,6,1
7,120,6,1
7,136,7,1
7,142,7,0
8,73,4,0
8,74,4,0
8,93,5,1
8,94,5,0
8,138,7,1
8,139,7,0
9,71,4,0
9,73,4,1
9,75,4,1
9,77,4,0
9,78,4,0
9,80,4,0
9,81,4,0
9,82,4,1
9,83,4,1
9,84,4,1
9,85,4,1
9,87,4,1
9,88,4,1
9,89,4,0
9,91,4,0
9,92,4,1
9,93,4,1
9,94,4,1
9,96,5,1
9,98,5,1
9,100,5,1
9,101,5,1
9,102,5,1
9,103,5,0
9,105,5,0
9,107,5,1
9,109,5,1
9,111,5,1
9,112,5,1
9,113,5,0
9,114,5,0
9,116,5,1
9,118,5,1
9,120,5,1
9,121,5,1
9,122,5,1
9,123,5,1
9,128,5,1
9,129,6,1
9,134,6,1
9,138,6,0
9,139,6,1
9,145,6,0
9,146,6,0
9,149,6,0
9,150,6,1
9,151,6,1
9,154,6,0
9,155,6,1
9,156,6,1
9,157,6,1
9,159,6,0
9,161,7,0
9,162,7,0
9,166,7,1
9,167,7,1
9,168,7,0
9,169,7,1
9,170,7,1
9,172,7,1
9,174,7,0
9,175,7,1
9,177,7,1
9,178,7,1
9,180,7,1
9,183,7,1
10,79,4,0
10,80,4,0
10,83,4,1
10,111,5,1
10,121,5,0
10,155,6,1
10,156,6,1
10,163,7,0
11,87,4,0
11,88,4,1
11,89,4,0
11,93,4,0
11,101,4,1
11,102,4,1
11,105,4,1
11,106,4,0
11,108,4,1
11,110,4,1
11,113,4,1
11,135,4,1
11,158,5,1
11,159,5,1
11,161,5,1
11,162,5,1
11,163,5,1
11,165,5,1
11,168,5,1
11,171,6,0
11,172,6,1
11,174,6,0
11,178,6,0
11,180,6,1
11,189,6,1
11,190,6,1
11,195,6,1
11,197,6,1
11,199,6,0
11,200,6,0
11,202,6,1
11,204,6,1
11,207,6,1
11,208,6,1
11,210,7,1
11,214,7,0
11,216,7,0
11,217,7,0
11,228,7,1
11,229,7,1
11,233,7,1
11,235,7,1
11,236,7,1
11,237,7,1
11,240,7,0
11,243,7,1
12,124,4,0
12,129,4,0
12,135,4,0
12,137,4,0
12,151,5,0
12,152,5,0
12,156,5,0
12,159,5,0
12,173,6,0
12,176,6,0
12,180,6,0
12,187,6,0
12,201,6,0
12,206,7,0
12,212,7,0
12,224,7,0
13,101,4,0
13,102,4,0
13,126,4,1
13,127,4,1
13,132,4,0
13,133,4,0
13,147,5,0
13,149,5,1
13,150,5,0
13,155,5,0
13,156,5,0
13,157,5,1
13,167,6,0
13,169,6,0
13,174,6,0
13,175,6,0
13,177,6,1
13,178,6,0
13,183,6,0
13,184,6,0
13,187,6,1
13,188,6,0
13,193,7,1
13,198,7,1
13,201,7,0
13,202,7,0
13,205,7,1
13,206,7,1
13,210,7,1
13,212,7,0
14,231,4,0
14,232,4,0
17,203,5,0
17,223,5,0
17,232,5,1
17,239,5,0
17,241,5,1
17,242,5,0
17,245,5,1
17,259,5,1
17,263,5,1
17,277,6,0
17,278,6,0
17,280,6,1
17,304,6,0
17,307,6,1
17,321,6,0
17,324,6,1
17,331,6,1
17,359,7,0
17,422,7,0
17,427,7,1
18,186,5,1
20,119,4,1
20,120,4,0
20,136,5,0
20,137,5,1
20,162,5,0
20,163,5,1
20,179,6,0
20,181,6,0
20,215,6,1
20,216,7,1
20,228,7,1
20,229,7,1
20,243,7,1
20,251,7,0
21,123,4,1
21,124,4,0
21,125,4,1
21,127,4,1
21,131,4,0
21,132,4,0
21,133,4,0
21,135,4,0
21,137,4,0
21,138,4,0
21,139,4,0
21,141,4,1
21,142,4,0
21,143,4,1
21,144,4,0
21,145,4,0
21,150,4,0
21,151,4,0
21,158,5,1
21,161,5,0
21,162,5,0
21,164,5,0
21,171,5,1
21,172,5,0
21,173,5,0
21,178,5,1
21,180,5,0
21,182,5,1
21,186,5,0
21,187,5,0
21,188,5,1
21,189,5,0
21,191,5,1
21,193,5,0
21,194,5,0
21,197,6,1
21,199,6,1
21,200,6,0
21,202,6,0
21,203,6,0
21,209,6,0
21,210,6,1
21,213,6,0
21,214,6,0
21,215,6,0
21,219,6,0
21,220,6,0
21,223,6,0
21,225,6,0
21,226,6,1
21,232,7,0
21,235,7,0
21,237,7,0
21,238,7,0
21,240,7,0
21,243,7,0
21,248,7,0
21,249,7,1
21,250,7,0
21,255,7,0
21,258,7,0
21,259,7,0
21,262,7,0
21,264,7,0
22,229,5,0
23,55,4,0
23,58,4,0
23,60,4,0
23,65,4,0
23,66,4,0
23,67,4,0
23,68,4,0
23,69,4,0
23,71,4,0
23,72,4,0
23,73,4,0
23,74,4,0
23,75,4,0
23,76,5,0
23,78,5,0
23,79,5,0
23,83,5,0
23,84,5,0
23,85,5,0
23,86,5,0
23,87,5,0
23,88,5,0
23,89,5,0
23,91,5,0
23,92,5,0
23,93,5,0
23,94,5,0
23,95,5,0
23,96,6,0
23,97,6,0
23,99,6,0
23,102,6,0
23,105,6,0
23,106,6,0
23,107,6,0
23,109,6,0
23,110,6,0
23,111,6,0
23,112,6,0
23,113,6,0
23,115,7,0
23,116,7,1
23,117,7,0
23,118,7,0
23,119,7,0
23,120,7,0
23,122,7,1
23,123,7,0
23,124,7,0
23,125,7,0
23,126,7,1
23,127,7,0
23,128,7,0
23,129,7,0
23,130,7,0
23,131,7,0
23,132,7,0
23,133,7,0
23,134,7,1
23,136,7,0
24,156,4,1
24,157,4,1
24,158,4,1
24,165,4,0
24,167,4,0
24,184,4,0
24,201,5,1
24,202,5,0
24,220,5,1
24,221,5,0
24,225,5,1
24,236,6,0
24,238,6,0
24,265,7,1
24,266,7,0
25,45,4,0
25,49,4,0
25,50,4,0
25,51,4,0
25,53,4,0
25,54,4,0
25,55,4,0
25,56,4,1
25,57,4,0
25,58,4,0
25,59,4,1
25,60,4,0
25,61,5,0
25,62,5,0
25,63,5,0
25,64,5,0
25,69,5,0
25,70,5,0
25,77,5,0
25,78,5,0
25,81,6,0
25,82,6,1
25,85,6,0
25,86,6,1
25,87,6,0
25,88,6,0
25,91,6,0
25,92,6,0
25,95,6,0
25,96,6,1
25,106,7,0
25,107,7,1
25,108,7,0
25,110,7,1
25,111,7,0
25,112,7,1
25,113,7,0
25,114,7,0
25,116,7,1
25,117,7,1
26,63,4,1
26,68,5,0
26,75,5,1
26,76,5,1
26,77,5,0
26,78,5,0
26,90,6,0
26,91,6,0
26,93,6,0
26,94,6,0
26,95,6,0
27,101,4,1
27,102,4,1
27,107,4,1
27,109,4,0
27,113,4,1
27,116,4,1
27,117,4,1
27,119,4,1
27,121,4,1
27,127,4,1
27,129,4,1
27,130,4,1
27,134,5,0
27,135,5,1
27,143,5,0
27,145,5,1
27,148,5,1
27,149,5,0
27,151,5,1
27,152,5,1
27,159,5,1
27,163,5,1
27,164,5,1
27,169,6,0
27,170,6,1
27,171,6,0
27,172,6,1
27,173,6,0
27,176,6,1
27,178,6,1
27,179,6,1
27,181,6,1
27,182,6,1
27,184,6,0
27,185,6,0
27,186,6,1
27,187,6,1
27,190,7,1
27,192,7,0
27,194,7,0
27,195,7,1
27,197,7,0
27,198,7,1
27,200,7,1
27,201,7,1
27,203,7,1
27,204,7,1
27,205,7,1
27,210,7,1
27,212,7,1
27,213,7,0
27,214,7,1
28,78,4,0
28,86,4,0
28,89,4,0
28,93,4,0
28,99,4,0
28,118,5,0
28,125,5,0
28,128,5,0
28,133,5,0
28,155,6,0
28,158,6,0
28,168,6,0
28,174,6,0
28,176,6,0
28,188,7,0
28,191,7,0
28,198,7,0
29,168,4,1
29,212,5,0
29,213,5,1
29,218,5,0
29,220,5,0
29,238,6,1
30,119,4,1
30,142,5,0
30,152,5,0
30,177,6,0
30,188,6,1
30,199,7,0
30,222,7,1
31,143,4,1
32,127,4,0
32,128,4,1
32,162,4,0
32,163,4,0
32,177,5,0
32,178,5,0
32,273,7,0
33,140,4,1
33,142,4,1
33,155,4,1
33,156,4,0
33,199,5,1
33,200,5,1
33,216,6,1
33,217,6,0
33,281,7,0
33,282,7,0
34,94,4,0
34,97,4,0
34,98,4,0
34,101,4,0
34,102,4,1
34,106,4,1
34,107,4,0
34,110,4,1
34,112,4,0
34,113,4,1
34,118,4,0
34,119,5,0
34,120,5,0
34,121,5,0
34,128,5,0
34,135,5,1
34,136,5,1
34,137,5,1
34,138,5,1
34,141,5,0
34,142,5,1
34,143,6,0
34,152,6,1
34,158,6,1
34,159,6,0
34,160,6,1
34,161,6,0
34,162,6,0
34,163,6,0
34,165,7,0
34,166,7,0
34,180,7,0
34,181,7,0
34,182,7,0
34,189,7,1
34,194,7,1
34,195,7,0
34,197,7,0
34,199,7,1
35,179,4,1
35,182,4,1
35,185,4,1
35,202,4,0
35,215,4,0
35,224,4,1
35,233,5,1
35,234,5,1
35,242,5,1
35,243,5,1
35,253,5,1
35,258,5,1
35,260,5,1
35,266,6,1
35,272,6,1
35,277,6,1
35,282,6,1
35,287,6,0
35,289,6,1
35,292,6,1
35,300,6,0
35,309,6,0
35,310,6,0
35,315,6,1
35,322,7,1
35,333,7,0
35,335,7,1
35,336,7,1
35,351,7,0
35,352,7,0
37,104,4,1
37,107,4,1
37,116,4,1
37,118,4,1
37,151,5,1
37,158,6,1
37,159,6,0
37,188,7,1
38,146,4,0
38,147,4,0
38,151,4,0
38,152,4,0
38,155,4,1
38,156,4,1
38,160,4,0
38,161,4,0
38,164,4,0
38,165,4,0
38,167,4,0
38,180,4,1
38,181,4,0
38,183,4,0
38,188,4,1
38,189,5,0
38,196,5,1
38,198,5,1
38,199,5,0
38,201,5,0
38,203,5,1
38,204,5,0
38,206,5,1
38,209,5,0
38,210,5,1
38,212,5,0
38,213,5,0
38,220,5,1
38,221,5,0
38,224,5,0
38,227,5,0
38,228,6,0
38,229,6,1
38,230,6,1
38,232,6,0
38,234,6,0
38,245,6,1
38,246,7,0
38,248,7,1
38,249,7,1
38,252,7,0
38,253,7,0
38,256,7,1
38,257,7,0
38,260,7,1
38,261,7,0
38,269,7,1
38,270,7,0
38,273,7,1
39,86,4,1
39,87,4,1
39,94,4,0
39,95,4,0
39,96,4,1
39,99,4,0
39,111,5,1
39,112,5,0
39,157,7,0
39,163,7,1
39,167,7,0
39,189,7,1
39,190,7,1
40,122,4,1
40,123,4,0
40,132,4,1
40,133,4,0
40,137,4,0
40,153,5,0
40,159,5,0
40,160,5,1
40,161,5,0
40,171,6,1
40,172,6,0
40,203,7,1
40,207,7,0
41,115,4,0
41,149,5,0
41,157,5,0
41,158,5,0
41,159,5,0
41,160,5,0
41,162,5,0
41,163,5,0
41,183,6,1
41,184,6,0
41,191,6,1
41,202,7,0
41,209,7,0
