Driver,Risk Level,TripsPerWeek,DistancePerTrip,RiskyEventsRate
1.0,0.0,9.5,23.569224920454257,0.15789473684210525
2.0,1.0,13.0,4.689929638286827,0.5
3.0,0.0,5.0,51.48113006188629,0.1
4.0,0.0,15.0,4.187432334552333,0.23333333333333334
5.0,0.0,3.0,4.781983079511034,0.0
6.0,1.0,22.0,4.6515073280795445,0.45454545454545453
7.0,1.0,2.5,5.277777841668,0.6
8.0,0.0,3.5,5.931896810202856,0.14285714285714285
9.0,0.0,10.5,14.894293597129872,0.14285714285714285
11.0,0.0,10.0,15.17266268960555,0.2
13.0,1.0,10.0,6.391006124420151,0.35
17.0,0.0,18.5,4.4549538163932505,0.24324324324324326
20.0,1.0,5.5,7.394091621223637,0.45454545454545453
21.0,1.0,15.5,11.011074080808834,0.7096774193548387
22.0,1.0,11.0,11.6863987834345,0.5454545454545454
23.0,0.0,5.0,5.07936663043615,0.0
24.0,0.0,4.0,7.036414540552501,0.0
25.0,0.0,5.5,3.6289378968172725,0.09090909090909091
26.0,0.0,5.0,12.832856911632998,0.1
27.0,1.0,15.0,7.321195401964999,0.4
29.0,1.0,4.5,9.527045887715554,0.5555555555555556
32.0,1.0,3.5,11.341872353234143,0.42857142857142855
33.0,0.0,7.5,7.5562911349993325,0.06666666666666667
34.0,0.0,12.5,6.481668322834801,0.12
35.0,1.0,9.0,5.389727513142777,0.7777777777777778
37.0,1.0,10.0,9.64888355773735,0.55
38.0,1.0,6.5,9.64294129533523,0.8461538461538461
39.0,0.0,3.5,8.339144818161428,0.0
40.0,1.0,8.0,36.2283093130072,0.5625
41.0,0.0,4.5,10.342960551974443,0.1111111111111111
100.0,0.0,6.5,45.89829130382174,0.0
200.0,1.0,4.0,8.703433215513,0.625
400.0,1.0,9.0,37.56176800031095,0.7777777777777778
500.0,0.0,11.0,17.33105087219684,0.09090909090909091
600.0,1.0,4.5,25.513619952639722,0.4444444444444444
700.0,0.0,4.5,36.78956671731262,0.0
800.0,0.0,5.5,37.885391000498096,0.0
1000.0,0.0,5.5,4.410718871235782,0.18181818181818182
1300.0,0.0,6.0,28.480014897600963,0.0
1400.0,1.0,4.0,13.30060206480167,0.875
1500.0,0.0,3.0,12.0797664197667,0.0
1600.0,1.0,9.0,5.150768688297889,0.5555555555555556
1700.0,1.0,4.0,15.813960000650749,0.5
1800.0,0.0,13.0,21.95849596151999,0.11538461538461539
1900.0,1.0,7.0,57.42366899233622,0.2857142857142857
2000.0,0.0,14.5,9.987844637348662,0.10344827586206896
2100.0,0.0,13.5,16.067097080894232,0.1111111111111111
2200.0,0.0,9.5,14.445531158657223,0.0
2300.0,0.0,4.0,16.6223245758205,0.0
2500.0,0.0,11.5,9.506892159441612,0.2608695652173913
2700.0,1.0,11.0,19.869638292934372,0.5454545454545454
2800.0,0.0,10.0,12.1374754998645,0.0
2900.0,1.0,9.0,31.37146290464828,0.7777777777777778
3000.0,0.0,6.0,13.210826474307552,0.08333333333333333
3100.0,0.0,11.5,10.465860161982347,0.21739130434782608
3200.0,1.0,10.5,7.097684633238096,0.6190476190476191
3300.0,0.0,6.0,6.13054419673006,0.16666666666666666
3400.0,1.0,8.0,18.419049465227342,0.3125
3500.0,1.0,3.5,12.742121667180328,0.5714285714285714
3600.0,1.0,18.5,10.96190695907548,0.918918918918919
3700.0,0.0,9.5,6.059091566928493,0.10526315789473684
3800.0,0.0,9.5,22.42206580745852,0.0
3900.0,0.0,8.5,12.120105176444408,0.0
4000.0,0.0,11.5,26.09543863842555,0.0
4100.0,1.0,3.5,62.51011831848176,0.7142857142857143
