Driver,Risk Level,TripsPerWeek,DistancePerTrip
1.0,0.0,6.5,45.89829130382174
5.0,1.0,11.0,17.33105087219684
6.0,1.0,4.5,25.513619952639722
7.0,0.0,4.5,36.78956671731262
15.0,0.0,3.0,12.0797664197667
47.0,0.0,8.0,30.30908120187419
49.0,0.0,3.0,11.639481848050165
50.0,1.0,13.0,29.659650977725445
51.0,1.0,4.0,37.308447134827496
56.0,0.0,7.5,36.638853677096826
58.0,1.0,9.5,16.771783424998954
59.0,1.0,12.0,10.81209368055088
61.0,1.0,5.5,15.159174151484192
67.0,1.0,12.0,10.133709216927318
70.0,1.0,19.0,22.32347722593176
71.0,0.0,5.0,8.261604752186404
73.0,0.0,6.5,35.7262540791583
76.0,0.0,6.5,12.649811188268853
77.0,1.0,8.0,8.77792796304285
99.0,0.0,8.5,6.983569087998095
104.0,1.0,7.0,11.939190299805636
106.0,1.0,9.5,34.65208406624677
112.0,0.0,3.5,3.381944852647
114.0,1.0,7.0,14.177429736317432
