Driver,Risk Level,TripsPerWeek,DistancePerTrip
1.0,0.0,9.5,23.569224920454257
2.0,1.0,13.0,4.689929638286827
3.0,0.0,5.0,51.48113006188629
4.0,1.0,15.0,4.187432334552333
5.0,0.0,3.0,4.781983079511034
6.0,1.0,22.0,4.6515073280795445
7.0,1.0,2.5,5.277777841668
8.0,0.0,3.5,5.931896810202856
9.0,0.0,10.5,14.894293597129872
11.0,1.0,10.0,15.17266268960555
13.0,1.0,10.0,6.391006124420151
17.0,1.0,18.5,4.4549538163932505
20.0,1.0,5.5,7.394091621223637
21.0,1.0,15.5,11.011074080808834
22.0,1.0,11.0,11.6863987834345
23.0,0.0,5.0,5.07936663043615
24.0,0.0,4.0,7.036414540552501
25.0,0.0,5.5,3.6289378968172725
26.0,0.0,5.0,12.832856911632998
27.0,1.0,15.0,7.321195401964999
29.0,1.0,4.5,9.527045887715554
32.0,1.0,3.5,11.341872353234143
33.0,0.0,7.5,7.5562911349993325
34.0,0.0,12.5,6.481668322834801
35.0,1.0,9.0,5.389727513142777
37.0,1.0,10.0,9.64888355773735
38.0,1.0,6.5,9.64294129533523
39.0,0.0,3.5,8.339144818161428
40.0,1.0,8.0,36.2283093130072
41.0,0.0,4.5,10.342960551974443
100.0,0.0,6.5,45.89829130382174
200.0,1.0,4.0,8.703433215513
400.0,1.0,9.0,37.56176800031095
500.0,0.0,11.0,17.33105087219684
600.0,1.0,4.5,25.513619952639722
700.0,0.0,4.5,36.78956671731262
800.0,0.0,5.5,37.885391000498096
1000.0,1.0,5.5,4.410718871235782
1300.0,0.0,6.0,28.480014897600963
1400.0,1.0,4.0,13.30060206480167
1500.0,0.0,3.0,12.0797664197667
1600.0,1.0,9.0,5.150768688297889
1700.0,1.0,4.0,15.813960000650749
1800.0,0.0,13.0,21.95849596151999
1900.0,1.0,7.0,57.42366899233622
2000.0,0.0,14.5,9.987844637348662
2100.0,0.0,13.5,16.067097080894232
2200.0,0.0,9.5,14.445531158657223
2300.0,0.0,4.0,16.6223245758205
2500.0,1.0,11.5,9.506892159441612
2700.0,1.0,11.0,19.869638292934372
2800.0,0.0,10.0,12.1374754998645
2900.0,1.0,9.0,31.37146290464828
3000.0,0.0,6.0,13.210826474307552
3100.0,1.0,11.5,10.465860161982347
3200.0,1.0,10.5,7.097684633238096
3300.0,0.0,6.0,6.13054419673006
3400.0,1.0,8.0,18.419049465227342
3500.0,1.0,3.5,12.742121667180328
3600.0,1.0,18.5,10.96190695907548
3700.0,0.0,9.5,6.059091566928493
3800.0,0.0,9.5,22.42206580745852
3900.0,0.0,8.5,12.120105176444408
4000.0,0.0,11.5,26.09543863842555
4100.0,1.0,3.5,62.51011831848176
4200.0,0.0,7.5,14.304218548384174
4300.0,0.0,15.5,10.811293500023451
4500.0,1.0,7.5,12.206042503152512
4700.0,0.0,8.0,30.30908120187419
4900.0,0.0,3.0,11.639481848050165
5000.0,1.0,13.0,29.659650977725445
5100.0,1.0,4.0,37.308447134827496
5200.0,0.0,7.0,5.148611113926344
5300.0,1.0,6.0,9.630583400349499
5600.0,0.0,7.5,36.638853677096826
5800.0,0.0,9.5,16.771783424998954
5900.0,0.0,12.0,10.81209368055088
6100.0,1.0,5.5,15.159174151484192
6200.0,1.0,8.0,13.930644459405086
6300.0,1.0,3.0,20.680277165718334
6400.0,1.0,12.0,20.398892499828936
6500.0,0.0,17.0,14.462715582933251
6600.0,0.0,6.5,3.9515983897723683
6700.0,0.0,12.0,10.133709216927318
6800.0,0.0,7.5,10.589891222024907
7000.0,0.0,19.0,22.32347722593176
7100.0,0.0,5.0,8.261604752186404
7200.0,1.0,10.0,27.480530206216514
7300.0,0.0,6.5,35.7262540791583
7400.0,1.0,10.0,15.958797436126599
7600.0,0.0,6.5,12.649811188268853
7700.0,0.0,8.0,8.77792796304285
7800.0,1.0,13.0,14.619888307275223
8000.0,1.0,5.5,17.606911691201603
8100.0,1.0,15.0,16.57616461652656
8200.0,1.0,4.0,21.155401919677328
8300.0,0.0,6.5,8.161972653636353
8400.0,0.0,15.5,19.934757349071813
8500.0,1.0,8.5,12.628847652883373
8600.0,1.0,22.5,12.300345137271863
8700.0,1.0,12.0,9.881898581985988
8800.0,0.0,6.5,7.653135812519007
9000.0,1.0,5.0,17.326967563983676
9200.0,1.0,5.0,23.99804043782823
9300.0,1.0,20.5,4.128715907253452
9600.0,1.0,15.0,22.65501332304227
9800.0,0.0,7.0,17.835386471396614
9900.0,0.0,8.5,6.983569087998095
10000.0,1.0,11.0,19.647669066318564
10100.0,1.0,6.5,11.866507966668015
10300.0,1.0,7.5,9.268089604123425
10400.0,1.0,7.0,11.939190299805636
10500.0,0.0,4.0,14.243876689679928
10600.0,0.0,9.5,34.65208406624677
10800.0,0.0,11.0,16.867972619435225
10900.0,1.0,18.0,19.95345698526273
11000.0,0.0,8.5,24.727084208542752
11100.0,1.0,9.5,53.002969168809095
11200.0,0.0,3.5,3.381944852647
11400.0,1.0,7.0,14.177429736317432
11500.0,1.0,12.5,27.16750586844509
