Driver,Trip,StartTime,Risky Level,Age,Gender,Brake Reaction Time,Brake Duration,Max Deceleration,Warning TH,Warning TTC,Brake TH,Brake TTC
1.0,17.0,177957.0,0.0,0.0,-1.0,3.0,170.0,-2.8249470000000003,1.131087370843961,3.6455696202531644,1.131087370843961,3.6455696202531644
1.0,77.0,14321.0,0.0,0.0,-1.0,69.0,230.0,-5.19536,0.7977543746190724,3.2,0.6345476283517996,2.0869565217391304
4.0,109.0,12260.0,0.0,0.0,-1.0,500.0,0.0,-0.1841289,2.7376425855513307,2.7169811320754715,-1.0,-1.0
9.0,58.0,63516.0,0.0,0.0,-1.0,74.0,430.0,-1.606781,2.2978726412926536,2.2857142857142856,0.0,
11.0,30.0,200004.0,0.0,0.0,-1.0,56.0,130.0,-1.903621,0.21763536686638338,4.0,0.18782605429112098,3.2
11.0,32.0,78311.0,0.0,0.0,-1.0,19.0,360.0,-2.72939,0.7415037572613301,3.4285714285714284,0.6715277133382498,3.0344827586206895
11.0,33.0,28569.0,0.0,0.0,-1.0,41.0,200.0,-1.6212389999999999,0.31813354864611904,5.161290322580645,0.31824603155154807,5.333333333333333
11.0,33.0,62721.0,0.0,0.0,-1.0,39.0,290.0,-2.538694,0.4765687053216838,3.75,0.41408592920086196,3.25
11.0,40.0,77474.0,0.0,0.0,-1.0,16.0,220.0,-2.184872,0.46726279015072336,4.9655172413793105,0.4678024563787204,4.5
11.0,40.0,129508.0,0.0,0.0,-1.0,500.0,0.0,-0.47848320000000005,1.0214168039538714,3.4444444444444446,-1.0,-1.0
17.0,98.0,11997.0,0.0,0.0,-1.0,500.0,0.0,-0.3569332,0.6025103594124922,4.266666666666667,-1.0,-1.0
17.0,126.0,50565.0,0.0,0.0,-1.0,500.0,0.0,-0.2965771,1.5623058741956912,3.0,-1.0,-1.0
17.0,132.0,158396.0,0.0,0.0,-1.0,500.0,0.0,-0.29973320000000003,2.4164750877894416,3.3364928909952605,-1.0,-1.0
17.0,153.0,5810.0,0.0,0.0,-1.0,500.0,0.0,-0.31423,1.6423360061804386,3.7037037037037037,-1.0,-1.0
17.0,157.0,9167.0,0.0,0.0,-1.0,500.0,0.0,-0.02004856,2.0735482238198584,2.122448979591837,-1.0,-1.0
33.0,45.0,33888.0,0.0,0.0,-1.0,500.0,0.0,-0.5123886999999999,1.5013593830065701,1.4898785425101215,-1.0,-1.0
34.0,15.0,58396.0,0.0,0.0,-1.0,64.0,160.0,-1.5710549999999999,1.523988424461256,3.789473684210526,1.3155381065631626,3.439252336448598
34.0,15.0,63845.0,0.0,0.0,-1.0,500.0,0.0,-0.3128586,1.450096538834391,3.3488372093023258,-1.0,-1.0
34.0,15.0,199984.0,0.0,0.0,-1.0,500.0,0.0,-0.2116641,1.5892367803879102,4.048192771084337,-1.0,-1.0
34.0,51.0,31023.0,0.0,0.0,-1.0,500.0,0.0,-0.22787070000000004,0.42741502115121516,4.2926829268292686,-1.0,-1.0
34.0,52.0,65316.0,0.0,0.0,-1.0,500.0,0.0,-0.2620487,1.385175848073913,3.8974358974358974,-1.0,-1.0
41.0,25.0,12666.0,0.0,0.0,-1.0,500.0,0.0,-0.35279320000000003,1.392757660167131,1.3937282229965158,-1.0,-1.0
5.0,62.0,74804.0,0.0,3.0,1.0,26.0,150.0,-3.5984599999999998,1.2262455266240493,3.848101265822785,1.1715782916956579,3.4285714285714284
10.0,17.0,123192.0,0.0,1.0,2.0,500.0,0.0,-0.47247740000000005,2.8050035357807723,2.776255707762557,-1.0,-1.0
15.0,4.0,291398.0,0.0,3.0,2.0,500.0,0.0,0.435066,0.41062413695605493,2.3333333333333335,-1.0,-1.0
15.0,57.0,47868.0,0.0,3.0,2.0,22.0,240.0,-1.397885,0.9580344081742443,4.521739130434782,0.9661433637841903,4.0
18.0,30.0,53092.0,0.0,2.0,1.0,500.0,0.0,-0.26905229999999997,1.227360002331984,3.011764705882353,-1.0,-1.0
18.0,34.0,80936.0,0.0,2.0,1.0,500.0,0.0,-0.1923414,0.2407422565253189,1.9692307692307693,-1.0,-1.0
20.0,4.0,173311.0,0.0,2.0,1.0,500.0,0.0,-0.06115178,0.40133773895147307,2.711864406779661,-1.0,-1.0
20.0,48.0,91648.0,0.0,2.0,1.0,12.0,0.0,-0.3811625,0.3631228419155601,3.404255319148936,0.36407762571873475,3.3333333333333335
20.0,62.0,66298.0,0.0,2.0,1.0,500.0,0.0,-0.4888183,2.885289890485215,2.8550185873605947,-1.0,-1.0
21.0,46.0,61507.0,0.0,2.0,1.0,500.0,0.0,-0.05485106,0.29833425071115427,2.711864406779661,-1.0,-1.0
25.0,4.0,131202.0,0.0,1.0,1.0,500.0,0.0,-0.4099208,2.030661954142446,3.372972972972973,-1.0,-1.0
25.0,13.0,45905.0,0.0,1.0,1.0,500.0,0.0,-0.7239963,0.9577909302893876,3.4022988505747125,-1.0,-1.0
25.0,15.0,56301.0,0.0,1.0,1.0,500.0,0.0,-0.5293945,0.3717235074800778,1.9259259259259258,-1.0,-1.0
25.0,37.0,117806.0,0.0,1.0,1.0,500.0,0.0,0.09538984,1.1314081010234291,1.1743119266055047,-1.0,-1.0
25.0,153.0,81990.0,0.0,1.0,1.0,500.0,0.0,1.10725,1.001589665883996,2.6666666666666665,-1.0,-1.0
30.0,4.0,101758.0,0.0,2.0,2.0,500.0,0.0,-0.38807020000000003,2.858248312064945,2.8521739130434782,-1.0,-1.0
31.0,18.0,76040.0,0.0,2.0,1.0,500.0,0.0,-0.1080472,1.788283291205901,2.3553299492385786,-1.0,-1.0
31.0,37.0,48303.0,0.0,2.0,1.0,67.0,40.0,-0.525989,0.7605425827792097,3.3548387096774195,0.6474819720417285,3.0085470085470085
33.0,39.0,32666.0,0.0,1.0,1.0,500.0,0.0,-0.1783908,1.744122951624489,1.7419354838709677,-1.0,-1.0
37.0,88.0,113422.0,0.0,1.0,2.0,500.0,0.0,-0.3658784,2.690581580739741,2.654028436018957,-1.0,-1.0
39.0,1.0,110185.0,0.0,2.0,2.0,500.0,0.0,-0.1075406,0.2264760902720754,2.0,-1.0,-1.0
39.0,17.0,277593.0,0.0,2.0,2.0,500.0,0.0,-0.03350671,0.2578103650079148,3.0476190476190474,-1.0,-1.0
43.0,34.0,56765.0,0.0,1.0,2.0,55.0,290.0,-2.475898,0.8739495798319328,3.2,0.7531378461353073,2.838709677419355
43.0,51.0,123056.0,0.0,1.0,2.0,54.0,110.0,-4.2659720000000005,0.5257118137958796,4.869565217391305,0.4557441998954827,3.6923076923076925
43.0,61.0,78533.0,0.0,1.0,2.0,67.0,170.0,-2.200087,0.7693221673344098,3.1648351648351647,0.6103172385411848,2.5454545454545454
49.0,44.0,116275.0,0.0,3.0,2.0,500.0,0.0,-0.4165713,2.0235541705451454,3.230769230769231,-1.0,-1.0
50.0,90.0,177493.0,0.0,3.0,2.0,500.0,0.0,0.4341601,0.2225951220504954,1.0769230769230769,-1.0,-1.0
50.0,91.0,260371.0,0.0,3.0,2.0,39.0,470.0,-4.190601999999999,3.263211233820167,3.2243346007604563,2.9984370646800356,2.887218045112782
56.0,44.0,148741.0,0.0,3.0,1.0,500.0,0.0,-0.5312482,2.7815226410024843,3.0445344129554655,-1.0,-1.0
65.0,33.0,4749.0,0.0,1.0,2.0,391.0,120.0,-2.0655069999999998,2.2793290995912625,2.324786324786325,3.0240549828178693,5.374045801526718
65.0,34.0,25317.0,0.0,1.0,2.0,500.0,0.0,0.0023592929999999997,2.3684206630887066,2.3777089783281733,-1.0,-1.0
65.0,56.0,56788.0,0.0,1.0,2.0,132.0,210.0,-0.6055337,1.6104810104157858,1.6,0.0,
65.0,57.0,18860.0,0.0,1.0,2.0,500.0,0.0,0.16673829999999998,2.0559184108778643,2.064516129032258,-1.0,-1.0
67.0,20.0,196225.0,0.0,3.0,1.0,500.0,0.0,0.12755539999999999,2.6955986924695976,2.6941580756013748,-1.0,-1.0
67.0,21.0,229634.0,0.0,3.0,1.0,500.0,0.0,-0.06217302,1.6575311704656361,1.6551724137931034,-1.0,-1.0
67.0,29.0,312598.0,0.0,3.0,1.0,52.0,210.0,-1.209363,0.6508965286060888,4.0,0.5477783206869579,3.2
67.0,38.0,86741.0,0.0,3.0,1.0,500.0,0.0,-0.3771454,1.62269636773736,3.022222222222222,-1.0,-1.0
67.0,44.0,417236.0,0.0,3.0,1.0,500.0,0.0,-0.29879920000000004,1.2828372780579633,3.405940594059406,-1.0,-1.0
67.0,51.0,32927.0,0.0,3.0,1.0,500.0,0.0,-0.44056720000000005,1.0670052630034597,3.3185185185185184,-1.0,-1.0
68.0,1.0,12184.0,0.0,1.0,2.0,500.0,0.0,0.1369675,2.737029432189827,2.7474747474747474,-1.0,-1.0
68.0,1.0,136526.0,0.0,1.0,2.0,500.0,0.0,0.46444409999999997,0.3989521340856362,2.7936507936507935,-1.0,-1.0
68.0,15.0,16391.0,0.0,1.0,2.0,500.0,0.0,1.0796379999999999,2.774779474401272,2.8368794326241136,-1.0,-1.0
70.0,16.0,278979.0,0.0,3.0,1.0,21.0,370.0,-2.405456,1.376518218623482,3.3580246913580245,1.3198902511256188,3.240506329113924
70.0,16.0,507321.0,0.0,3.0,1.0,500.0,0.0,-0.20774610000000002,1.8441265228862689,1.8744769874476988,-1.0,-1.0
