Driver,Trip,StartTime,Risky Level,Age,Gender,Brake Reaction Time,Brake Duration,Max Deceleration,Warning TH,Warning TTC,Brake TH,Brake TTC
1.0,119.0,50500.0,0.0,0.0,-1.0,500.0,0.0,-1.235005,1.9591836734693877,3.310344827586207,-1.0,-1.0
1.0,202.0,246579.0,0.0,0.0,-1.0,41.0,130.0,-1.722596,1.915985408402554,3.223021582733813,1.6721499249622722,2.8444444444444446
1.0,202.0,366013.0,0.0,0.0,-1.0,17.0,230.0,-3.5026879999999996,0.9679155358186823,4.0,0.9861213284237639,3.8095238095238093
4.0,176.0,28066.0,0.0,0.0,-1.0,500.0,0.0,-1.876768,2.4484744520239983,2.4331797235023043,-1.0,-1.0
4.0,178.0,44943.0,0.0,0.0,-1.0,500.0,0.0,-1.317839,2.9854868022824053,2.9883268482490273,-1.0,-1.0
4.0,233.0,23790.0,0.0,0.0,-1.0,20.0,300.0,-1.4663680000000001,2.814454286695324,2.801556420233463,2.6424317922293628,2.656126482213439
4.0,257.0,196472.0,0.0,0.0,-1.0,500.0,0.0,-0.8205617000000001,1.0983487295981724,1.0923694779116466,-1.0,-1.0
4.0,262.0,139049.0,0.0,0.0,-1.0,500.0,0.0,-0.9181357,1.0546359423093048,1.056105610561056,-1.0,-1.0
11.0,88.0,58707.0,0.0,0.0,-1.0,13.0,280.0,-1.265176,0.18965334781779167,5.714285714285714,0.15230036373134367,4.571428571428571
11.0,101.0,152943.0,0.0,0.0,-1.0,17.0,210.0,-2.274279,1.1711544655143808,4.298507462686567,1.1113130359633971,4.059701492537314
11.0,162.0,139051.0,0.0,0.0,-1.0,19.0,230.0,-1.320222,0.2747392381206188,4.0,0.2753696952896637,4.0
11.0,165.0,155077.0,0.0,0.0,-1.0,103.0,150.0,-1.513685,0.2298360962185833,5.333333333333333,0.23560215591679473,9.6
11.0,168.0,90680.0,0.0,0.0,-1.0,500.0,0.0,-0.3888336,0.33167495854063017,5.333333333333333,-1.0,-1.0
11.0,168.0,101618.0,0.0,0.0,-1.0,232.0,280.0,-0.9573208000000001,0.14931561189288894,8.0,0.152952830876486,24.0
11.0,168.0,117508.0,0.0,0.0,-1.0,182.0,330.0,-0.37706259999999997,0.15006250103167967,8.0,0.15506095704656428,24.0
11.0,168.0,145048.0,0.0,0.0,-1.0,12.0,500.0,-3.974644,0.18791596961586687,2.909090909090909,0.1880631610126261,2.6666666666666665
11.0,172.0,73229.0,0.0,0.0,-1.0,11.0,330.0,-2.961468,0.4787870982198216,4.102564102564102,0.47980800003070767,3.8095238095238093
11.0,172.0,101813.0,0.0,0.0,-1.0,17.0,490.0,-2.346119,1.024967417862659,4.622222222222222,1.0326565725810617,4.425531914893617
11.0,174.0,174227.0,0.0,0.0,-1.0,500.0,0.0,-0.41507440000000007,2.8292993183652078,2.807017543859649,-1.0,-1.0
11.0,180.0,50607.0,0.0,0.0,-1.0,500.0,0.0,-0.1907066,0.14497129024810748,7.111111111111111,-1.0,-1.0
11.0,180.0,52615.0,0.0,0.0,-1.0,500.0,0.0,-0.42728409999999994,0.17761989342806395,4.0,-1.0,-1.0
11.0,180.0,73668.0,0.0,0.0,-1.0,500.0,0.0,-0.23393629999999999,0.17873100983020554,6.666666666666667,-1.0,-1.0
11.0,180.0,76093.0,0.0,0.0,-1.0,500.0,0.0,-0.09979076,0.17992802159424143,8.0,-1.0,-1.0
11.0,180.0,94446.0,0.0,0.0,-1.0,500.0,0.0,-0.1959351,0.18083182640144665,7.2727272727272725,-1.0,-1.0
11.0,180.0,97815.0,0.0,0.0,-1.0,500.0,0.0,-0.44753580000000004,0.17795348509443815,6.666666666666667,-1.0,-1.0
11.0,180.0,100626.0,0.0,0.0,-1.0,500.0,0.0,-0.3545767,0.17956899848982474,7.2727272727272725,-1.0,-1.0
11.0,180.0,126087.0,0.0,0.0,-1.0,13.0,70.0,-0.8220738999999999,0.1918771495037673,6.666666666666667,0.1924721819955362,6.666666666666667
11.0,190.0,107603.0,0.0,0.0,-1.0,37.0,460.0,-1.7398779999999998,0.3605244122550769,3.8260869565217392,0.33015405978891926,3.4782608695652173
11.0,195.0,109107.0,0.0,0.0,-1.0,13.0,440.0,-2.405112,0.9129925155682782,3.9245283018867925,0.8429268950577089,3.4909090909090907
11.0,204.0,49634.0,0.0,0.0,-1.0,500.0,0.0,-0.04002956,2.691852965323975,2.7387387387387387,-1.0,-1.0
11.0,207.0,93644.0,0.0,0.0,-1.0,66.0,380.0,-3.922396,0.7318822547828505,3.9420289855072466,0.6075215507421526,2.6987951807228914
11.0,207.0,208935.0,0.0,0.0,-1.0,15.0,490.0,-2.459252,0.6941764152174577,4.571428571428571,0.6965942115807394,4.444444444444445
11.0,210.0,149238.0,0.0,0.0,-1.0,500.0,0.0,-0.23305029999999996,0.31877217458939483,5.052631578947368,-1.0,-1.0
11.0,216.0,58011.0,0.0,0.0,-1.0,49.0,380.0,-1.459131,0.36619195982274977,5.67741935483871,0.33578952175513155,4.848484848484849
17.0,203.0,159637.0,0.0,0.0,-1.0,500.0,0.0,-0.30609050000000004,2.5945940336012896,2.6778242677824267,-1.0,-1.0
17.0,241.0,168163.0,0.0,0.0,-1.0,297.0,210.0,-2.481072,2.3547735464739787,3.262135922330097,0.0,
17.0,324.0,95252.0,0.0,0.0,-1.0,500.0,0.0,-0.5262842,0.9006429947666209,0.9105691056910569,-1.0,-1.0
17.0,359.0,55551.0,0.0,0.0,-1.0,500.0,0.0,0.213363,2.8205128205128207,3.101321585903084,-1.0,-1.0
23.0,91.0,44771.0,0.0,0.0,-1.0,500.0,0.0,-0.42503279999999993,2.7463922055904666,2.728110599078341,-1.0,-1.0
23.0,118.0,33106.0,0.0,0.0,-1.0,500.0,0.0,-0.41318,2.6819478092956306,2.810810810810811,-1.0,-1.0
23.0,125.0,36284.0,0.0,0.0,-1.0,500.0,0.0,-0.4488904,2.7776640722309613,2.776255707762557,-1.0,-1.0
23.0,131.0,35559.0,0.0,0.0,-1.0,500.0,0.0,-0.48737840000000004,2.721698928606895,2.7155963302752295,-1.0,-1.0
25.0,96.0,79671.0,0.0,0.0,-1.0,500.0,0.0,-0.7089036,2.6179498132635555,2.6345381526104417,-1.0,-1.0
25.0,108.0,36059.0,0.0,0.0,-1.0,500.0,0.0,-1.468964,2.7289948884409627,2.704225352112676,-1.0,-1.0
25.0,114.0,69359.0,0.0,0.0,-1.0,500.0,0.0,-0.8219780000000001,2.1410983834707205,3.2222222222222223,-1.0,-1.0
33.0,217.0,18788.0,0.0,0.0,-1.0,500.0,0.0,-1.439359,1.874674275344659,1.867704280155642,-1.0,-1.0
33.0,217.0,43463.0,0.0,0.0,-1.0,500.0,0.0,-1.8025959999999999,2.1967955343540377,3.1683168316831685,-1.0,-1.0
37.0,158.0,124441.0,0.0,0.0,-1.0,39.0,470.0,-1.640769,0.3497183368514998,3.8095238095238093,0.0,
1.0,126.0,98317.0,0.0,3.0,1.0,500.0,0.0,-1.5371290000000002,2.822474423005586,2.8,-1.0,-1.0
