Driver,Trip,Week,AgeGroup,Cluster
1,1,1,3,0
1,16,1,3,0
1,17,1,3,0
1,18,1,3,0
1,19,1,3,0
1,42,2,3,0
1,43,2,3,0
1,47,2,3,0
1,48,2,3,0
1,49,2,3,0
1,53,2,3,0
1,54,2,3,0
1,55,2,3,0
3,1,1,3,0
5,1,1,3,0
5,6,1,3,0
5,7,1,3,0
5,9,1,3,1
5,14,1,3,1
5,15,1,3,0
5,18,1,3,0
5,19,1,3,0
5,20,1,3,0
5,21,1,3,1
5,22,1,3,0
5,25,1,3,1
5,26,2,3,0
5,28,2,3,0
5,33,2,3,0
5,34,2,3,0
5,49,2,3,1
5,54,2,3,0
5,55,2,3,0
5,57,2,3,1
5,62,2,3,0
5,63,2,3,0
6,1,1,3,0
6,7,1,3,0
6,9,1,3,0
6,12,1,3,0
6,15,1,3,1
6,48,2,3,1
6,49,2,3,1
6,61,2,3,1
6,62,2,3,1
7,9,1,3,0
7,10,1,3,0
7,12,1,3,0
7,15,1,3,0
7,36,2,3,0
7,37,2,3,0
7,38,2,3,0
7,39,2,3,0
7,40,2,3,0
15,4,1,3,0
15,27,2,3,0
15,35,2,3,0
15,37,2,3,0
15,51,2,3,0
15,57,2,3,0
47,1,1,3,0
47,15,1,3,0
47,17,1,3,0
47,21,1,3,0
47,22,1,3,0
47,34,1,3,0
47,42,2,3,0
47,43,2,3,0
47,49,2,3,0
47,63,2,3,0
47,64,2,3,0
47,79,2,3,0
47,81,2,3,0
47,82,2,3,0
47,83,2,3,0
47,94,2,3,0
48,1,1,3,1
48,52,2,3,0
48,53,2,3,0
49,4,1,3,0
49,21,1,3,0
49,26,1,3,0
49,27,1,3,0
49,44,2,3,0
49,45,2,3,0
50,1,1,3,0
50,3,1,3,0
50,6,1,3,0
50,7,1,3,0
50,19,1,3,0
50,20,1,3,1
50,36,1,3,1
50,37,1,3,1
50,50,1,3,0
50,54,1,3,0
50,58,1,3,0
50,59,1,3,0
50,60,1,3,1
50,61,1,3,0
50,71,2,3,1
50,72,2,3,0
50,77,2,3,0
50,78,2,3,1
50,79,2,3,1
50,80,2,3,0
50,81,2,3,0
50,82,2,3,1
50,83,2,3,0
50,88,2,3,0
50,90,2,3,1
50,91,2,3,1
51,1,1,3,0
51,3,1,3,0
51,7,1,3,0
51,10,1,3,0
51,13,1,3,0
51,14,1,3,0
51,31,2,3,1
51,49,2,3,1
54,12,1,3,0
54,13,1,3,0
54,14,1,3,0
56,1,1,3,0
56,7,1,3,0
56,8,1,3,0
56,12,1,3,0
56,13,1,3,0
56,25,2,3,0
56,26,2,3,0
56,27,2,3,0
56,29,2,3,0
56,30,2,3,0
56,31,2,3,0
56,32,2,3,0
56,33,2,3,0
56,42,2,3,0
56,44,2,3,0
57,373,2,3,0
57,382,2,3,1
57,384,2,3,1
58,1,1,3,1
58,2,1,3,0
58,4,1,3,0
58,5,1,3,0
58,7,1,3,0
58,12,1,3,0
58,14,1,3,0
58,19,2,3,0
58,23,2,3,0
58,27,2,3,0
58,28,2,3,0
58,34,2,3,1
58,37,2,3,1
58,38,2,3,0
58,42,2,3,1
58,43,2,3,0
58,47,2,3,0
58,48,2,3,0
58,50,2,3,0
59,1,1,3,0
59,6,1,3,0
59,10,1,3,0
59,16,1,3,0
59,18,1,3,0
59,19,1,3,0
59,20,1,3,0
59,21,2,3,0
59,22,2,3,0
59,27,2,3,0
59,30,2,3,0
59,31,2,3,0
59,33,2,3,0
59,35,2,3,0
59,43,2,3,0
59,44,2,3,0
59,46,2,3,0
59,50,2,3,0
59,51,2,3,1
59,55,2,3,0
59,56,2,3,0
59,57,2,3,0
59,58,2,3,0
59,59,2,3,0
61,1,1,3,0
61,7,1,3,1
61,12,1,3,0
61,14,1,3,1
61,37,2,3,0
61,40,2,3,1
61,44,2,3,1
61,45,2,3,0
61,50,2,3,1
61,52,2,3,1
61,55,2,3,0
67,1,1,3,1
67,5,1,3,1
67,6,1,3,1
67,7,1,3,1
67,8,1,3,0
67,11,1,3,0
67,14,1,3,0
67,15,1,3,0
67,20,1,3,0
67,21,1,3,0
67,26,1,3,0
