Driver,Trip,Week,AgeGroup,Cluster
1,8,1,0,0
1,9,1,0,1
1,10,1,0,0
1,11,1,0,0
1,14,1,0,0
1,16,1,0,1
1,17,1,0,0
1,20,1,0,0
1,24,1,0,0
1,29,1,0,0
1,30,1,0,0
1,50,2,0,0
1,54,2,0,0
1,56,2,0,0
1,58,2,0,0
1,68,2,0,0
1,69,2,0,0
1,77,2,0,1
1,79,2,0,0
2,1,1,0,0
2,4,1,0,0
2,5,1,0,1
2,6,1,0,0
2,16,1,0,1
2,17,1,0,1
2,18,1,0,0
2,20,1,0,1
2,23,1,0,0
2,26,1,0,0
2,27,1,0,0
2,28,1,0,1
2,29,1,0,0
2,30,1,0,1
2,33,1,0,0
2,34,2,0,1
2,38,2,0,1
2,44,2,0,0
2,45,2,0,1
2,50,2,0,0
2,61,2,0,0
2,62,2,0,1
2,63,2,0,1
2,64,2,0,0
2,66,2,0,1
2,68,2,0,1
3,2,1,0,0
3,26,1,0,0
3,27,1,0,0
3,28,1,0,0
3,42,1,0,0
3,43,1,0,0
3,57,2,0,1
3,69,2,0,0
3,70,2,0,0
3,73,2,0,0
4,17,1,0,1
4,19,1,0,1
4,42,1,0,0
4,43,1,0,0
4,50,1,0,0
4,53,1,0,0
4,56,1,0,0
4,58,2,0,0
4,60,2,0,0
4,61,2,0,0
4,62,2,0,0
4,64,2,0,0
4,65,2,0,0
4,80,2,0,1
4,82,2,0,0
4,84,2,0,0
4,85,2,0,0
4,89,2,0,1
4,90,2,0,0
4,93,2,0,0
4,102,2,0,0
4,104,2,0,0
4,105,2,0,0
4,106,2,0,1
4,107,2,0,0
4,108,2,0,1
4,109,2,0,0
4,112,2,0,1
4,115,2,0,0
4,117,2,0,0
5,1,1,0,0
5,29,2,0,0
5,30,2,0,0
5,32,2,0,0
5,33,2,0,0
5,36,2,0,0
6,1,1,0,0
6,4,1,0,0
6,5,1,0,0
6,6,1,0,0
6,12,1,0,0
6,16,1,0,1
6,17,1,0,0
6,18,1,0,0
6,19,1,0,1
6,22,1,0,0
6,24,1,0,0
6,26,1,0,0
6,27,1,0,0
6,28,1,0,0
6,29,1,0,1
6,30,1,0,0
6,32,1,0,1
6,34,1,0,0
6,35,1,0,1
6,36,1,0,0
6,37,1,0,1
6,38,1,0,1
6,39,2,0,0
6,40,2,0,0
6,42,2,0,0
6,43,2,0,0
6,44,2,0,0
6,45,2,0,1
6,47,2,0,1
6,48,2,0,1
6,49,2,0,1
6,52,2,0,1
6,53,2,0,1
6,54,2,0,1
6,55,2,0,1
6,58,2,0,0
6,60,2,0,1
6,64,2,0,0
6,65,2,0,1
6,66,2,0,0
6,70,2,0,1
6,71,2,0,0
6,72,2,0,1
6,73,2,0,1
7,7,1,0,0
7,8,1,0,1
7,18,1,0,0
7,32,2,0,1
7,33,2,0,1
8,1,1,0,1
8,2,1,0,0
8,8,1,0,0
8,11,1,0,0
8,12,1,0,0
8,22,1,0,0
8,24,1,0,0
9,7,1,0,0
9,9,1,0,0
9,11,1,0,0
9,23,1,0,0
9,26,1,0,0
9,27,1,0,0
9,28,1,0,1
9,29,1,0,0
9,30,1,0,0
9,36,1,0,0
9,39,1,0,0
9,40,1,0,0
9,42,2,0,1
9,43,2,0,0
9,44,2,0,1
9,47,2,0,0
9,52,2,0,0
9,53,2,0,0
9,54,2,0,0
9,55,2,0,0
9,58,2,0,0
10,7,1,0,0
10,8,1,0,0
10,28,2,0,0
10,30,2,0,0
11,7,1,0,0
11,8,1,0,0
11,9,1,0,0
11,12,1,0,0
11,16,1,0,1
11,17,1,0,0
11,18,1,0,0
11,20,2,0,0
11,21,2,0,0
11,28,2,0,0
11,29,2,0,1
11,30,2,0,1
11,31,2,0,1
11,32,2,0,0
11,33,2,0,0
11,36,2,0,0
11,37,2,0,0
11,40,2,0,0
11,41,2,0,0
11,42,2,0,0
12,74,2,0,0
13,7,1,0,0
13,9,1,0,1
13,10,1,0,1
13,11,1,0,0
13,19,1,0,0
13,21,1,0,0
13,22,1,0,0
13,25,1,0,1
13,27,1,0,0
13,35,2,0,0
13,36,2,0,0
13,37,2,0,0
13,42,2,0,0
13,43,2,0,1
13,45,2,0,0
13,46,2,0,0
13,51,2,0,1
13,53,2,0,1
13,54,2,0,0
13,58,2,0,1
14,4,1,0,0
14,22,1,0,0
14,70,1,0,0
17,15,1,0,0
17,20,1,0,0
17,26,1,0,0
17,33,1,0,0
17,42,1,0,0
17,52,1,0,0
17,56,1,0,0
17,58,1,0,0
17,60,1,0,0
17,63,2,0,0
17,68,2,0,0
17,69,2,0,1
17,71,2,0,0
17,73,2,0,0
17,79,2,0,0
17,80,2,0,0
17,85,2,0,0
17,91,2,0,1
17,92,2,0,1
17,97,2,0,1
17,98,2,0,0
17,106,2,0,1
17,107,2,0,1
17,109,2,0,0
17,120,2,0,1
17,121,2,0,0
17,122,2,0,0
17,126,2,0,0
17,127,2,0,0
17,132,2,0,0
17,135,2,0,1
17,140,2,0,0
17,146,2,0,0
17,150,2,0,0
17,153,2,0,0
17,155,2,0,0
17,157,2,0,1
18,1,1,0,0
20,1,1,0,0
20,9,1,0,0
20,10,1,0,0
20,11,1,0,1
20,12,1,0,1
20,17,1,0,1
20,18,1,0,1
20,52,2,0,0
20,53,2,0,0
20,62,2,0,1
20,63,2,0,0
21,2,1,0,0
21,3,1,0,1
21,9,1,0,0
21,10,1,0,0
21,12,1,0,1
21,15,1,0,1
21,21,1,0,1
21,22,1,0,1
21,23,1,0,1
21,26,1,0,0
21,29,1,0,1
21,32,1,0,0
21,33,1,0,1
21,34,1,0,1
21,36,1,0,1
21,37,1,0,1
21,43,1,0,0
21,45,1,0,1
21,49,1,0,1
21,50,1,0,1
21,52,1,0,1
21,53,1,0,1
21,57,1,0,1
21,59,1,0,1
21,61,1,0,0
21,68,2,0,1
21,71,2,0,0
21,76,2,0,1
21,78,2,0,1
21,79,2,0,1
21,82,2,0,0
22,5,1,0,0
22,7,1,0,1
22,13,1,0,1
22,18,1,0,1
22,23,1,0,0
22,25,1,0,0
22,27,1,0,0
22,30,1,0,1
22,38,1,0,0
22,43,1,0,1
22,49,1,0,1
22,50,2,0,0
22,53,2,0,0
22,56,2,0,0
22,58,2,0,0
22,61,2,0,1
22,65,2,0,1
22,66,2,0,1
22,67,2,0,1
22,71,2,0,0
22,74,2,0,1
22,76,2,0,1
23,2,1,0,0
23,3,1,0,0
23,6,1,0,0
23,7,1,0,0
23,9,1,0,0
23,10,1,0,0
23,14,1,0,0
23,18,2,0,0
23,20,2,0,0
23,21,2,0,0
24,11,1,0,0
24,42,1,0,0
24,51,1,0,0
24,82,2,0,0
24,87,2,0,0
24,89,2,0,0
24,92,2,0,0
24,105,2,0,0
25,7,1,0,0
25,8,1,0,0
25,11,1,0,0
25,12,1,0,0
25,13,1,0,0
25,14,1,0,0
25,15,1,0,0
25,16,1,0,0
25,17,1,0,0
25,18,1,0,0
25,26,2,0,1
26,1,1,0,0
26,27,1,0,0
26,28,2,0,0
26,29,2,0,0
26,32,2,0,0
26,33,2,0,0
26,37,2,0,1
26,38,2,0,0
26,43,2,0,0
26,44,2,0,0
27,1,1,0,0
27,2,1,0,0
27,3,1,0,0
27,5,1,0,0
27,8,1,0,1
27,10,1,0,1
27,11,1,0,1
27,12,1,0,1
27,14,1,0,0
27,17,1,0,1
27,21,1,0,0
27,22,1,0,0
27,24,1,0,0
27,25,1,0,0
27,27,1,0,0
27,30,1,0,1
27,31,2,0,0
27,34,2,0,1
27,36,2,0,1
27,38,2,0,1
27,39,2,0,0
27,40,2,0,0
27,41,2,0,1
27,45,2,0,0
27,51,2,0,0
27,52,2,0,0
27,55,2,0,0
27,56,2,0,1
27,62,2,0,0
27,63,2,0,1
29,52,2,0,1
29,59,2,0,0
29,61,2,0,1
29,62,2,0,1
29,63,2,0,1
29,67,2,0,0
29,71,2,0,0
29,83,2,0,0
29,85,2,0,1
31,33,1,0,0
31,58,1,0,0
31,59,1,0,0
32,18,1,0,0
32,30,1,0,0
32,37,2,0,1
32,39,2,0,0
32,43,2,0,1
32,44,2,0,0
32,68,2,0,1
33,1,1,0,0
33,13,1,0,0
33,16,1,0,0
33,27,1,0,0
33,28,1,0,0
33,34,1,0,0
33,35,1,0,0
33,39,1,0,0
33,40,1,0,0
33,41,1,0,1
33,44,1,0,0
33,45,1,0,0
33,50,2,0,0
33,51,2,0,0
33,55,2,0,0
34,8,1,0,1
34,9,1,0,0
34,11,1,0,0
34,15,1,0,0
34,16,1,0,0
34,24,1,0,1
34,25,1,0,0
34,26,1,0,0
34,27,1,0,0
34,28,1,0,0
34,29,1,0,0
34,30,2,0,0
34,35,2,0,0
34,42,2,0,0
34,43,2,0,0
34,47,2,0,0
34,51,2,0,0
34,52,2,0,0
34,53,2,0,0
34,54,2,0,0
34,55,2,0,0
34,56,2,0,0
34,58,2,0,0
34,59,2,0,1
34,60,2,0,0
35,1,1,0,0
35,3,1,0,1
35,11,1,0,0
35,26,1,0,0
35,37,1,0,1
35,38,1,0,1
35,43,1,0,1
35,53,1,0,1
35,67,1,0,1
35,70,2,0,1
35,84,2,0,1
35,88,2,0,0
35,89,2,0,1
35,98,2,0,1
35,107,2,0,1
35,118,2,0,1
35,125,2,0,1
35,129,2,0,1
37,9,1,0,0
37,10,1,0,0
37,14,1,0,0
37,24,1,0,1
37,26,1,0,1
37,29,1,0,1
37,31,1,0,1
37,35,1,0,0
37,37,1,0,0
37,39,1,0,1
37,42,2,0,0
37,50,2,0,1
37,53,2,0,1
37,56,2,0,1
37,57,2,0,0
37,63,2,0,1
37,64,2,0,0
37,67,2,0,1
37,70,2,0,1
37,72,2,0,0
38,2,1,0,0
38,3,1,0,0
38,4,1,0,1
38,8,1,0,1
38,12,1,0,1
38,17,1,0,1
38,18,1,0,1
38,23,1,0,1
38,24,1,0,1
38,56,2,0,1
38,57,2,0,1
38,90,2,0,1
38,91,2,0,1
39,26,1,0,0
39,34,1,0,0
39,38,1,0,0
39,40,1,0,0
39,53,2,0,0
39,54,2,0,0
39,61,2,0,0
40,10,1,0,1
40,13,1,0,1
40,17,1,0,0
40,26,1,0,1
40,28,1,0,1
40,34,1,0,0
40,40,1,0,0
40,41,1,0,1
40,44,1,0,1
40,70,2,0,1
40,73,2,0,0
40,75,2,0,0
40,76,2,0,0
40,77,2,0,0
40,78,2,0,1
40,80,2,0,1
41,1,1,0,0
41,25,1,0,1
41,27,1,0,0
41,44,1,0,0
41,46,1,0,0
41,56,2,0,0
41,62,2,0,0
41,63,2,0,0
41,65,2,0,0
100,1,1,3,0
100,16,1,3,0
100,17,1,3,0
100,18,1,3,0
100,19,1,3,0
100,42,2,3,0
100,43,2,3,0
100,47,2,3,0
100,48,2,3,0
100,49,2,3,0
100,53,2,3,0
100,54,2,3,0
100,55,2,3,0
200,1,1,1,1
200,6,1,1,1
200,14,1,1,0
200,22,1,1,1
200,23,1,1,0
200,37,1,1,1
200,39,1,1,0
200,72,2,1,1
300,1,1,3,0
400,2,1,1,1
400,6,1,1,0
400,19,1,1,1
400,22,1,1,0
400,30,1,1,1
400,31,1,1,1
400,33,1,1,1
400,38,1,1,1
400,41,1,1,1
400,44,1,1,1
400,46,2,1,1
400,49,2,1,0
400,74,2,1,1
400,77,2,1,0
400,80,2,1,1
400,81,2,1,1
400,83,2,1,1
400,85,2,1,1
500,1,1,3,0
500,6,1,3,0
500,7,1,3,0
500,9,1,3,1
500,14,1,3,0
500,15,1,3,0
500,18,1,3,0
500,19,1,3,0
500,20,1,3,0
500,21,1,3,0
500,22,1,3,0
500,25,1,3,0
500,26,2,3,0
500,28,2,3,0
500,33,2,3,0
500,34,2,3,0
500,49,2,3,1
500,54,2,3,0
500,55,2,3,0
500,57,2,3,0
500,62,2,3,0
500,63,2,3,0
600,1,1,3,0
600,7,1,3,0
600,9,1,3,0
600,12,1,3,0
600,15,1,3,0
600,48,2,3,1
600,49,2,3,1
600,61,2,3,1
600,62,2,3,1
700,9,1,3,0
700,10,1,3,0
700,12,1,3,0
700,15,1,3,0
700,36,2,3,0
700,37,2,3,0
700,38,2,3,0
700,39,2,3,0
700,40,2,3,0
800,22,1,2,0
800,24,1,2,0
800,45,2,2,0
800,76,2,2,0
800,77,2,2,0
800,78,2,2,0
800,80,2,2,0
800,81,2,2,0
800,82,2,2,0
800,84,2,2,0
800,85,2,2,0
1000,9,1,1,0
1000,10,1,1,0
1000,13,1,1,0
1000,14,1,1,0
1000,16,1,1,0
1000,17,1,1,0
1000,18,2,1,0
1000,19,2,1,0
1000,26,2,1,1
1000,27,2,1,0
1000,30,2,1,1
1100,1,1,2,1
1200,1,1,2,0
1200,37,2,2,0
1200,38,2,2,0
1300,1,1,2,0
1300,8,1,2,0
1300,9,1,2,0
1300,33,2,2,0
1300,34,2,2,0
1300,38,2,2,0
1300,40,2,2,0
1300,42,2,2,0
1300,43,2,2,0
1300,46,2,2,0
1300,47,2,2,0
1300,54,2,2,0
1400,1,1,2,0
1400,6,1,2,1
1400,8,1,2,1
1400,28,1,2,1
1400,53,2,2,1
1400,57,2,2,1
1400,58,2,2,1
1400,68,2,2,1
1500,4,1,3,0
1500,27,2,3,0
1500,35,2,3,0
1500,37,2,3,0
1500,51,2,3,0
1500,57,2,3,0
1600,2,1,1,1
1600,3,1,1,1
1600,6,1,1,1
1600,8,1,1,1
1600,10,1,1,0
1600,13,1,1,1
1600,21,1,1,1
1600,22,1,1,0
1600,27,2,1,1
1600,32,2,1,0
1600,33,2,1,0
1600,36,2,1,0
1600,39,2,1,1
1600,40,2,1,0
1600,41,2,1,1
1600,42,2,1,0
1600,43,2,1,0
1600,45,2,1,1
1700,1,1,1,1
1700,27,1,1,0
1700,28,1,1,0
1700,48,2,1,0
1700,57,2,1,1
1700,62,2,1,1
1700,63,2,1,0
1700,64,2,1,1
1800,1,1,2,0
1800,2,1,2,1
1800,18,1,2,0
1800,19,1,2,0
1800,25,1,2,0
1800,27,1,2,0
1800,28,1,2,0
1800,29,1,2,0
1800,30,1,2,0
1800,32,1,2,0
1800,33,1,2,0
1800,34,2,2,0
1800,36,2,2,0
1800,37,2,2,0
1800,43,2,2,0
1800,48,2,2,0
1800,49,2,2,0
1800,50,2,2,0
1800,52,2,2,0
1800,53,2,2,0
1800,62,2,2,0
1800,65,2,2,1
1800,68,2,2,1
1800,71,2,2,0
1800,78,2,2,0
1800,80,2,2,0
1900,8,1,1,0
1900,10,1,1,0
1900,12,1,1,1
1900,15,1,1,0
1900,16,1,1,0
1900,17,1,1,0
1900,21,1,1,1
1900,22,1,1,1
1900,24,1,1,0
1900,26,2,1,0
1900,28,2,1,0
